test_donor,seed,scenario,protein,mask_seed,mask_source,n_masked_proteins
P1,41,random_10,CD105,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,CD56-2,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,CD45RO,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,Rat-IgG2b,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,CD140a,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,CD146,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,CD103,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,HLA-DR,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,CD66a/c/e,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,Notch-2,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,CD68,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,CD106,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,CD124,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,CD2,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,CD38-1,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,CD172a,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,CD85g,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,CD307c/FcRL3,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,CD307d,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,CD138-2,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,CCR10,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_10,CD26-2,331411,legacy_v33_deterministic_feature_mask,22
P1,41,random_30,CD80,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD86,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD274,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD273,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD11b-1,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD155,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD112,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD47,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD30,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD3-1,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD56-1,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD138-1,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD269,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD90,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD201,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD194,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD44-1,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,TIGIT,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD335,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD133-1,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD324,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,IgM,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD185,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD103,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD152,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD223,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD107a,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD95,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD11b-2,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD1d,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD275-2,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD39,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD24,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD21,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD244,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD370,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD268,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD42b,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD119,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,Notch-2,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD68,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD192,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD122,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD41,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD184,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD303,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD98,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD55,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,TSLPR,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD1a,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD207,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD36,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD38-2,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,Folate,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,TCR-V-2,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,TCR-V-9,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD202b,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD209,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD337,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD186,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD307c/FcRL3,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD307d,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD307e,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,GP130,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD199,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,CD45RB,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_30,VEGFR-3,331413,legacy_v33_deterministic_feature_mask,67
P1,41,random_50,CD274,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD275-1,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD11b-1,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD270,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD155,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD112,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD30,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD48,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD40,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD3-1,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD56-1,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD3-2,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD138-1,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD269,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD45RA,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD123,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD194,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD4-2,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD44-1,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD45RO,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,Rat-IgG2b,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD20,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD335,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD294,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD44-2,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD133-1,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,Podoplanin,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD140a,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD140b,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD324,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,TCR-1,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD196,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD185,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD103,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD152,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD223,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD27,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD134,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD1c,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD141,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD1d,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD66b,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD57,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD366,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD278,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD275-2,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD39,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD24,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD79b,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD66a/c/e,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD206,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD370,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,Notch-1,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,Integrin-7,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD268,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD42b,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD54,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,Rat-IgG1-2,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD192,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD102,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD267,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD62E,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD41,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD137,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD43,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD83,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD13,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD184,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD177,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,IgD,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,TSLPR,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD127,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD45-2,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,B7-H4,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD26-1,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD193,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD144,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD301,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD1a,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD207,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD63,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD284,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD36,331415,legacy_v33_deterministic_feature_mask,112
