test_donor,seed,scenario,n_masked_proteins,mask_seed,mask_source,masked_proteins
P1,41,full,0,,legacy_v33_deterministic_feature_mask,
P1,41,random_10,22,331411,legacy_v33_deterministic_feature_mask,CD105|CD56-2|CD45RO|Rat-IgG2b|CD140a|CD146|CD103|HLA-DR|CD66a/c/e|Notch-2|CD68|CD106|CD124|CD2|CD38-1|CD172a|CD85g|CD307c/FcRL3|CD307d|CD138-2|CCR10|CD26-2
P1,41,random_30,67,331413,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD273|CD11b-1|CD155|CD112|CD47|CD30|CD3-1|CD56-1|CD138-1|CD269|CD90|CD201|CD194|CD44-1|TIGIT|CD335|CD133-1|CD324|IgM|CD185|CD103|CD152|CD223|CD107a|CD95|CD11b-2|CD1d|CD275-2|CD39|CD24|CD21|CD244|CD370|CD268|CD42b|CD119|Notch-2|CD68|CD192|CD122|CD41|CD184|CD303|CD98|CD55|TSLPR|CD1a|CD207|CD36|CD38-2|Folate|TCR-V-2|TCR-V-9|CD202b|CD209|CD337|CD186|CD307c/FcRL3|CD307d|CD307e|GP130|CD199|CD45RB|VEGFR-3
P1,41,random_50,112,331415,legacy_v33_deterministic_feature_mask,CD274|CD275-1|CD11b-1|CD270|CD155|CD112|CD30|CD48|CD40|CD3-1|CD56-1|CD3-2|CD138-1|CD269|CD45RA|CD123|CD194|CD4-2|CD44-1|CD45RO|Rat-IgG2b|CD20|CD335|CD294|CD44-2|CD133-1|Podoplanin|CD140a|CD140b|CD324|TCR-1|CD196|CD185|CD103|CD152|CD223|CD27|CD134|CD1c|CD141|CD1d|CD66b|CD57|CD366|CD278|CD275-2|CD39|CD24|CD79b|CD66a/c/e|CD206|CD370|Notch-1|Integrin-7|CD268|CD42b|CD54|Rat-IgG1-2|CD192|CD102|CD267|CD62E|CD41|CD137|CD43|CD83|CD13|CD184|CD177|IgD|TSLPR|CD127|CD45-2|B7-H4|CD26-1|CD193|CD144|CD301|CD1a|CD207|CD63|CD284|CD36|CD85g|CD243|MERTK|TIM-4|CD325|CD200|CD338|CD235a|CD49a|CD73|CD79a|CD9|TCR-V-7.2|TCR-V-24-J-18|CD133-2|CD209|CD110|CD186|CD109|CD126|CD307c/FcRL3|CD319|CLEC12A|CD16|CD161|CD45RB|CD46|CLEC2|CD26-2
P1,41,random_70,157,331417,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD273|CD275-1|Galectin-9|CD270|CD252|CD155|CD112|CD47|CD30|CD154|CD52|CD3-1|CD8|CD45-1|CD19|CD11c|CD34|CD269|CD90|CD117|CD45RA|CD123|CD105|CD194|CD4-2|CD44-1|CD8a|CD45RO|CD279|TIGIT|Rat-IgG2b|CD335|CD294|CD31|CD44-2|CD133-1|Podoplanin|CD140b|CD340|CD324|IgM|TCR-1|CD195|CD196|CD185|CD69|CD223|CD107a|CD95|CD134|HLA-DR|CD64|CD141|CD314|CD66b|CD57|CD278|CD96|CD39|CD178|CX3CR1|CD24|CD21|CD79b|CD66a/c/e|CD244|CD235ab|CD206|CD169|CD370|Notch-1|Integrin-7|CD42b|CD54|CD62P|TCR-2|Notch-2|CD68|Rat-IgG1-2|Rag-IgG2c|CD102|CD106|CD122|CD267|CD135|CD41|CD137|CD43|CD357|CD59|CD309|CD124|CD13|CD184|CD29|CD61|CD81|CD98|IgD|CD18|CD28|TSLPR|CD15|CD22|CD71|B7-H4|CD26-1|CD193|CD115|CD204|CD207|CD63|CD284|CD304|CD36|CD172a|CD72|Folate|TIM-4|CD325|CD93|CD200|C5L2|CD235a|CD49a|CD73|CD79a|CD9|TCR-V-7.2|TCR-V-2|TCR-V-24-J-18|CD354|CD305|LOX-1|CD203c|CD209|CD337|CD253|CD186|CD226|CD205|CD307c/FcRL3|CD307d|CD307e|CD319|CD138-2|CLEC12A|CCR10|CD271|CD199|CD45RB|VEGFR-3|CLEC2|CD26-2
P1,41,marker_memory,6,,legacy_v33_deterministic_feature_mask,CD45RA|CD45RO|CD27|CD95|CD28|CD127
P1,41,marker_tcell,15,,legacy_v33_deterministic_feature_mask,CD3-1|CD4-1|CD8|CD3-2|CD45RA|CD4-2|CD8a|CD45RO|TCR-1|CD27|TCR-2|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18
P1,41,rna_only,224,,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD273|CD275-1|CD11b-1|Galectin-9|CD270|CD252|CD155|CD112|CD47|CD70|CD30|CD48|CD40|CD154|CD52|CD3-1|CD4-1|CD8|CD56-1|CD45-1|CD3-2|CD19|CD11c|CD34|CD138-1|CD269|CD90|CD117|CD45RA|CD123|CD105|CD201|CD194|CD4-2|CD44-1|CD8a|CD14|CD56-2|CD25|CD45RO|CD279|TIGIT|Rat-IgG2b|CD20|CD335|CD294|CD31|CD44-2|CD133-1|Podoplanin|CD140a|CD140b|Cadherin|CD340|CD146|CD324|IgM|TCR-1|CD195|CD196|CD185|CD103|CD69|CD152|CD223|CD27|CD107a|CD95|CD134|HLA-DR|CD1c|CD11b-2|CD64|CD141|CD1d|CD314|CD66b|CD35|CD57|CD366|CD272|CD278|CD275-2|CD96|CD39|CD178|CX3CR1|CD24|CD21|CD79b|CD66a/c/e|CD244|CD235ab|Siglec-8|CD206|CD169|CD370|XCR1|Notch-1|Integrin-7|CD268|CD42b|CD54|CD62P|CD119|TCR-2|Notch-2|CD68|Rat-IgG1-1|Rat-IgG1-2|Rag-IgG2c|CD192|CD102|CD106|CD122|CD267|CD62E|CD135|CD41|CD137|CD43|CD163|CD83|CD357|CD59|CD309|CD124|CD13|CD184|CD2|CD29|CD303|CD49b|CD61|CD81|CD98|CD177|CD55|IgD|CD18|CD28|TSLPR|CD38-1|CD127|CD45-2|CD15|CD22|CD71|B7-H4|CD26-1|CD193|CD115|CD204|CD144|CD301|CD1a|CD207|CD63|CD284|CD304|CD36|CD172a|CD85g|CD38-2|CD243|CD72|MERTK|Folate|TIM-4|CD171|CD325|CD93|CD200|CD338|C5L2|CD235a|CD49a|CD49d|CD73|CD79a|CD9|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD354|CD202b|CD305|LOX-1|CD203c|CD133-2|CD209|CD110|CD337|CD253|CD186|CD226|CD205|CD109|CD11a/CD18|CD126|CD164|CD142|CD307c/FcRL3|CD307d|CD307e|CD319|CD138-2|CD99|CLEC12A|CD16|CD161|CCR10|CD271|GP130|CD199|CD45RB|CD46|VEGFR-3|CLEC2|CD26-2
P1,41,random_size_matched_6,6,821411,random_feature_name_only_size_matched_to_targeted_mask,CD62P|IgD|CD28|CD171|CD93|CD79a
P1,41,random_size_matched_15,15,821412,random_feature_name_only_size_matched_to_targeted_mask,CD275-1|CD56-1|CD269|CD194|CD20|CD69|CD42b|CD43|CD357|CD55|CD71|TIM-4|CD49d|CD186|CD307d
P1,42,full,0,,legacy_v33_deterministic_feature_mask,
P1,42,random_10,22,331421,legacy_v33_deterministic_feature_mask,CD275-1|CD70|CD30|CD194|CD8a|Cadherin|CD324|CD103|CD235ab|CD169|XCR1|Notch-2|CD62E|CD13|CD29|CD193|CD1a|CD73|TCR-V-2|TCR-V-9|CD253|CD307d
P1,42,random_30,67,331423,legacy_v33_deterministic_feature_mask,CD80|CD274|CD112|CD47|CD48|CD3-2|CD34|CD138-1|CD269|CD90|CD45RA|CD105|CD201|CD56-2|TIGIT|CD20|CD44-2|CD140b|Cadherin|IgM|CD195|CD185|CD103|CD69|HLA-DR|CD11b-2|CD275-2|CX3CR1|CD24|CD169|XCR1|Notch-2|Rat-IgG1-2|CD192|CD106|CD357|CD59|CD124|CD29|CD303|CD61|CD98|CD55|CD38-1|CD127|CD15|CD71|CD115|CD144|CD1a|CD36|CD85g|CD72|CD325|C5L2|CD79a|TCR-V-24-J-18|CD202b|CD305|LOX-1|CD203c|CD337|CD226|CD307c/FcRL3|CD138-2|CCR10|CD199
P1,42,random_50,112,331425,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD275-1|CD11b-1|Galectin-9|CD252|CD40|CD154|CD3-1|CD8|CD45-1|CD11c|CD34|CD138-1|CD117|CD45RA|CD123|CD105|CD201|CD194|CD56-2|CD25|CD45RO|CD279|TIGIT|Rat-IgG2b|CD335|CD31|CD133-1|Cadherin|CD340|CD146|CD324|IgM|CD69|CD27|CD95|CD134|CD64|CD141|CD1d|CD66b|CD57|CD366|CD272|CD278|CD275-2|CD96|CD39|CD178|CD244|CD235ab|Siglec-8|CD206|XCR1|Integrin-7|CD54|TCR-2|Rat-IgG1-2|CD106|CD62E|CD135|CD137|CD43|CD59|CD309|CD61|CD98|CD177|IgD|CD28|CD38-1|CD127|CD45-2|CD15|B7-H4|CD301|CD207|CD63|CD284|CD304|CD85g|Folate|TIM-4|CD171|CD200|CD235a|CD49d|CD73|CD9|TCR-V-2|TCR-V-24-J-18|CD354|LOX-1|CD203c|CD110|CD337|CD226|CD205|CD109|CD126|CD142|CD307d|CD138-2|CD99|CCR10|CD271|CD46|VEGFR-3|CLEC2|CD26-2
P1,42,random_70,157,331427,legacy_v33_deterministic_feature_mask,CD86|CD273|CD11b-1|Galectin-9|CD270|CD252|CD112|CD48|CD40|CD52|CD3-1|CD8|CD45-1|CD3-2|CD19|CD11c|CD34|CD269|CD90|CD117|CD45RA|CD123|CD105|CD201|CD194|CD44-1|CD8a|CD14|CD25|CD45RO|CD279|TIGIT|Rat-IgG2b|CD20|CD294|CD31|Podoplanin|CD140b|CD146|CD324|TCR-1|CD195|CD185|CD103|CD69|CD223|CD107a|CD134|HLA-DR|CD11b-2|CD141|CD1d|CD314|CD66b|CD35|CD57|CD366|CD272|CD278|CD275-2|CD39|CD178|CX3CR1|CD21|CD244|CD235ab|Siglec-8|CD206|CD169|CD370|Notch-1|CD268|CD42b|CD119|Notch-2|CD68|Rat-IgG1-1|Rat-IgG1-2|CD192|CD102|CD106|CD122|CD267|CD62E|CD135|CD41|CD137|CD163|CD83|CD357|CD59|CD124|CD13|CD184|CD29|CD81|IgD|CD18|CD28|TSLPR|CD38-1|CD127|CD45-2|B7-H4|CD26-1|CD115|CD144|CD301|CD1a|CD207|CD63|CD304|CD36|CD172a|CD85g|CD38-2|CD243|CD72|MERTK|TIM-4|CD325|CD200|CD338|C5L2|CD49a|CD49d|CD73|CD79a|CD9|TCR-V-2|TCR-V-24-J-18|CD202b|LOX-1|CD203c|CD133-2|CD209|CD110|CD337|CD253|CD186|CD205|CD109|CD126|CD164|CD142|CD307d|CD307e|CD99|CLEC12A|CD16|CCR10|CD271|CD199|CD45RB|CD46|VEGFR-3|CD26-2
P1,42,marker_memory,6,,legacy_v33_deterministic_feature_mask,CD45RA|CD45RO|CD27|CD95|CD28|CD127
P1,42,marker_tcell,15,,legacy_v33_deterministic_feature_mask,CD3-1|CD4-1|CD8|CD3-2|CD45RA|CD4-2|CD8a|CD45RO|TCR-1|CD27|TCR-2|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18
