test_donor,seed,metric,slope_per_full_missing_fraction
P1,41,accuracy,-0.028818414735015698
P1,41,weighted_f1,-0.029378931960666387
P1,41,macro_f1,-0.06400726479148251
P1,41,balanced_accuracy,-0.06491361247481131
P1,41,ece,-0.0021680038577488988
P1,41,brier,0.04258024892429021
P1,42,accuracy,-0.038195915457914016
P1,42,weighted_f1,-0.03901414493238348
P1,42,macro_f1,-0.07448358385816188
P1,42,balanced_accuracy,-0.0758095615017613
P1,42,ece,0.03804018602655069
P1,42,brier,0.06206425043140961
P1,43,accuracy,-0.0356472795497187
P1,43,weighted_f1,-0.035419526953538026
P1,43,macro_f1,-0.0777543081419861
P1,43,balanced_accuracy,-0.07684668883856324
P1,43,ece,0.0034238919152298005
P1,43,brier,0.05442359007713269
P2,41,accuracy,-0.029185361600782698
P2,41,weighted_f1,-0.027378736927855925
P2,41,macro_f1,-0.07891740269110466
P2,41,balanced_accuracy,-0.07332228842729058
P2,41,ece,0.03888762452751795
P2,41,brier,0.05375566642458843
P2,42,accuracy,-0.02867147241655505
P2,42,weighted_f1,-0.02750252720140755
P2,42,macro_f1,-0.06364611367937226
P2,42,balanced_accuracy,-0.04632756823215047
P2,42,ece,0.026924787433725776
P2,42,brier,0.04920426120118396
P2,43,accuracy,-0.029848101445268737
P2,43,weighted_f1,-0.030895290126147248
P2,43,macro_f1,-0.056243304929569256
P2,43,balanced_accuracy,-0.05609038528971584
P2,43,ece,-0.010369553276918755
P2,43,brier,0.045057050883770045
P3,41,accuracy,-0.030704089441985993
P3,41,weighted_f1,-0.022378127999202007
P3,41,macro_f1,-0.07775653436359312
P3,41,balanced_accuracy,-0.06589722617019621
P3,41,ece,0.034673120857720105
P3,41,brier,0.04959260726847304
P3,42,accuracy,-0.023862010448208335
P3,42,weighted_f1,-0.02184356236432451
P3,42,macro_f1,-0.06445673224398775
P3,42,balanced_accuracy,-0.05481004958786313
P3,42,ece,-0.008496371801134796
P3,42,brier,0.034725070908302194
P3,43,accuracy,-0.03239693208664691
P3,43,weighted_f1,-0.030788204330474078
P3,43,macro_f1,-0.08567513125759679
P3,43,balanced_accuracy,-0.06272685007455563
P3,43,ece,0.0011496187287795873
P3,43,brier,0.04324223210171954
P4,41,accuracy,-0.022106780459261215
P4,41,weighted_f1,-0.023858145086997427
P4,41,macro_f1,-0.06353672789943099
P4,41,balanced_accuracy,-0.05726538689163054
P4,41,ece,-0.00761606969074028
P4,41,brier,0.03132203730141247
P4,42,accuracy,-0.03920421299005278
P4,42,weighted_f1,-0.043057214698629706
P4,42,macro_f1,-0.0714014162205317
P4,42,balanced_accuracy,-0.07984740127480318
P4,42,ece,-0.018388883911912044
P4,42,brier,0.0590822763922738
P4,43,accuracy,-0.023922847478913666
P4,43,weighted_f1,-0.025730336533930566
P4,43,macro_f1,-0.06282225641168503
P4,43,balanced_accuracy,-0.057576492960241046
P4,43,ece,0.0169696559634999
P4,43,brier,0.03982752288987002
P5,41,accuracy,-0.014724613111978556
P5,41,weighted_f1,-0.01433112674052122
P5,41,macro_f1,-0.03447941726709415
P5,41,balanced_accuracy,-0.03433800623192977
P5,41,ece,0.024576612265921262
P5,41,brier,0.027281315770091012
P5,42,accuracy,-0.012641864532440933
P5,42,weighted_f1,-0.013293574893168892
P5,42,macro_f1,-0.04136093112667503
P5,42,balanced_accuracy,-0.03322287040246677
