test_donor,seed,scenario,class_label,f1,recall,support
P1,41,full,ASDC_mDC,0.888888888888889,1.0,4
P1,41,full,ASDC_pDC,0.5714285714285715,0.4,5
P1,41,full,B intermediate kappa,0.8484848484848485,0.875,32
P1,41,full,B intermediate lambda,0.7228915662650602,0.6122448979591837,49
P1,41,full,B memory kappa,0.9210526315789473,0.958904109589041,73
P1,41,full,B memory lambda,0.8867924528301887,0.9215686274509803,51
P1,41,full,B naive kappa,0.9251700680272109,0.9347079037800687,291
P1,41,full,B naive lambda,0.8745980707395498,0.8662420382165605,157
P1,41,full,CD14 Mono,0.98228088952313,0.971307619943556,4252
P1,41,full,CD16 Mono,0.9244712990936556,0.9757653061224489,784
P1,41,full,CD4 CTL,0.9701789264413517,0.9587426326129665,509
P1,41,full,CD4 Naive,0.9553553553553553,0.9551641313050441,2498
P1,41,full,CD4 Proliferating,0.9047619047619048,0.9047619047619048,21
P1,41,full,CD4 TCM_1,0.8711294603361841,0.9083640836408364,1626
P1,41,full,CD4 TCM_2,0.7167630057803468,0.7654320987654321,81
P1,41,full,CD4 TCM_3,0.8309659090909092,0.819327731092437,714
P1,41,full,CD4 TEM_1,0.7707808564231738,0.6652173913043479,230
P1,41,full,CD4 TEM_2,0.7105263157894737,0.6835443037974683,79
P1,41,full,CD4 TEM_3,0.6826347305389222,0.6627906976744186,172
P1,41,full,CD8 Naive,0.9840490797546012,0.9796416938110749,1228
P1,41,full,CD8 Naive_2,0.5853658536585366,0.6666666666666666,18
P1,41,full,CD8 Proliferating,0.47368421052631576,0.5625,16
P1,41,full,CD8 TCM_1,0.6293103448275862,0.584,125
P1,41,full,CD8 TCM_2,0.7341772151898734,0.8055555555555556,72
P1,41,full,CD8 TCM_3,0.9095744680851064,0.9144385026737968,187
P1,41,full,CD8 TEM_1,0.9153605015673982,0.8957055214723927,489
P1,41,full,CD8 TEM_2,0.8189910979228486,0.7931034482758621,174
P1,41,full,CD8 TEM_3,0.6499999999999999,0.8478260869565217,46
P1,41,full,CD8 TEM_4,0.9059360730593607,0.9649805447470817,514
P1,41,full,CD8 TEM_5,0.874354561101549,0.8115015974440895,313
P1,41,full,CD8 TEM_6,0.8,0.7450980392156863,51
P1,41,full,Doublet,0.7311827956989247,0.6732673267326733,101
P1,41,full,Eryth,0.9411764705882353,1.0,24
P1,41,full,HSPC,0.9844097995545658,0.9954954954954955,222
P1,41,full,ILC,1.0,1.0,5
P1,41,full,MAIT,0.8941176470588236,0.8837209302325582,43
P1,41,full,NK Proliferating,0.8732394366197184,0.8051948051948052,77
P1,41,full,NK_1,0.9081735620585267,0.9635974304068522,467
P1,41,full,NK_2,0.9150943396226415,0.8765060240963856,664
P1,41,full,NK_3,0.641891891891892,0.6050955414012739,157
P1,41,full,NK_4,0.7746478873239436,0.8527131782945736,129
P1,41,full,NK_CD56bright,0.8791208791208791,0.8333333333333334,96
P1,41,full,Plasma,0.9724770642201834,0.9814814814814815,54
P1,41,full,Plasmablast,0.8571428571428571,0.75,8
P1,41,full,Platelet,0.937269372693727,0.9136690647482014,139
P1,41,full,Treg Memory,0.8122866894197952,0.8686131386861314,274
P1,41,full,Treg Naive,0.7609942638623327,0.6722972972972973,296
P1,41,full,cDC1,0.9767441860465117,1.0,21
P1,41,full,cDC2_1,0.6808510638297872,0.75,64
P1,41,full,cDC2_2,0.947945205479452,0.9453551912568307,183
P1,41,full,dnT_1,0.6875,0.7333333333333333,30
P1,41,full,dnT_2,0.9705882352941176,0.9705882352941176,34
P1,41,full,gdT_1,0.9230769230769231,0.9473684210526315,19
P1,41,full,gdT_2,0.0,0.0,2
P1,41,full,gdT_3,0.9333333333333333,0.9390243902439024,82
P1,41,full,gdT_4,0.8148148148148148,0.8461538461538461,26
P1,41,full,pDC,0.9824561403508771,0.9824561403508771,57
P1,41,random_10,ASDC_mDC,0.888888888888889,1.0,4
P1,41,random_10,ASDC_pDC,0.5714285714285715,0.4,5
P1,41,random_10,B intermediate kappa,0.8358208955223881,0.875,32
P1,41,random_10,B intermediate lambda,0.7529411764705882,0.6530612244897959,49
P1,41,random_10,B memory kappa,0.9210526315789473,0.958904109589041,73
P1,41,random_10,B memory lambda,0.897196261682243,0.9411764705882353,51
P1,41,random_10,B naive kappa,0.9156626506024096,0.9140893470790378,291
P1,41,random_10,B naive lambda,0.8662420382165607,0.8662420382165605,157
P1,41,random_10,CD14 Mono,0.9824519800806262,0.9743650047036688,4252
P1,41,random_10,CD16 Mono,0.9288753799392097,0.9744897959183674,784
P1,41,random_10,CD4 CTL,0.9712586719524281,0.962671905697446,509
P1,41,random_10,CD4 Naive,0.9558265040975416,0.9571657325860689,2498
P1,41,random_10,CD4 Proliferating,0.8500000000000001,0.8095238095238095,21
P1,41,random_10,CD4 TCM_1,0.8510151558478697,0.915129151291513,1626
P1,41,random_10,CD4 TCM_2,0.7052023121387283,0.7530864197530864,81
P1,41,random_10,CD4 TCM_3,0.7803030303030303,0.7212885154061625,714
P1,41,random_10,CD4 TEM_1,0.6849315068493151,0.5434782608695652,230
P1,41,random_10,CD4 TEM_2,0.6211180124223603,0.6329113924050633,79
P1,41,random_10,CD4 TEM_3,0.639751552795031,0.5988372093023255,172
P1,41,random_10,CD8 Naive,0.9787234042553191,0.9739413680781759,1228
P1,41,random_10,CD8 Naive_2,0.5,0.5555555555555556,18
P1,41,random_10,CD8 Proliferating,0.43902439024390244,0.5625,16
P1,41,random_10,CD8 TCM_1,0.5756457564575646,0.624,125
P1,41,random_10,CD8 TCM_2,0.7485380116959064,0.8888888888888888,72
P1,41,random_10,CD8 TCM_3,0.79375,0.679144385026738,187
P1,41,random_10,CD8 TEM_1,0.9198751300728407,0.9038854805725971,489
P1,41,random_10,CD8 TEM_2,0.8313953488372092,0.8218390804597702,174
P1,41,random_10,CD8 TEM_3,0.6346153846153846,0.717391304347826,46
P1,41,random_10,CD8 TEM_4,0.8916741271262308,0.9688715953307393,514
P1,41,random_10,CD8 TEM_5,0.8434163701067616,0.7571884984025559,313
P1,41,random_10,CD8 TEM_6,0.8080808080808081,0.7843137254901961,51
P1,41,random_10,Doublet,0.7032967032967031,0.6336633663366337,101
P1,41,random_10,Eryth,0.923076923076923,1.0,24
P1,41,random_10,HSPC,0.9866071428571428,0.9954954954954955,222
P1,41,random_10,ILC,1.0,1.0,5
P1,41,random_10,MAIT,0.8641975308641974,0.813953488372093,43
P1,41,random_10,NK Proliferating,0.8671328671328672,0.8051948051948052,77
P1,41,random_10,NK_1,0.9019211324570272,0.9550321199143469,467
P1,41,random_10,NK_2,0.9128043990573448,0.875,664
P1,41,random_10,NK_3,0.6351351351351351,0.5987261146496815,157
P1,41,random_10,NK_4,0.757679180887372,0.8604651162790697,129
P1,41,random_10,NK_CD56bright,0.835294117647059,0.7395833333333334,96
P1,41,random_10,Plasma,0.9818181818181818,1.0,54
P1,41,random_10,Plasmablast,0.8571428571428571,0.75,8
P1,41,random_10,Platelet,0.9407407407407407,0.9136690647482014,139
P1,41,random_10,Treg Memory,0.8203389830508474,0.8832116788321168,274
P1,41,random_10,Treg Naive,0.7706766917293232,0.6925675675675675,296
P1,41,random_10,cDC1,1.0,1.0,21
P1,41,random_10,cDC2_1,0.6666666666666667,0.703125,64
P1,41,random_10,cDC2_2,0.9441340782122906,0.9234972677595629,183
P1,41,random_10,dnT_1,0.6363636363636365,0.7,30
P1,41,random_10,dnT_2,0.9714285714285714,1.0,34
P1,41,random_10,gdT_1,0.9473684210526315,0.9473684210526315,19
P1,41,random_10,gdT_2,0.0,0.0,2
P1,41,random_10,gdT_3,0.9277108433734941,0.9390243902439024,82
P1,41,random_10,gdT_4,0.8474576271186441,0.9615384615384616,26
P1,41,random_10,pDC,0.9824561403508771,0.9824561403508771,57
P1,41,random_30,ASDC_mDC,0.8,1.0,4
P1,41,random_30,ASDC_pDC,0.5714285714285715,0.4,5
P1,41,random_30,B intermediate kappa,0.84375,0.84375,32
P1,41,random_30,B intermediate lambda,0.7999999999999999,0.6938775510204082,49
P1,41,random_30,B memory kappa,0.89171974522293,0.958904109589041,73
P1,41,random_30,B memory lambda,0.8888888888888888,0.9411764705882353,51
P1,41,random_30,B naive kappa,0.9056603773584905,0.9072164948453608,291
P1,41,random_30,B naive lambda,0.8599348534201954,0.8407643312101911,157
P1,41,random_30,CD14 Mono,0.980004760771245,0.9682502351834431,4252
P1,41,random_30,CD16 Mono,0.9122388059701492,0.9744897959183674,784
P1,41,random_30,CD4 CTL,0.958958958958959,0.9410609037328095,509
P1,41,random_30,CD4 Naive,0.9512928442573663,0.9499599679743795,2498
P1,41,random_30,CD4 Proliferating,0.9268292682926829,0.9047619047619048,21
P1,41,random_30,CD4 TCM_1,0.8712636874815033,0.9052890528905289,1626
P1,41,random_30,CD4 TCM_2,0.7191011235955057,0.7901234567901234,81
P1,41,random_30,CD4 TCM_3,0.8410185822436339,0.8557422969187675,714
P1,41,random_30,CD4 TEM_1,0.7751196172248803,0.7043478260869566,230
P1,41,random_30,CD4 TEM_2,0.736842105263158,0.7088607594936709,79
P1,41,random_30,CD4 TEM_3,0.7044776119402985,0.686046511627907,172
P1,41,random_30,CD8 Naive,0.9828711256117454,0.9812703583061889,1228
P1,41,random_30,CD8 Naive_2,0.5714285714285715,0.6666666666666666,18
P1,41,random_30,CD8 Proliferating,0.4651162790697674,0.625,16
P1,41,random_30,CD8 TCM_1,0.5422535211267605,0.616,125
P1,41,random_30,CD8 TCM_2,0.76,0.7916666666666666,72
P1,41,random_30,CD8 TCM_3,0.782608695652174,0.6737967914438503,187
P1,41,random_30,CD8 TEM_1,0.9142857142857143,0.9161554192229039,489
P1,41,random_30,CD8 TEM_2,0.8152492668621701,0.7988505747126436,174
P1,41,random_30,CD8 TEM_3,0.6178861788617886,0.8260869565217391,46
P1,41,random_30,CD8 TEM_4,0.886725663716814,0.9747081712062257,514
