test_donor,seed,scenario,mask_fraction,n_masked_proteins,mask_seed,mask_source,n_test,accuracy,weighted_f1,macro_f1,balanced_accuracy,ece,brier,full_accuracy,delta_accuracy,full_weighted_f1,delta_weighted_f1,full_macro_f1,delta_macro_f1,full_balanced_accuracy,delta_balanced_accuracy,full_ece,delta_ece,full_brier,delta_brier
P1,41,full,0.0,0,,legacy_v33_deterministic_feature_mask,18135,0.9141990625861594,0.9141482443113407,0.8110430002788572,0.8280590831565268,0.07383543236593523,0.15200264751911163,0.9141990625861594,0.0,0.9141482443113407,0.0,0.8110430002788572,0.0,0.8280590831565268,0.0,0.07383543236593523,0.0,0.15200264751911163,0.0
P1,41,random_10,0.1,22,331411,legacy_v33_deterministic_feature_mask,18135,0.9056520540391508,0.9051731363240418,0.8116869214696352,0.8133774052849398,0.07149060742730834,0.16413968801498413,0.9141990625861594,-0.008547008547008517,0.9141482443113407,-0.008975107987298836,0.8110430002788572,0.0006439211907779407,0.8280590831565268,-0.014681677871586918,0.07383543236593523,-0.002344824938626894,0.15200264751911163,0.012137040495872498
P1,41,random_30,0.3,67,331413,legacy_v33_deterministic_feature_mask,18135,0.9046594982078853,0.9041536034358709,0.8033471232381558,0.801595900716394,0.07128581184968824,0.1651284396648407,0.9141990625861594,-0.009539564378274079,0.9141482443113407,-0.009994640875469751,0.8110430002788572,-0.007695877040701404,0.8280590831565268,-0.026463182440132793,0.07383543236593523,-0.002549620516246992,0.15200264751911163,0.013125792145729065
P1,41,random_50,0.5,112,331415,legacy_v33_deterministic_feature_mask,18135,0.895230217810863,0.8955618019553088,0.7857592410484273,0.7888290530327018,0.07563964778730486,0.18055810034275055,0.9141990625861594,-0.018968844775296367,0.9141482443113407,-0.018586442356031907,0.8110430002788572,-0.025283759230429914,0.8280590831565268,-0.03923003012382498,0.07383543236593523,0.0018042154213696315,0.15200264751911163,0.028555452823638916
P1,41,random_70,0.7,157,331417,legacy_v33_deterministic_feature_mask,18135,0.892859112213951,0.8918715426436357,0.7677388922026157,0.7807183140775757,0.06961775358169571,0.18294739723205566,0.9141990625861594,-0.02133995037220837,0.9141482443113407,-0.022276701667705012,0.8110430002788572,-0.04330410807624152,0.8280590831565268,-0.04734076907895102,0.07383543236593523,-0.004217678784239523,0.15200264751911163,0.03094474971294403
P1,41,marker_memory,,6,,legacy_v33_deterministic_feature_mask,18135,0.9106148331954783,0.9102903882187691,0.8055328991490425,0.819684412537784,0.07104994105609086,0.1573486626148224,0.9141990625861594,-0.0035842293906810374,0.9141482443113407,-0.00385785609257161,0.8110430002788572,-0.0055101011298147595,0.8280590831565268,-0.008374670618742752,0.07383543236593523,-0.0027854913098443734,0.15200264751911163,0.005346015095710754
P1,41,marker_tcell,,15,,legacy_v33_deterministic_feature_mask,18135,0.9022332506203474,0.9030728941041615,0.7860979056156377,0.8061952230860265,0.0764836964542819,0.16971637308597565,0.9141990625861594,-0.011965811965811923,0.9141482443113407,-0.011075350207179202,0.8110430002788572,-0.02494509466321948,0.8280590831565268,-0.02186386007050023,0.07383543236593523,0.0026482640883466607,0.15200264751911163,0.017713725566864014
P1,41,rna_only,1.0,224,,legacy_v33_deterministic_feature_mask,18135,0.8843121036669424,0.8840279622121814,0.7626402397006471,0.7796783502891933,0.1146016981685855,0.1987019032239914,0.9141990625861594,-0.029886958919217,0.9141482443113407,-0.03012028209915929,0.8110430002788572,-0.048402760578210136,0.8280590831565268,-0.048380732867333465,0.07383543236593523,0.04076626580265026,0.15200264751911163,0.04669925570487976
P1,41,random_size_matched_6,0.026785714285714284,6,821411,random_feature_name_only_size_matched_to_targeted_mask,18135,0.9141439205955335,0.9139527517442079,0.8115432696518753,0.8276277268052792,0.07312080495640828,0.1526232361793518,0.9141990625861594,-5.514199062583991e-05,0.9141482443113407,-0.0001954925671328045,0.8110430002788572,0.0005002693730180585,0.8280590831565268,-0.00043135635124758043,0.07383543236593523,-0.0007146274095269495,0.15200264751911163,0.0006205886602401733
P1,41,random_size_matched_15,0.06696428571428571,15,821412,random_feature_name_only_size_matched_to_targeted_mask,18135,0.9122690929142542,0.9122691186672731,0.8052241240265584,0.8218377685777023,0.0733114513040394,0.15478253364562988,0.9141990625861594,-0.001929969671905174,0.9141482443113407,-0.0018791256440675586,0.8110430002788572,-0.005818876252298821,0.8280590831565268,-0.006221314578824466,0.07383543236593523,-0.0005239810618958285,0.15200264751911163,0.0027798861265182495
