label,n,l3_accuracy,parent_safe_rate,accept_rate
ASDC_pDC,1,0.0,1.0,1.0
B intermediate kappa,267,0.550561797752809,0.9625468164794008,1.0
B intermediate lambda,255,0.47058823529411764,0.984313725490196,1.0
B memory kappa,578,0.842560553633218,0.967128027681661,1.0
B memory lambda,180,0.35,0.9888888888888889,1.0
B naive kappa,1291,0.6584043377226956,0.9775367931835787,1.0
B naive lambda,296,0.7668918918918919,0.9797297297297297,1.0
CD14 Mono,14801,0.9325045605026687,0.9579758124451051,1.0
CD16 Mono,2589,0.9756662804171495,0.9791425260718424,1.0
CD4 CTL,552,0.6684782608695652,0.7735507246376812,1.0
CD4 Naive,4672,0.6723030821917808,0.8696489726027398,1.0
CD4 Proliferating,16,0.5625,0.0,1.0
CD4 TCM_1,4139,0.22275912056052186,0.6938874124184585,1.0
CD4 TCM_2,311,0.5884244372990354,0.7202572347266881,1.0
CD4 TCM_3,1873,0.7309129738387613,0.8814735718099306,1.0
CD4 TEM_1,563,0.5896980461811723,0.7868561278863233,1.0
CD4 TEM_2,123,0.06504065040650407,0.5691056910569106,1.0
CD4 TEM_3,466,0.4892703862660944,0.8969957081545065,1.0
CD8 Naive,2728,0.9138563049853372,0.9791055718475073,1.0
CD8 Naive_2,96,0.07291666666666667,0.6041666666666666,1.0
CD8 Proliferating,27,0.3333333333333333,0.037037037037037035,1.0
CD8 TCM_1,271,0.2952029520295203,0.966789667896679,1.0
CD8 TCM_2,369,0.8970189701897019,0.907859078590786,1.0
CD8 TCM_3,30,0.8,0.9666666666666667,1.0
CD8 TEM_1,1089,0.6831955922865014,0.8806244260789715,1.0
CD8 TEM_2,645,0.42790697674418604,0.8604651162790697,1.0
CD8 TEM_3,175,0.30857142857142855,0.8457142857142858,1.0
CD8 TEM_4,939,0.630457933972311,0.8626198083067093,1.0
CD8 TEM_5,728,0.36813186813186816,0.8571428571428571,1.0
CD8 TEM_6,264,0.26136363636363635,0.678030303030303,1.0
Eryth,14,0.5714285714285714,0.6428571428571429,1.0
HSPC,96,0.84375,0.8541666666666666,1.0
MAIT,953,0.8373557187827911,0.8803777544596013,1.0
NK Proliferating,146,0.6917808219178082,0.0273972602739726,1.0
NK_1,957,0.6603970741901777,0.8620689655172413,1.0
NK_2,2846,0.7972593113141251,0.9785664089950808,1.0
NK_3,478,0.3389121338912134,0.9225941422594143,1.0
NK_4,254,0.48031496062992124,0.984251968503937,1.0
NK_CD56bright,76,0.9342105263157895,0.9736842105263158,1.0
Plasma,29,0.9310344827586207,0.9655172413793104,1.0
Platelet,138,0.927536231884058,0.9202898550724637,1.0
Progenitor_lymphoid,11,0.0,0.09090909090909091,1.0
Treg Memory,683,0.34699853587115664,0.7042459736456809,1.0
Treg Naive,229,0.7379912663755459,0.9563318777292577,1.0
cDC1,27,1.0,1.0,1.0
cDC2_1,285,0.8666666666666667,0.9087719298245615,1.0
cDC2_2,551,0.6352087114337568,0.9872958257713249,1.0
dnT_1,11,0.45454545454545453,0.8181818181818182,1.0
dnT_2,127,0.2755905511811024,0.41732283464566927,1.0
gdT_1,375,0.656,0.8506666666666667,1.0
gdT_2,114,0.43859649122807015,0.6491228070175439,1.0
gdT_3,131,0.5343511450381679,0.5801526717557252,1.0
gdT_4,24,0.4166666666666667,0.625,1.0
pDC,258,0.9651162790697675,0.9883720930232558,1.0
