seed,n_cells,n_changed,changed_fraction,wrong_to_correct,correct_to_wrong,wrong_to_wrong,net_corrected,mean_gate,mean_gate_changed,base_accuracy,refined_accuracy,delta_accuracy,base_weighted_f1,refined_weighted_f1,delta_weighted_f1,base_macro_f1,refined_macro_f1,delta_macro_f1
1,15000,16,0.0010666666666666667,11,4,1,7,0.021227310855686615,0.052442786749452304,0.9204666666666667,0.9209333333333334,0.0004666666666667263,0.9198447708194718,0.9203279899836888,0.00048321916421700806,0.8468087867093472,0.8478276456041678,0.0010188588948205624
2,15000,20,0.0013333333333333333,9,8,3,1,0.022617353442683768,0.06507835844531652,0.9202666666666667,0.9203333333333333,6.666666666665932e-05,0.9192912734469602,0.919329746991903,3.847354494279642e-05,0.8495229767260759,0.8492750555506522,-0.0002479211754237154
3,15000,14,0.0009333333333333333,8,4,2,4,0.022362647672121674,0.05631627727832109,0.9214,0.9216666666666666,0.0002666666666666373,0.9206253076740568,0.9208835973336043,0.0002582896595474393,0.8576745046517014,0.857732282707222,5.777805552065196e-05
4,15000,15,0.001,4,6,5,-2,0.02166924814730878,0.07038844265043732,0.9208,0.9206666666666666,-0.00013333333333331865,0.9198019823162856,0.9196533690227845,-0.00014861329350113195,0.8342083471204442,0.8329391160758001,-0.001269231044644159
5,15000,11,0.0007333333333333333,4,5,2,-1,0.021157195308059405,0.04673464393073857,0.9212666666666667,0.9212,-6.666666666665932e-05,0.9204541296961065,0.9203882317199216,-6.589797618494764e-05,0.8419306676261996,0.84185937150441,-7.12961217895769e-05
6,15000,20,0.0013333333333333333,7,7,6,0,0.021418505787973552,0.04467632742598648,0.9208666666666666,0.9208666666666666,0.0,0.9201086731566143,0.920121580293189,1.290713657475795e-05,0.8387147861310216,0.8402143611591617,0.001499575028140132
7,15000,11,0.0007333333333333333,4,7,0,-3,0.021302364069844235,0.03135519288480277,0.9206666666666666,0.9204666666666667,-0.00019999999999997797,0.9197602214266026,0.9195727038488952,-0.00018751757770740785,0.840587564655306,0.8403217806881801,-0.0002657839671259543
8,15000,13,0.0008666666666666666,5,4,4,1,0.020860622803742637,0.026735238014505412,0.9196,0.9196666666666666,6.666666666665932e-05,0.9191044368993394,0.9191837934527224,7.935655338298098e-05,0.8480676086132019,0.8480009601073545,-6.664850584736648e-05
9,15000,13,0.0008666666666666666,8,5,0,3,0.021692848534882018,0.034365476180727605,0.9227333333333333,0.9229333333333334,0.000200000000000089,0.9216670537871274,0.921870848982527,0.000203795195399592,0.8349331736368826,0.8360303209532076,0.0010971473163250423
42,15000,8,0.0005333333333333334,3,5,0,-2,0.020792030396312427,0.05579932290129357,0.9199333333333334,0.9198,-0.00013333333333342967,0.9188585634217947,0.9186593041236161,-0.00019925929817865562,0.8441255372576657,0.8427846008788173,-0.0013409363788483564
