seed,class_label,support,base_f1,refined_f1,delta_f1
1,ASDC_mDC,4,0.8571428571428571,0.8571428571428571,0.0
1,ASDC_pDC,3,1.0,1.0,0.0
1,B intermediate kappa,102,0.8367346938775511,0.8367346938775511,0.0
1,B intermediate lambda,123,0.8148148148148149,0.8148148148148149,0.0
1,B memory kappa,189,0.8986301369863012,0.8986301369863012,0.0
1,B memory lambda,116,0.8333333333333333,0.8333333333333333,0.0
1,B naive kappa,450,0.9135254988913526,0.9135254988913526,0.0
1,B naive lambda,266,0.8555347091932457,0.8555347091932457,0.0
1,CD14 Mono,3958,0.9876106194690265,0.9876106194690265,0.0
1,CD16 Mono,586,0.9493243243243243,0.9493243243243243,0.0
1,CD4 CTL,161,0.9815950920245399,0.9815950920245399,0.0
1,CD4 Naive,1621,0.972239358420728,0.972239358420728,0.0
1,CD4 Proliferating,10,0.9,0.9,0.0
1,CD4 TCM_1,755,0.8485245901639343,0.8501971090670171,0.0016725189030827314
1,CD4 TCM_2,55,0.7192982456140351,0.7192982456140351,0.0
1,CD4 TCM_3,571,0.8730158730158729,0.874451273046532,0.0014354000306591175
1,CD4 TEM_1,158,0.8184615384615385,0.8213166144200628,0.0028550759585243
1,CD4 TEM_2,42,0.7341772151898734,0.7435897435897436,0.009412528399870168
1,CD4 TEM_3,190,0.7877094972067039,0.7933884297520661,0.005678932545362225
1,CD4 TEM_4,7,0.4444444444444444,0.4444444444444444,0.0
1,CD8 Naive,972,0.9775280898876405,0.9780500255232262,0.0005219356355856686
1,CD8 Naive_2,27,0.5833333333333334,0.6122448979591836,0.028911564625850206
1,CD8 Proliferating,8,0.6666666666666666,0.6666666666666666,0.0
1,CD8 TCM_1,86,0.6878980891719745,0.7000000000000001,0.012101910828025586
1,CD8 TCM_2,123,0.8437499999999999,0.8470588235294119,0.003308823529411975
1,CD8 TCM_3,59,0.8480000000000001,0.8480000000000001,0.0
1,CD8 TEM_1,258,0.8970873786407767,0.8988326848249028,0.0017453061841260498
1,CD8 TEM_2,226,0.8119266055045871,0.8119266055045871,0.0
1,CD8 TEM_3,36,0.676470588235294,0.6666666666666666,-0.009803921568627416
1,CD8 TEM_4,325,0.8550512445095169,0.8563049853372434,0.0012537408277265571
1,CD8 TEM_5,183,0.8635097493036212,0.8635097493036212,0.0
1,CD8 TEM_6,59,0.8925619834710744,0.8925619834710744,0.0
1,Doublet,56,0.7346938775510204,0.7346938775510204,0.0
1,Eryth,8,0.8421052631578948,0.8421052631578948,0.0
1,HSPC,30,1.0,1.0,0.0
1,ILC,12,0.923076923076923,0.923076923076923,0.0
1,MAIT,258,0.9846153846153846,0.9846153846153846,0.0
1,NK Proliferating,51,0.8958333333333333,0.8958333333333333,0.0
1,NK_1,383,0.861072902338377,0.861072902338377,0.0
1,NK_2,873,0.9149171270718233,0.9149171270718233,0.0
1,NK_3,200,0.6702412868632708,0.6702412868632708,0.0
1,NK_4,137,0.7446808510638298,0.7446808510638298,0.0
1,NK_CD56bright,87,0.9364161849710984,0.9364161849710984,0.0
1,Plasma,30,0.90625,0.90625,0.0
1,Plasmablast,5,0.5714285714285715,0.5714285714285715,0.0
1,Platelet,213,0.9620853080568721,0.9620853080568721,0.0
1,Treg Memory,112,0.7547169811320756,0.7547169811320756,0.0
1,Treg Naive,120,0.7791164658634538,0.7791164658634538,0.0
1,cDC1,14,1.0,1.0,0.0
1,cDC2_1,72,0.7272727272727272,0.7272727272727272,0.0
1,cDC2_2,160,0.95679012345679,0.95679012345679,0.0
1,dnT_1,18,0.7272727272727272,0.7272727272727272,0.0
1,dnT_2,15,0.9655172413793104,0.9655172413793104,0.0
1,gdT_1,151,0.9801324503311258,0.9801324503311258,0.0
1,gdT_2,71,0.906474820143885,0.906474820143885,0.0
1,gdT_3,67,0.9402985074626865,0.9402985074626865,0.0
1,gdT_4,48,0.7999999999999999,0.7999999999999999,0.0
1,pDC,80,1.0,1.0,0.0
2,ASDC_mDC,4,0.8571428571428571,0.8571428571428571,0.0
2,ASDC_pDC,3,1.0,1.0,0.0
2,B intermediate kappa,102,0.8365384615384616,0.8365384615384616,0.0
2,B intermediate lambda,123,0.7927927927927928,0.7927927927927928,0.0
2,B memory kappa,189,0.9115281501340483,0.9115281501340483,0.0
2,B memory lambda,116,0.8605577689243028,0.8605577689243028,0.0
2,B naive kappa,450,0.9090909090909091,0.9090909090909091,0.0
2,B naive lambda,266,0.8473282442748092,0.8473282442748092,0.0
2,CD14 Mono,3958,0.986740750094709,0.986740750094709,0.0
2,CD16 Mono,586,0.9482612383375741,0.9482612383375741,0.0
2,CD4 CTL,161,0.9754601226993865,0.9754601226993865,0.0
2,CD4 Naive,1621,0.9713228492136909,0.9713228492136909,0.0
2,CD4 Proliferating,10,0.8421052631578948,0.8421052631578948,0.0
2,CD4 TCM_1,755,0.852772466539197,0.8532991672005126,0.0005267006613155489
2,CD4 TCM_2,55,0.7238095238095238,0.7238095238095238,0.0
2,CD4 TCM_3,571,0.8772241992882563,0.8773168578993821,9.265861112572882e-05
2,CD4 TEM_1,158,0.8145695364238411,0.8120805369127516,-0.002488999511089496
2,CD4 TEM_2,42,0.7160493827160495,0.7160493827160495,0.0
2,CD4 TEM_3,190,0.7905759162303665,0.7896103896103895,-0.000965526619976953
2,CD4 TEM_4,7,0.2857142857142857,0.2857142857142857,0.0
2,CD8 Naive,972,0.9780275932549822,0.9780724120346762,4.481877969397807e-05
2,CD8 Naive_2,27,0.6222222222222222,0.6222222222222222,0.0
2,CD8 Proliferating,8,0.7777777777777777,0.7777777777777777,0.0
2,CD8 TCM_1,86,0.6904761904761904,0.6900584795321637,-0.0004177109440266502
2,CD8 TCM_2,123,0.8515625,0.8650793650793651,0.013516865079365115
2,CD8 TCM_3,59,0.8480000000000001,0.8480000000000001,0.0
2,CD8 TEM_1,258,0.9047619047619047,0.9025844930417495,-0.0021774117201551757
2,CD8 TEM_2,226,0.8214285714285715,0.8214285714285715,0.0
2,CD8 TEM_3,36,0.6461538461538462,0.6461538461538462,0.0
2,CD8 TEM_4,325,0.8411764705882353,0.8411764705882353,0.0
2,CD8 TEM_5,183,0.8424068767908309,0.8424068767908309,0.0
