test_donor,seed,variant,n_test,n_known_test,n_unknown_test,accuracy,weighted_f1,macro_f1,balanced_accuracy
P1,41,rna_branch,18135,18135,0,0.88447752963882,0.8839385421663026,0.7759932071826888,0.7800648929463269
P1,41,adt_branch,18135,18135,0,0.8467052660601048,0.8486367020238922,0.6590951169861736,0.6810831525564194
P1,41,fusion_branch,18135,18135,0,0.9129859387923904,0.9132185928600575,0.8085059245446942,0.828878126507059
P1,41,uniform_fusion,18135,18135,0,0.9160738902674387,0.9160172446353881,0.8176450402585268,0.8339142873766817
P1,41,margin_gate,18135,18135,0,0.9142542045767852,0.9141582039950453,0.8101684828781625,0.8272944359738422
P1,41,margin_gate_hsr,18135,18135,0,0.9141990625861594,0.9141482443113407,0.8110430002788572,0.8280590831565268
P1,42,rna_branch,18135,18135,0,0.8781362007168458,0.8791201453127699,0.7541729769920762,0.7826205654107481
P1,42,adt_branch,18135,18135,0,0.8414667769506479,0.8437373532302526,0.6495907637606838,0.689866031324195
P1,42,fusion_branch,18135,18135,0,0.9053763440860215,0.9075149115011611,0.8033087372502957,0.8454759410120191
P1,42,uniform_fusion,18135,18135,0,0.9122139509236283,0.9130272412573199,0.812821151237078,0.845737264095061
P1,42,margin_gate,18135,18135,0,0.9106148331954783,0.9114109953787409,0.8061654713567191,0.8399373120779751
P1,42,margin_gate_hsr,18135,18135,0,0.9109456851392336,0.9118077587062279,0.8080714372301046,0.8421003772603008
P1,43,rna_branch,18135,18135,0,0.8855252274607114,0.8848009316318006,0.7505884198718588,0.7681569630499275
P1,43,adt_branch,18135,18135,0,0.850179211469534,0.8526555603121456,0.6835315065667099,0.7168743878351389
P1,43,fusion_branch,18135,18135,0,0.9094568513923352,0.9086861147528806,0.8064260080931036,0.822872376522761
P1,43,uniform_fusion,18135,18135,0,0.9128205128205128,0.9120138280849553,0.8091072330102697,0.8231531331928453
P1,43,margin_gate,18135,18135,0,0.9111111111111111,0.9102850790475454,0.8089278684447564,0.824542885609821
