seed,class_label,modality,donor_a,donor_b,n_shared_features,spearman,top_k,top_k_jaccard
41,CD4 TEM_3,RNA,P1,P2,2945,0.7462435322668595,20,0.42857142857142855
41,CD4 TEM_3,RNA,P1,P3,2934,0.7046674160195101,20,0.3333333333333333
41,CD4 TEM_3,RNA,P1,P4,2905,0.7177108397512757,20,0.3333333333333333
41,CD4 TEM_3,RNA,P1,P5,2870,0.7156491073551756,20,0.3333333333333333
41,CD4 TEM_3,RNA,P1,P6,2823,0.7197178427787831,20,0.3333333333333333
41,CD4 TEM_3,RNA,P1,P7,2787,0.7173218924383082,20,0.3793103448275862
41,CD4 TEM_3,RNA,P1,P8,2903,0.7584592070438156,20,0.3333333333333333
41,CD4 TEM_3,RNA,P2,P3,2963,0.7440593656414323,20,0.3333333333333333
41,CD4 TEM_3,RNA,P2,P4,2923,0.7073455721316428,20,0.3333333333333333
41,CD4 TEM_3,RNA,P2,P5,2894,0.7565700421574242,20,0.42857142857142855
41,CD4 TEM_3,RNA,P2,P6,2850,0.716714152383102,20,0.42857142857142855
41,CD4 TEM_3,RNA,P2,P7,2817,0.7684702878517153,20,0.48148148148148145
41,CD4 TEM_3,RNA,P2,P8,2880,0.7200610230068105,20,0.3793103448275862
41,CD4 TEM_3,RNA,P3,P4,2932,0.7247577181215668,20,0.2903225806451613
41,CD4 TEM_3,RNA,P3,P5,2889,0.724421782091673,20,0.2903225806451613
41,CD4 TEM_3,RNA,P3,P6,2854,0.7012658043671925,20,0.2903225806451613
41,CD4 TEM_3,RNA,P3,P7,2823,0.7440911515323607,20,0.2903225806451613
41,CD4 TEM_3,RNA,P3,P8,2889,0.6989757763370721,20,0.2903225806451613
41,CD4 TEM_3,RNA,P4,P5,2932,0.7151480839133828,20,0.2903225806451613
41,CD4 TEM_3,RNA,P4,P6,2841,0.7021663468336308,20,0.3793103448275862
41,CD4 TEM_3,RNA,P4,P7,2809,0.7108155760946927,20,0.42857142857142855
41,CD4 TEM_3,RNA,P4,P8,2870,0.6943796956725975,20,0.3333333333333333
41,CD4 TEM_3,RNA,P5,P6,2856,0.7714920701185328,20,0.3793103448275862
41,CD4 TEM_3,RNA,P5,P7,2795,0.8044223062794864,20,0.3793103448275862
41,CD4 TEM_3,RNA,P5,P8,2840,0.7492061184443103,20,0.3793103448275862
41,CD4 TEM_3,RNA,P6,P7,2868,0.7881690601261947,20,0.6
41,CD4 TEM_3,RNA,P6,P8,2801,0.7082104349815703,20,0.3793103448275862
41,CD4 TEM_3,RNA,P7,P8,2831,0.7456853618255115,20,0.3793103448275862
41,CD4 TEM_3,ADT,P1,P2,224,0.6554249412769593,20,0.6
41,CD4 TEM_3,ADT,P1,P3,224,0.6530461242793083,20,0.5384615384615384
41,CD4 TEM_3,ADT,P1,P4,224,0.6146743540465515,20,0.5384615384615384
41,CD4 TEM_3,ADT,P1,P5,224,0.48240017083066417,20,0.3333333333333333
41,CD4 TEM_3,ADT,P1,P6,224,0.4719859064702115,20,0.3333333333333333
41,CD4 TEM_3,ADT,P1,P7,224,0.49109438394191757,20,0.2903225806451613
41,CD4 TEM_3,ADT,P1,P8,224,0.5544319880418537,20,0.42857142857142855
41,CD4 TEM_3,ADT,P2,P3,224,0.6840892590219946,20,0.6
41,CD4 TEM_3,ADT,P2,P4,224,0.5934902840059791,20,0.48148148148148145
41,CD4 TEM_3,ADT,P2,P5,224,0.5599519538757208,20,0.42857142857142855
41,CD4 TEM_3,ADT,P2,P6,224,0.5470734571855649,20,0.3333333333333333
41,CD4 TEM_3,ADT,P2,P7,224,0.5802284860132395,20,0.2903225806451613
41,CD4 TEM_3,ADT,P2,P8,224,0.5631411488362162,20,0.42857142857142855
41,CD4 TEM_3,ADT,P3,P4,224,0.5601569506726458,20,0.6
41,CD4 TEM_3,ADT,P3,P5,224,0.5015001067691652,20,0.48148148148148145
41,CD4 TEM_3,ADT,P3,P6,224,0.4737742899850524,20,0.48148148148148145
41,CD4 TEM_3,ADT,P3,P7,224,0.4908061071962418,20,0.3793103448275862
41,CD4 TEM_3,ADT,P3,P8,224,0.49478539397821925,20,0.6
41,CD4 TEM_3,ADT,P4,P5,224,0.4110975870168696,20,0.42857142857142855
41,CD4 TEM_3,ADT,P4,P6,224,0.37050822122571003,20,0.42857142857142855
41,CD4 TEM_3,ADT,P4,P7,224,0.4469816357036089,20,0.3333333333333333
41,CD4 TEM_3,ADT,P4,P8,224,0.4678347213324793,20,0.5384615384615384
41,CD4 TEM_3,ADT,P5,P6,224,0.6517093743326929,20,0.48148148148148145
41,CD4 TEM_3,ADT,P5,P7,224,0.6768385650224216,20,0.6
41,CD4 TEM_3,ADT,P5,P8,224,0.6869987187700193,20,0.6
41,CD4 TEM_3,ADT,P6,P7,224,0.6599017723681402,20,0.6
41,CD4 TEM_3,ADT,P6,P8,224,0.6737379884689302,20,0.5384615384615384
41,CD4 TEM_3,ADT,P7,P8,224,0.7019122357463166,20,0.5384615384615384
41,CD4 TCM_3,RNA,P1,P2,2945,0.737887093353952,20,0.6666666666666666
41,CD4 TCM_3,RNA,P1,P3,2934,0.7352618953432957,20,0.42857142857142855
41,CD4 TCM_3,RNA,P1,P4,2905,0.7293141110567984,20,0.42857142857142855
41,CD4 TCM_3,RNA,P1,P5,2870,0.7318400930148091,20,0.6
41,CD4 TCM_3,RNA,P1,P6,2823,0.7276707557775448,20,0.42857142857142855
41,CD4 TCM_3,RNA,P1,P7,2787,0.7239245116381896,20,0.42857142857142855
41,CD4 TCM_3,RNA,P1,P8,2903,0.7745454439310058,20,0.6
41,CD4 TCM_3,RNA,P2,P3,2963,0.7963720942161212,20,0.42857142857142855
41,CD4 TCM_3,RNA,P2,P4,2923,0.708544581743627,20,0.3333333333333333
41,CD4 TCM_3,RNA,P2,P5,2894,0.7834080428276374,20,0.6666666666666666
41,CD4 TCM_3,RNA,P2,P6,2850,0.7428463556662342,20,0.5384615384615384
41,CD4 TCM_3,RNA,P2,P7,2817,0.766104348426306,20,0.5384615384615384
41,CD4 TCM_3,RNA,P2,P8,2880,0.7325070819878973,20,0.7391304347826086
41,CD4 TCM_3,RNA,P3,P4,2932,0.7385110562988372,20,0.3333333333333333
41,CD4 TCM_3,RNA,P3,P5,2889,0.7735641120802573,20,0.42857142857142855
41,CD4 TCM_3,RNA,P3,P6,2854,0.7543361932105217,20,0.48148148148148145
41,CD4 TCM_3,RNA,P3,P7,2823,0.7658425037086343,20,0.5384615384615384
41,CD4 TCM_3,RNA,P3,P8,2889,0.74117957602909,20,0.48148148148148145
41,CD4 TCM_3,RNA,P4,P5,2932,0.7285137531270313,20,0.3333333333333333
41,CD4 TCM_3,RNA,P4,P6,2841,0.7272831829748577,20,0.2903225806451613
41,CD4 TCM_3,RNA,P4,P7,2809,0.7249249733298843,20,0.2903225806451613
41,CD4 TCM_3,RNA,P4,P8,2870,0.7100608537976931,20,0.3793103448275862
41,CD4 TCM_3,RNA,P5,P6,2856,0.7982489564366959,20,0.48148148148148145
41,CD4 TCM_3,RNA,P5,P7,2795,0.7961106890685574,20,0.5384615384615384
41,CD4 TCM_3,RNA,P5,P8,2840,0.7627593770796298,20,0.6
41,CD4 TCM_3,RNA,P6,P7,2868,0.7952950414249833,20,0.5384615384615384
41,CD4 TCM_3,RNA,P6,P8,2801,0.745754682836801,20,0.5384615384615384
41,CD4 TCM_3,RNA,P7,P8,2831,0.7613024569039206,20,0.48148148148148145
41,CD4 TCM_3,ADT,P1,P2,224,0.7017937219730942,20,0.6666666666666666
41,CD4 TCM_3,ADT,P1,P3,224,0.7246412556053814,20,0.5384615384615384
41,CD4 TCM_3,ADT,P1,P4,224,0.6578496690155883,20,0.6
41,CD4 TCM_3,ADT,P1,P5,224,0.5739120222079864,20,0.42857142857142855
41,CD4 TCM_3,ADT,P1,P6,224,0.5197704462951102,20,0.3793103448275862
41,CD4 TCM_3,ADT,P1,P7,224,0.4930568011958147,20,0.3793103448275862
41,CD4 TCM_3,ADT,P1,P8,224,0.5636045270125989,20,0.42857142857142855
41,CD4 TCM_3,ADT,P2,P3,224,0.7753726243860773,20,0.6
41,CD4 TCM_3,ADT,P2,P4,224,0.6702445013879993,20,0.7391304347826086
41,CD4 TCM_3,ADT,P2,P5,224,0.5763794576126416,20,0.42857142857142855
41,CD4 TCM_3,ADT,P2,P6,224,0.5020585095024558,20,0.2903225806451613
41,CD4 TCM_3,ADT,P2,P7,224,0.5606171257740764,20,0.3333333333333333
41,CD4 TCM_3,ADT,P2,P8,224,0.6487369207772795,20,0.48148148148148145
41,CD4 TCM_3,ADT,P3,P4,224,0.7132895579756569,20,0.6666666666666666
41,CD4 TCM_3,ADT,P3,P5,224,0.6323777493060005,20,0.5384615384615384
41,CD4 TCM_3,ADT,P3,P6,224,0.5469175742045698,20,0.42857142857142855
41,CD4 TCM_3,ADT,P3,P7,224,0.5974546231048474,20,0.48148148148148145
41,CD4 TCM_3,ADT,P3,P8,224,0.6180311765961992,20,0.6
41,CD4 TCM_3,ADT,P4,P5,224,0.5008562887038224,20,0.5384615384615384
41,CD4 TCM_3,ADT,P4,P6,224,0.4882628656843904,20,0.3333333333333333
41,CD4 TCM_3,ADT,P4,P7,224,0.49131966688020506,20,0.42857142857142855
41,CD4 TCM_3,ADT,P4,P8,224,0.5297864616698699,20,0.6
41,CD4 TCM_3,ADT,P5,P6,224,0.7078101644245144,20,0.5384615384615384
41,CD4 TCM_3,ADT,P5,P7,224,0.7427557121503311,20,0.7391304347826086
41,CD4 TCM_3,ADT,P5,P8,224,0.7324951953875722,20,0.7391304347826086
41,CD4 TCM_3,ADT,P6,P7,224,0.6951569506726458,20,0.6
41,CD4 TCM_3,ADT,P6,P8,224,0.714752295537049,20,0.48148148148148145
41,CD4 TCM_3,ADT,P7,P8,224,0.7467926542814436,20,0.6
41,CD8 Naive,RNA,P1,P2,2945,0.7843847622526207,20,0.3333333333333333
41,CD8 Naive,RNA,P1,P3,2934,0.7959880410984014,20,0.3333333333333333
41,CD8 Naive,RNA,P1,P4,2905,0.8085352059979469,20,0.3333333333333333
41,CD8 Naive,RNA,P1,P5,2870,0.74794705090829,20,0.14285714285714285
41,CD8 Naive,RNA,P1,P6,2823,0.7895897083018844,20,0.25
41,CD8 Naive,RNA,P1,P7,2787,0.7654128115917647,20,0.21212121212121213
41,CD8 Naive,RNA,P1,P8,2903,0.8189366094777887,20,0.2903225806451613
41,CD8 Naive,RNA,P2,P3,2963,0.7926497202515319,20,0.2903225806451613
41,CD8 Naive,RNA,P2,P4,2923,0.7716252843412746,20,0.21212121212121213
41,CD8 Naive,RNA,P2,P5,2894,0.7356291405987796,20,0.08108108108108109
41,CD8 Naive,RNA,P2,P6,2850,0.7717602095766729,20,0.25
41,CD8 Naive,RNA,P2,P7,2817,0.7564729486566896,20,0.21212121212121213
41,CD8 Naive,RNA,P2,P8,2880,0.7612529722366462,20,0.2903225806451613
41,CD8 Naive,RNA,P3,P4,2932,0.811174914851624,20,0.3333333333333333
41,CD8 Naive,RNA,P3,P5,2889,0.758211039618839,20,0.14285714285714285
41,CD8 Naive,RNA,P3,P6,2854,0.8013630531329611,20,0.42857142857142855
41,CD8 Naive,RNA,P3,P7,2823,0.7763054808182139,20,0.3793103448275862
41,CD8 Naive,RNA,P3,P8,2889,0.7887073862693518,20,0.3333333333333333
41,CD8 Naive,RNA,P4,P5,2932,0.7646745322220352,20,0.1111111111111111
41,CD8 Naive,RNA,P4,P6,2841,0.8113499281067778,20,0.25
41,CD8 Naive,RNA,P4,P7,2809,0.779003249573886,20,0.21212121212121213
41,CD8 Naive,RNA,P4,P8,2870,0.8075857388996507,20,0.25
41,CD8 Naive,RNA,P5,P6,2856,0.7938261464427915,20,0.17647058823529413
41,CD8 Naive,RNA,P5,P7,2795,0.7739105786555789,20,0.1111111111111111
41,CD8 Naive,RNA,P5,P8,2840,0.7792459030081137,20,0.21212121212121213
41,CD8 Naive,RNA,P6,P7,2868,0.8276709455306022,20,0.3793103448275862
41,CD8 Naive,RNA,P6,P8,2801,0.8243527423071055,20,0.42857142857142855
41,CD8 Naive,RNA,P7,P8,2831,0.8191390004702216,20,0.3333333333333333
41,CD8 Naive,ADT,P1,P2,224,0.688518043988896,20,0.48148148148148145
41,CD8 Naive,ADT,P1,P3,224,0.5872186632500536,20,0.48148148148148145
41,CD8 Naive,ADT,P1,P4,224,0.6529446935724964,20,0.5384615384615384
41,CD8 Naive,ADT,P1,P5,224,0.45979073243647245,20,0.25
41,CD8 Naive,ADT,P1,P6,224,0.44229446935724964,20,0.3333333333333333
41,CD8 Naive,ADT,P1,P7,224,0.39500533845825336,20,0.21212121212121213
41,CD8 Naive,ADT,P1,P8,224,0.4596530002135384,20,0.2903225806451613
41,CD8 Naive,ADT,P2,P3,224,0.6922175955584028,20,0.6666666666666666
41,CD8 Naive,ADT,P2,P4,224,0.6818001281229983,20,0.42857142857142855
41,CD8 Naive,ADT,P2,P5,224,0.5106299380738843,20,0.3793103448275862
41,CD8 Naive,ADT,P2,P6,224,0.4799273969677558,20,0.3793103448275862
41,CD8 Naive,ADT,P2,P7,224,0.4354377535767671,20,0.3333333333333333
41,CD8 Naive,ADT,P2,P8,224,0.4853331197950033,20,0.3793103448275862
41,CD8 Naive,ADT,P3,P4,224,0.6381678411274826,20,0.6
41,CD8 Naive,ADT,P3,P5,224,0.48642643604527025,20,0.48148148148148145
41,CD8 Naive,ADT,P3,P6,224,0.5044629510997225,20,0.48148148148148145
41,CD8 Naive,ADT,P3,P7,224,0.44225069399957295,20,0.3793103448275862
41,CD8 Naive,ADT,P3,P8,224,0.4988426222506941,20,0.48148148148148145
41,CD8 Naive,ADT,P4,P5,224,0.536506512919069,20,0.3793103448275862
41,CD8 Naive,ADT,P4,P6,224,0.45768844757634003,20,0.3333333333333333
41,CD8 Naive,ADT,P4,P7,224,0.4270190049113816,20,0.25
41,CD8 Naive,ADT,P4,P8,224,0.479060431347427,20,0.3333333333333333
41,CD8 Naive,ADT,P5,P6,224,0.7006512919068973,20,0.6666666666666666
41,CD8 Naive,ADT,P5,P7,224,0.6840497544309204,20,0.5384615384615384
41,CD8 Naive,ADT,P5,P8,224,0.6968599188554346,20,0.6
41,CD8 Naive,ADT,P6,P7,224,0.7046476617552851,20,0.6666666666666666
41,CD8 Naive,ADT,P6,P8,224,0.7270318172111895,20,0.6
41,CD8 Naive,ADT,P7,P8,224,0.7432756779841982,20,0.6
41,CD8 Naive_2,RNA,P1,P2,2945,0.6968223978944231,20,0.3793103448275862
41,CD8 Naive_2,RNA,P1,P3,2934,0.6540854826229664,20,0.25
41,CD8 Naive_2,RNA,P1,P4,2905,0.6524756813815822,20,0.3333333333333333
41,CD8 Naive_2,RNA,P1,P5,2870,0.6739454372644169,20,0.3793103448275862
41,CD8 Naive_2,RNA,P1,P6,2823,0.6412568362341996,20,0.2903225806451613
41,CD8 Naive_2,RNA,P1,P7,2787,0.6608279550721747,20,0.25
41,CD8 Naive_2,RNA,P1,P8,2903,0.6963813281972795,20,0.42857142857142855
41,CD8 Naive_2,RNA,P2,P3,2963,0.7244301821832722,20,0.3793103448275862
41,CD8 Naive_2,RNA,P2,P4,2923,0.6750251078039998,20,0.2903225806451613
41,CD8 Naive_2,RNA,P2,P5,2894,0.7328171072465723,20,0.5384615384615384
41,CD8 Naive_2,RNA,P2,P6,2850,0.6995378710806632,20,0.14285714285714285
41,CD8 Naive_2,RNA,P2,P7,2817,0.7122054337111912,20,0.42857142857142855
41,CD8 Naive_2,RNA,P2,P8,2880,0.6904022060411893,20,0.3333333333333333
41,CD8 Naive_2,RNA,P3,P4,2932,0.7015411301949234,20,0.21212121212121213
41,CD8 Naive_2,RNA,P3,P5,2889,0.7122318701899445,20,0.3333333333333333
41,CD8 Naive_2,RNA,P3,P6,2854,0.7005369583435263,20,0.25
41,CD8 Naive_2,RNA,P3,P7,2823,0.6949448916156232,20,0.3333333333333333
41,CD8 Naive_2,RNA,P3,P8,2889,0.6775524272817477,20,0.42857142857142855
41,CD8 Naive_2,RNA,P4,P5,2932,0.6908917479409625,20,0.3793103448275862
41,CD8 Naive_2,RNA,P4,P6,2841,0.6636616491338391,20,0.17647058823529413
41,CD8 Naive_2,RNA,P4,P7,2809,0.6743506204063208,20,0.3333333333333333
41,CD8 Naive_2,RNA,P4,P8,2870,0.6520669062572728,20,0.3333333333333333
41,CD8 Naive_2,RNA,P5,P6,2856,0.7290708656594197,20,0.25
41,CD8 Naive_2,RNA,P5,P7,2795,0.7506006035259509,20,0.5384615384615384
41,CD8 Naive_2,RNA,P5,P8,2840,0.709961554875497,20,0.3793103448275862
41,CD8 Naive_2,RNA,P6,P7,2868,0.7366562510700103,20,0.25
41,CD8 Naive_2,RNA,P6,P8,2801,0.6818191011570371,20,0.2903225806451613
41,CD8 Naive_2,RNA,P7,P8,2831,0.7068410159705028,20,0.3333333333333333
41,CD8 Naive_2,ADT,P1,P2,224,0.5784091394405296,20,0.5384615384615384
41,CD8 Naive_2,ADT,P1,P3,224,0.6120873371770233,20,0.3333333333333333
41,CD8 Naive_2,ADT,P1,P4,224,0.5642131112534701,20,0.6
41,CD8 Naive_2,ADT,P1,P5,224,0.45822976724322023,20,0.6
41,CD8 Naive_2,ADT,P1,P6,224,0.48061071962417257,20,0.3793103448275862
41,CD8 Naive_2,ADT,P1,P7,224,0.4429991458466796,20,0.42857142857142855
41,CD8 Naive_2,ADT,P1,P8,224,0.4579372197309418,20,0.48148148148148145
41,CD8 Naive_2,ADT,P2,P3,224,0.5585575485799702,20,0.3793103448275862
41,CD8 Naive_2,ADT,P2,P4,224,0.5491020713218023,20,0.6
41,CD8 Naive_2,ADT,P2,P5,224,0.4883909886824686,20,0.6
41,CD8 Naive_2,ADT,P2,P6,224,0.44525090753790314,20,0.42857142857142855
41,CD8 Naive_2,ADT,P2,P7,224,0.5227119367926543,20,0.42857142857142855
41,CD8 Naive_2,ADT,P2,P8,224,0.46069506726457404,20,0.5384615384615384
41,CD8 Naive_2,ADT,P3,P4,224,0.5178005551996584,20,0.3793103448275862
41,CD8 Naive_2,ADT,P3,P5,224,0.4144597480247705,20,0.42857142857142855
41,CD8 Naive_2,ADT,P3,P6,224,0.4889120222079864,20,0.42857142857142855
41,CD8 Naive_2,ADT,P3,P7,224,0.41253256459534493,20,0.3793103448275862
41,CD8 Naive_2,ADT,P3,P8,224,0.45313581037796286,20,0.3793103448275862
41,CD8 Naive_2,ADT,P4,P5,224,0.4384315609651933,20,0.48148148148148145
41,CD8 Naive_2,ADT,P4,P6,224,0.45078902412983135,20,0.48148148148148145
41,CD8 Naive_2,ADT,P4,P7,224,0.41183429425581897,20,0.48148148148148145
41,CD8 Naive_2,ADT,P4,P8,224,0.42928464659406373,20,0.5384615384615384
41,CD8 Naive_2,ADT,P5,P6,224,0.5433952594490712,20,0.5384615384615384
41,CD8 Naive_2,ADT,P5,P7,224,0.5774674354046553,20,0.5384615384615384
41,CD8 Naive_2,ADT,P5,P8,224,0.5395280802904122,20,0.6666666666666666
41,CD8 Naive_2,ADT,P6,P7,224,0.5457345718556481,20,0.5384615384615384
41,CD8 Naive_2,ADT,P6,P8,224,0.40127802690582964,20,0.48148148148148145
41,CD8 Naive_2,ADT,P7,P8,224,0.612709801409353,20,0.6666666666666666
41,CD8 TCM_1,RNA,P1,P2,2945,0.7597353628507947,20,0.3333333333333333
41,CD8 TCM_1,RNA,P1,P3,2934,0.7444319364632486,20,0.42857142857142855
41,CD8 TCM_1,RNA,P1,P4,2905,0.7118897559685173,20,0.3793103448275862
41,CD8 TCM_1,RNA,P1,P5,2870,0.721209395657613,20,0.2903225806451613
41,CD8 TCM_1,RNA,P1,P6,2823,0.7381379859691302,20,0.2903225806451613
41,CD8 TCM_1,RNA,P1,P7,2787,0.7221863811801383,20,0.3333333333333333
41,CD8 TCM_1,RNA,P1,P8,2903,0.7765762489331766,20,0.48148148148148145
41,CD8 TCM_1,RNA,P2,P3,2963,0.7837490686210371,20,0.48148148148148145
41,CD8 TCM_1,RNA,P2,P4,2923,0.729077382959991,20,0.42857142857142855
41,CD8 TCM_1,RNA,P2,P5,2894,0.7797593986846622,20,0.48148148148148145
41,CD8 TCM_1,RNA,P2,P6,2850,0.7519482788681039,20,0.6
41,CD8 TCM_1,RNA,P2,P7,2817,0.7576439647815247,20,0.48148148148148145
41,CD8 TCM_1,RNA,P2,P8,2880,0.7385255901803937,20,0.6
41,CD8 TCM_1,RNA,P3,P4,2932,0.7467940975361193,20,0.48148148148148145
41,CD8 TCM_1,RNA,P3,P5,2889,0.7470393359856584,20,0.48148148148148145
41,CD8 TCM_1,RNA,P3,P6,2854,0.7320109465155245,20,0.3333333333333333
41,CD8 TCM_1,RNA,P3,P7,2823,0.7422203322573576,20,0.42857142857142855
41,CD8 TCM_1,RNA,P3,P8,2889,0.7278448572909085,20,0.5384615384615384
41,CD8 TCM_1,RNA,P4,P5,2932,0.7454671592503802,20,0.3793103448275862
41,CD8 TCM_1,RNA,P4,P6,2841,0.7322178675226542,20,0.3333333333333333
41,CD8 TCM_1,RNA,P4,P7,2809,0.7184211957892253,20,0.3793103448275862
41,CD8 TCM_1,RNA,P4,P8,2870,0.710132263744043,20,0.3793103448275862
41,CD8 TCM_1,RNA,P5,P6,2856,0.7963000839848705,20,0.3793103448275862
41,CD8 TCM_1,RNA,P5,P7,2795,0.7994698673916698,20,0.3793103448275862
41,CD8 TCM_1,RNA,P5,P8,2840,0.7411582600629475,20,0.42857142857142855
41,CD8 TCM_1,RNA,P6,P7,2868,0.7857405497496289,20,0.48148148148148145
41,CD8 TCM_1,RNA,P6,P8,2801,0.7549638020944538,20,0.48148148148148145
41,CD8 TCM_1,RNA,P7,P8,2831,0.7535413026330151,20,0.42857142857142855
41,CD8 TCM_1,ADT,P1,P2,224,0.7194896433909889,20,0.48148148148148145
41,CD8 TCM_1,ADT,P1,P3,224,0.6660046978432629,20,0.7391304347826086
41,CD8 TCM_1,ADT,P1,P4,224,0.6750597907324366,20,0.5384615384615384
41,CD8 TCM_1,ADT,P1,P5,224,0.5153267136450993,20,0.48148148148148145
41,CD8 TCM_1,ADT,P1,P6,224,0.5363207345718558,20,0.3793103448275862
41,CD8 TCM_1,ADT,P1,P7,224,0.5258787102284861,20,0.48148148148148145
41,CD8 TCM_1,ADT,P1,P8,224,0.5397362801622891,20,0.48148148148148145
41,CD8 TCM_1,ADT,P2,P3,224,0.7047170617125775,20,0.6
41,CD8 TCM_1,ADT,P2,P4,224,0.741690155882981,20,0.6666666666666666
41,CD8 TCM_1,ADT,P2,P5,224,0.5633920563741193,20,0.5384615384615384
41,CD8 TCM_1,ADT,P2,P6,224,0.5493316250266924,20,0.5384615384615384
41,CD8 TCM_1,ADT,P2,P7,224,0.5619613495622465,20,0.42857142857142855
41,CD8 TCM_1,ADT,P2,P8,224,0.5219474695707881,20,0.42857142857142855
41,CD8 TCM_1,ADT,P3,P4,224,0.6627695921417895,20,0.6
41,CD8 TCM_1,ADT,P3,P5,224,0.5287241084774718,20,0.48148148148148145
41,CD8 TCM_1,ADT,P3,P6,224,0.5066591928251122,20,0.3793103448275862
41,CD8 TCM_1,ADT,P3,P7,224,0.4857281657057443,20,0.48148148148148145
