method,metric,n_donors,mean,sd_across_donors,ci95_low,ci95_high,ci95_margin,worst_donor_value,best_donor_value
inference::adt_branch,accuracy,8,0.8359602718700445,0.013735252234557545,0.8244773136409218,0.8474432300991672,0.011482958229122719,0.8149005238967634,0.8550421389131065
inference::adt_branch,weighted_f1,8,0.8363549822151646,0.01114712467307309,0.8270357527747564,0.8456742116555728,0.009319229440408226,0.8158822549819447,0.8506647448661883
inference::adt_branch,macro_f1,8,0.6661173917256995,0.017524626407960698,0.6514664374085088,0.6807683460428902,0.014650954317190667,0.6360342417509418,0.696181772208159
inference::adt_branch,balanced_accuracy,8,0.6875573831440436,0.01143145371415856,0.6780004486767195,0.6971143176113677,0.009556934467324037,0.6669873036026762,0.6996050561574005
inference::fusion_branch,accuracy,8,0.9099912698137563,0.003574007317468973,0.9070033249230306,0.9129792147044821,0.002987944890725713,0.9041837198726695,0.9162769123729272
inference::fusion_branch,weighted_f1,8,0.9092207542910113,0.004854626328925443,0.905162185114335,0.9132793234676877,0.004058569176676351,0.9005046978917681,0.9156723544898121
inference::fusion_branch,macro_f1,8,0.8058525502465963,0.016669309296672156,0.7919166589288946,0.819788441564298,0.013935891317701699,0.77710297572012,0.8241627200922371
inference::fusion_branch,balanced_accuracy,8,0.8118123042159555,0.022321168648961925,0.7931513402347949,0.8304732681971161,0.018660963981160555,0.7754835804912986,0.8418516013770478
inference::margin_gate,accuracy,8,0.9119092456313662,0.0040091581828989725,0.9085575055131654,0.915260985749567,0.003351740118200853,0.9055025011368804,0.9181966938528339
inference::margin_gate,weighted_f1,8,0.9107244726632573,0.005423216204938353,0.9061905504545243,0.9152583948719902,0.004533922208732892,0.9009983358429482,0.91727240365248
inference::margin_gate,macro_f1,8,0.8076732047409052,0.018145453597548072,0.7925032259046307,0.8228431835771797,0.015169978836274432,0.7794481061828793,0.8313936765729436
inference::margin_gate,balanced_accuracy,8,0.8096012099044669,0.022735428962940778,0.7905939156339045,0.8286085041750294,0.019007294270562455,0.775563215479035,0.8420222280536241
inference::margin_gate_hsr,accuracy,8,0.9119325063485666,0.003999560917109939,0.9085887897453538,0.9152762229517794,0.003343716603212757,0.9056844020009095,0.9183126538079961
inference::margin_gate_hsr,weighted_f1,8,0.9107544995448474,0.005397912213443832,0.9062417320023995,0.9152672670872953,0.004512767542447943,0.9011972035957109,0.9173949944389741
inference::margin_gate_hsr,macro_f1,8,0.8071927715107629,0.018489411935770018,0.7917352363076368,0.822650306713889,0.015457535203126134,0.7791630709981275,0.830688802370268
inference::margin_gate_hsr,balanced_accuracy,8,0.808457181995857,0.02331893102644002,0.7889620677925153,0.8279522961991987,0.019495114203341764,0.7744564525080384,0.8401843225329207
inference::rna_branch,accuracy,8,0.8894019954769854,0.0057390687473800345,0.8846040139346864,0.8941999770192844,0.0047979815422990275,0.8827129859387924,0.8975171685155837
inference::rna_branch,weighted_f1,8,0.8882417067167659,0.0068456034778391454,0.8825186389895211,0.8939647744440108,0.005723067727244858,0.8804649928038525,0.8973259493973993
inference::rna_branch,macro_f1,8,0.756368904995588,0.019362076862669577,0.740181803656181,0.7725560063349949,0.01618710133940691,0.7293038999013742,0.7781663361136663
inference::rna_branch,balanced_accuracy,8,0.7652035641786691,0.02585100997787987,0.7435915789972268,0.7868155493601113,0.021611985181442243,0.7261739328893858,0.8062183549073175
inference::uniform_fusion,accuracy,8,0.9129939754483287,0.004073755614755246,0.9095882305256258,0.9163997203710317,0.0034057449227029445,0.9068212824010914,0.9195624444358548
inference::uniform_fusion,weighted_f1,8,0.9118298208679402,0.005531210720051786,0.9072056129851734,0.9164540287507069,0.004624207882766738,0.9021191233993079,0.9186761922633552
inference::uniform_fusion,macro_f1,8,0.8113673828888188,0.018273473669564885,0.7960903765939762,0.8266443891836615,0.015277006294842665,0.780268620441061,0.8331203462422329
inference::uniform_fusion,balanced_accuracy,8,0.8128742416473391,0.023416191489083183,0.7932978156624003,0.8324506676322779,0.019576425984938802,0.7759035904445399,0.844432255916251
mlp,accuracy,8,0.9090639224956786,0.005090944659275272,0.9048077862507138,0.9133200587406434,0.004256136244964743,0.9022984126984127,0.9160820992465576
mlp,weighted_f1,8,0.9067966069970116,0.005745458447841214,0.9019932835314454,0.9115999304625778,0.004803323465566205,0.8987262042993259,0.9146527794387933
mlp,macro_f1,8,0.7923437919473947,0.019756882496761958,0.7758266248379906,0.8088609590567988,0.01651716710940412,0.7626214281392457,0.8243667673354235
mlp,balanced_accuracy,8,0.7796289328588666,0.020068721687794142,0.7628510616616397,0.7964068040560934,0.01677787119722689,0.7461193270944687,0.8125550151753941
mosaic_full,accuracy,8,0.9119325063485666,0.003999560917109939,0.9085887897453538,0.9152762229517794,0.003343716603212757,0.9056844020009095,0.9183126538079961
mosaic_full,weighted_f1,8,0.9107544995448474,0.005397912213443832,0.9062417320023995,0.9152672670872953,0.004512767542447943,0.9011972035957109,0.9173949944389741
mosaic_full,macro_f1,8,0.8071927715107629,0.018489411935770018,0.7917352363076368,0.822650306713889,0.015457535203126134,0.7791630709981275,0.830688802370268
mosaic_full,balanced_accuracy,8,0.808457181995857,0.02331893102644002,0.7889620677925153,0.8279522961991987,0.019495114203341764,0.7744564525080384,0.8401843225329207
mosaic_no_hsr,accuracy,8,0.91352493657149,0.003953645165916821,0.9102196064968976,0.9168302666460825,0.003305330074592421,0.9080770096101309,0.9199618620591911
mosaic_no_hsr,weighted_f1,8,0.9120868294399949,0.004967609174679564,0.9079338042405061,0.9162398546394837,0.004153025199488791,0.9056538117197256,0.9192019137910927
mosaic_no_hsr,macro_f1,8,0.809695227767556,0.017520446977393224,0.7950477675417593,0.8243426879933526,0.014647460225796619,0.7847215204996537,0.8356382943123924
mosaic_no_hsr,balanced_accuracy,8,0.8066568469839133,0.020547772694122116,0.7894784791229671,0.8238352148448594,0.017178367860946186,0.7741666071082921,0.8382485098216783
mosaic_no_kd,accuracy,8,0.9134174000674232,0.0038906692993061613,0.9101647191348621,0.9166700809999844,0.0032526809325611173,0.9092019413107061,0.9200133998170409
mosaic_no_kd,weighted_f1,8,0.91213144836443,0.005139363404414708,0.9078348330355397,0.9164280636933204,0.004296615328890397,0.9048524524438291,0.9193840759158173
mosaic_no_kd,macro_f1,8,0.8110359996596321,0.018453325556428042,0.7956086334246143,0.82646336589465,0.015427366235017807,0.781295408602866,0.836032902621684
mosaic_no_kd,balanced_accuracy,8,0.807851267505842,0.01977007351120692,0.7913230724323871,0.824379462579297,0.01652819507345491,0.7773016676582465,0.8385477121390584
