class_label,modality,n_donor_pairs,mean_spearman,median_spearman,mean_top20_jaccard,median_top20_jaccard,statistical_unit,protocol,caveat,source_artifact
CD4 TCM_3,ADT,28,0.6122974436411337,0.5666116805466582,0.5103322195034402,0.4857142857142856,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv
CD4 TCM_3,RNA,28,0.7510024170926147,0.7496266708410062,0.4354960476019762,0.429787751626832,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv
CD4 TEM_3,ADT,28,0.5534833440102499,0.5065323154672932,0.4721720614914284,0.47044943136897155,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv
CD4 TEM_3,RNA,28,0.7399754489462299,0.7362344059812027,0.41819078607044075,0.41275922885118277,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv
CD4 TEM_4,ADT,21,0.29451714916160787,0.2917713004484305,0.29145526931348714,0.2929292929292929,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv
CD4 TEM_4,RNA,21,0.5292461567931068,0.5307177538217611,0.11265929112014912,0.11278195488721798,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv
CD8 Naive,ADT,28,0.5544659508048362,0.5076859562958218,0.46840083828447365,0.42341141191715903,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv
CD8 Naive,RNA,28,0.7955541889217889,0.7941354506298979,0.28954310763113256,0.3021282264886269,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv
CD8 Naive_2,ADT,28,0.48501475702388586,0.47010748095949895,0.47399303401739973,0.4746279688808424,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv
CD8 Naive_2,RNA,28,0.6828638542269064,0.6860633366156771,0.299340369861654,0.30510752688172044,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv
CD8 TCM_1,ADT,28,0.5816150488596037,0.5406870595771942,0.4809619864115945,0.4678558563616035,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv
CD8 TCM_1,RNA,28,0.752929128271031,0.7440990534245737,0.4548001503825435,0.4492582768444837,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv
