evidence_role,source_artifact,artifact_type,bytes,sha256,protocol_preserved,caveat_preserved,legacy_performance_fallback
donor_summary,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv,csv,6870,7d70ee4715385abab0483c8fef08706d12d91416a518afbda524b138417669e8,yes,yes,no
paired_statistics,results/tables/mosaic_n_v33_paired_donor_statistics_2026-07-23.csv,csv,5882,2e34b47c3f80b60621e27a5ee0c8540e286120e9a3ebab6957fede94b752d749,yes,yes,no
panel_metrics,results/tables/mosaic_n_v33_panel_robustness_metrics_2026-07-23.csv,csv,61283,a652593ad8fa06f611967fe6e1a975faa0bbaffdcdeb427412c64a5d4728bb6e,yes,yes,no
panel_slopes,results/tables/mosaic_n_v33_panel_robustness_slopes_2026-07-23.csv,csv,4270,47babf55d1a5c4739ed14b4cfa3f916a94c2d86c3f7b6f462ca33a269463ca89,yes,yes,no
panel_config,results/exp_missing_modality/mosaic_n_v33/config.json,json,562,8c1a4cb6ad2f437d167650d90a54345699efb93d780824066e254c4b6e25f82a,yes,yes,no
unknown_metrics,results/tables/mosaic_n_v33_unknown_reject_metrics_2026-07-23.csv,csv,30728,0a47e14a1949d1a1f6329ddf6c1b1ae4e4d04d9d6366e84d816d7f4cac613af4,yes,yes,no
unknown_config,results/exp_unknown_celltype/mosaic_n_v33/evaluation/config.json,json,378,27115823494b8b3ba2908849640ab2f7fae4ea5cc805998f8667eebbfe3c25c4,yes,yes,no
pdc_comparison,results/tables/mosaic_n_v33_pdc101_mmochi_comparison_2026-07-23.csv,csv,1200,e962caa9713b6a624f85ad412636e9a2ffaa43d70301f01a599110332733d2cc,yes,yes,no
pdc_per_class,results/tables/mosaic_n_v33_pdc101_mmochi_per_class_2026-07-23.csv,csv,3089,e8bb25e212f9d0f010b768f9ca3144d2f5689506b724d45c5c843234830c4a6f,yes,yes,no
pdc_config,results/exp_generalization/mosaic_n_v33/pdc101/config.json,json,1547,04ea9a40b0bdc505440f1d91898f360190455fd62602fc5e5120a0435982f1aa,yes,yes,no
attribution_stability,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv,csv,63726,21d6bbcaa8409b5e9c3867c657a1fa1e6287309c5bd5ce0484c98b11dd8cf757,yes,yes,no
marker_enrichment,results/tables/mosaic_n_v33_marker_enrichment_2026-07-23.csv,csv,2443,c083a79db5999a918d4307e0ffb0cc7e2bf8973fea5f155958084213052a7712,yes,yes,no
attribution_config,results/exp_explainability/mosaic_n_v33/config.json,json,384,64fdb6eec0ef505911f4f258a5e9e90138b63d612f26554bfe4626bbd52370b5,yes,yes,no
