scenario,metric,n_donors,mean,sd_across_donors,ci95_low,ci95_high,worst_donor_value,mask_fraction,mean_masked_proteins,statistical_unit,protocol,caveat,source_artifact
full,accuracy,8,0.9119325063485666,0.003999560917109939,0.9085887897445302,0.915276222952603,0.9056844020009095,0.0,0.0,held-out donor after seed averaging,locked feature-level protein-panel masks,Mask scenarios and seeds were fixed before test evaluation; marker-group rows have no scalar random-mask fraction.,results/tables/mosaic_n_v33_panel_robustness_metrics_2026-07-23.csv
full,weighted_f1,8,0.9107544995448474,0.005397912213443832,0.9062417320012879,0.915267267088407,0.9011972035957109,0.0,0.0,held-out donor after seed averaging,locked feature-level protein-panel masks,Mask scenarios and seeds were fixed before test evaluation; marker-group rows have no scalar random-mask fraction.,results/tables/mosaic_n_v33_panel_robustness_metrics_2026-07-23.csv
full,macro_f1,8,0.8071927715107629,0.018489411935770018,0.791735236303829,0.8226503067176967,0.7791630709981275,0.0,0.0,held-out donor after seed averaging,locked feature-level protein-panel masks,Mask scenarios and seeds were fixed before test evaluation; marker-group rows have no scalar random-mask fraction.,results/tables/mosaic_n_v33_panel_robustness_metrics_2026-07-23.csv
full,ece,8,0.07129689191210137,0.008079788565925769,0.06454201962864291,0.07805176419555983,0.08737017019818827,0.0,0.0,held-out donor after seed averaging,locked feature-level protein-panel masks,Mask scenarios and seeds were fixed before test evaluation; marker-group rows have no scalar random-mask fraction.,results/tables/mosaic_n_v33_panel_robustness_metrics_2026-07-23.csv
full,brier,8,0.15234919016559914,0.008113887622215703,0.14556581035767446,0.15913256997352382,0.16290550430615736,0.0,0.0,held-out donor after seed averaging,locked feature-level protein-panel masks,Mask scenarios and seeds were fixed before test evaluation; marker-group rows have no scalar random-mask fraction.,results/tables/mosaic_n_v33_panel_robustness_metrics_2026-07-23.csv
marker_memory,accuracy,8,0.9092997241257597,0.0042272439181892055,0.9057656597693216,0.9128337884821978,0.9030013642564801,,6.0,held-out donor after seed averaging,locked feature-level protein-panel masks,Mask scenarios and seeds were fixed before test evaluation; marker-group rows have no scalar random-mask fraction.,results/tables/mosaic_n_v33_panel_robustness_metrics_2026-07-23.csv
marker_memory,weighted_f1,8,0.9081995629065949,0.005297677784563588,0.9037705934426468,0.912628532370543,0.8991045630755794,,6.0,held-out donor after seed averaging,locked feature-level protein-panel masks,Mask scenarios and seeds were fixed before test evaluation; marker-group rows have no scalar random-mask fraction.,results/tables/mosaic_n_v33_panel_robustness_metrics_2026-07-23.csv
marker_memory,macro_f1,8,0.8006206710746671,0.020774180022798683,0.7832530219459054,0.8179883202034287,0.7678196755383574,,6.0,held-out donor after seed averaging,locked feature-level protein-panel masks,Mask scenarios and seeds were fixed before test evaluation; marker-group rows have no scalar random-mask fraction.,results/tables/mosaic_n_v33_panel_robustness_metrics_2026-07-23.csv
marker_memory,ece,8,0.07380103884685577,0.008136719835542202,0.06699857083090302,0.08060350686280851,0.08994010729445016,,6.0,held-out donor after seed averaging,locked feature-level protein-panel masks,Mask scenarios and seeds were fixed before test evaluation; marker-group rows have no scalar random-mask fraction.,results/tables/mosaic_n_v33_panel_robustness_metrics_2026-07-23.csv
marker_memory,brier,8,0.1564468493064244,0.008354499361704884,0.14946231305029706,0.16343138556255177,0.167403961221377,,6.0,held-out donor after seed averaging,locked feature-level protein-panel masks,Mask scenarios and seeds were fixed before test evaluation; marker-group rows have no scalar random-mask fraction.,results/tables/mosaic_n_v33_panel_robustness_metrics_2026-07-23.csv
