method,class_label,n_seeds,mean_f1,ci95_margin,support,uncertainty_mode,dataset,n_holdout,protocol_caveat,statistical_unit,protocol,caveat,source_artifact
MOSAIC,cd4_cm,3,0.8185002970885323,0.0415733848546995,207,seed Student-t,PDC101 sorted external holdout,2098,train-only preprocessing; no HTO/control; three model seeds,model seed,PDC101 locked sorted external holdout,train-only preprocessing; no HTO/control; three model seeds,results/tables/mosaic_n_v33_pdc101_mmochi_per_class_2026-07-23.csv
MOSAIC,cd4_em,3,0.9374317643109236,0.0176791065140426,295,seed Student-t,PDC101 sorted external holdout,2098,train-only preprocessing; no HTO/control; three model seeds,model seed,PDC101 locked sorted external holdout,train-only preprocessing; no HTO/control; three model seeds,results/tables/mosaic_n_v33_pdc101_mmochi_per_class_2026-07-23.csv
MOSAIC,cd4_n,3,0.9332912255522098,0.0141318750425351,227,seed Student-t,PDC101 sorted external holdout,2098,train-only preprocessing; no HTO/control; three model seeds,model seed,PDC101 locked sorted external holdout,train-only preprocessing; no HTO/control; three model seeds,results/tables/mosaic_n_v33_pdc101_mmochi_per_class_2026-07-23.csv
MOSAIC,cd8_cm,3,0.8245683861889884,0.0555114457540225,223,seed Student-t,PDC101 sorted external holdout,2098,train-only preprocessing; no HTO/control; three model seeds,model seed,PDC101 locked sorted external holdout,train-only preprocessing; no HTO/control; three model seeds,results/tables/mosaic_n_v33_pdc101_mmochi_per_class_2026-07-23.csv
MOSAIC,cd8_em,3,0.8825088834312836,0.0101537123795178,365,seed Student-t,PDC101 sorted external holdout,2098,train-only preprocessing; no HTO/control; three model seeds,model seed,PDC101 locked sorted external holdout,train-only preprocessing; no HTO/control; three model seeds,results/tables/mosaic_n_v33_pdc101_mmochi_per_class_2026-07-23.csv
MOSAIC,cd8_emra,3,0.8863404479625476,0.0237862521271331,206,seed Student-t,PDC101 sorted external holdout,2098,train-only preprocessing; no HTO/control; three model seeds,model seed,PDC101 locked sorted external holdout,train-only preprocessing; no HTO/control; three model seeds,results/tables/mosaic_n_v33_pdc101_mmochi_per_class_2026-07-23.csv
MOSAIC,cd8_n,3,0.9259603406247794,0.0207886151001705,241,seed Student-t,PDC101 sorted external holdout,2098,train-only preprocessing; no HTO/control; three model seeds,model seed,PDC101 locked sorted external holdout,train-only preprocessing; no HTO/control; three model seeds,results/tables/mosaic_n_v33_pdc101_mmochi_per_class_2026-07-23.csv
MOSAIC,monocyte,3,0.9969969969969968,3.3777813017844254e-16,334,seed Student-t,PDC101 sorted external holdout,2098,train-only preprocessing; no HTO/control; three model seeds,model seed,PDC101 locked sorted external holdout,train-only preprocessing; no HTO/control; three model seeds,results/tables/mosaic_n_v33_pdc101_mmochi_per_class_2026-07-23.csv
MMoCHi,cd4_cm,1,0.8435013262599469,0.0423489978606803,207,cell bootstrap; conditional on one workflow,PDC101 sorted external holdout,2098,official hierarchy; external_holdout=True; one workflow fit,cell bootstrap conditional on one workflow fit,PDC101 locked sorted external holdout,official hierarchy; external_holdout=True; one workflow fit,results/tables/mosaic_n_v33_pdc101_mmochi_per_class_2026-07-23.csv
MMoCHi,cd4_em,1,0.9419795221843004,0.020049838695196,295,cell bootstrap; conditional on one workflow,PDC101 sorted external holdout,2098,official hierarchy; external_holdout=True; one workflow fit,cell bootstrap conditional on one workflow fit,PDC101 locked sorted external holdout,official hierarchy; external_holdout=True; one workflow fit,results/tables/mosaic_n_v33_pdc101_mmochi_per_class_2026-07-23.csv
MMoCHi,cd4_n,1,0.9358178053830228,0.0227743271221531,227,cell bootstrap; conditional on one workflow,PDC101 sorted external holdout,2098,official hierarchy; external_holdout=True; one workflow fit,cell bootstrap conditional on one workflow fit,PDC101 locked sorted external holdout,official hierarchy; external_holdout=True; one workflow fit,results/tables/mosaic_n_v33_pdc101_mmochi_per_class_2026-07-23.csv
MMoCHi,cd8_cm,1,0.8850855745721272,0.0345731547328544,223,cell bootstrap; conditional on one workflow,PDC101 sorted external holdout,2098,official hierarchy; external_holdout=True; one workflow fit,cell bootstrap conditional on one workflow fit,PDC101 locked sorted external holdout,official hierarchy; external_holdout=True; one workflow fit,results/tables/mosaic_n_v33_pdc101_mmochi_per_class_2026-07-23.csv
MMoCHi,cd8_em,1,0.9122340425531916,0.0224274354262031,365,cell bootstrap; conditional on one workflow,PDC101 sorted external holdout,2098,official hierarchy; external_holdout=True; one workflow fit,cell bootstrap conditional on one workflow fit,PDC101 locked sorted external holdout,official hierarchy; external_holdout=True; one workflow fit,results/tables/mosaic_n_v33_pdc101_mmochi_per_class_2026-07-23.csv
MMoCHi,cd8_emra,1,0.9493087557603688,0.0230520892662973,206,cell bootstrap; conditional on one workflow,PDC101 sorted external holdout,2098,official hierarchy; external_holdout=True; one workflow fit,cell bootstrap conditional on one workflow fit,PDC101 locked sorted external holdout,official hierarchy; external_holdout=True; one workflow fit,results/tables/mosaic_n_v33_pdc101_mmochi_per_class_2026-07-23.csv
MMoCHi,cd8_n,1,0.9734151329243356,0.0162730819730294,241,cell bootstrap; conditional on one workflow,PDC101 sorted external holdout,2098,official hierarchy; external_holdout=True; one workflow fit,cell bootstrap conditional on one workflow fit,PDC101 locked sorted external holdout,official hierarchy; external_holdout=True; one workflow fit,results/tables/mosaic_n_v33_pdc101_mmochi_per_class_2026-07-23.csv
MMoCHi,monocyte,1,0.996996996996997,0.0051020466901656,334,cell bootstrap; conditional on one workflow,PDC101 sorted external holdout,2098,official hierarchy; external_holdout=True; one workflow fit,cell bootstrap conditional on one workflow fit,PDC101 locked sorted external holdout,official hierarchy; external_holdout=True; one workflow fit,results/tables/mosaic_n_v33_pdc101_mmochi_per_class_2026-07-23.csv
