class_label,modality,top_k,top_features,canonical_markers,observed_hits,available_canonical_markers,permutation_pvalue,available_canonical_count,observed_overlap,observed_fraction
CD4 TCM_3,ADT,20,CD26-2;CD127;CD2;Integrin-7;CD25;CD278;CD4-1;CD27;CD28;CD49d;CD102;CD305;CD196;CD81;CD109;CD45RO;CD45-2;CD52;CD3-1;CD195,CD3;CD4;CD45RO;CD27;CD127,5,5,0.0001999600079984003,5,5,1.0
CD4 TCM_3,RNA,20,IL7R;LTB;ITGB1;KLRB1;CCL5;GZMK;IL32;TNFRSF4;PDE4D;TOB1;AQP3;GZMA;RORA;LYAR;CCR6;S100A4;CD27;CFH;FKBP11;RPS4Y1,CCR7;IL7R;TCF7;LTB;LEF1,2,5,0.0011997600479904018,5,2,0.4
CD4 TEM_3,ADT,20,Integrin-7;CD127;CD26-2;CD2;CD4-1;CD28;CD29;CD103;CD278;CD109;CD27;CD305;CD73;CD25;CD81;CD195;CD3-1;CD49d;CD96;CD161,CD3;CD4;CD45RO;CD95,2,4,0.047590481903619274,4,2,0.5
CD4 TEM_3,RNA,20,CCL5;KLRB1;IL7R;GZMK;ITGB1;LTB;GZMA;SELL;LYAR;ITGA4;DUSP2;IL32;TMSB10;TOB1;TNFAIP3;GNLY;PDE4D;LEF1;GPR183;KLRG1,IL7R;LTB;AQP3;MAL,2,4,0.0001999600079984003,4,2,0.5
CD4 TEM_4,ADT,20,CD103;Integrin-7;CD96;CD127;CD196;CD4-1;CD73;CD45RA;CD109;CD26-2;CD2;CD28;CD366;CD8a;Siglec-8;CD49d;CD185;CD27;CD45-2;CD8,CD3;CD4;CD45RO;CD95,1,4,0.3181363727254549,4,1,0.25
CD4 TEM_4,RNA,20,KLRB1;CCL5;ITGB1;IL7R;CAPN12;SLAMF1;CD8B;CD8A;PDE4D;LTB;CD96;EBP;TMIGD2;HOPX;CD40LG;CD4;FUT11;ITGA4;LIMS1;SELL,IL7R;LTB;AQP3;MAL,2,4,0.0003999200159968006,4,2,0.5
CD8 Naive,ADT,20,CD8a;CD8;CD45RA;CD73;CD49d;CD99;CD18;CD27;CD314;Integrin-7;CD4-1;CD45RB;CD43;CD38-1;CD95;CD38-2;CD29;CD127;CD102;CD45-2,CD3;CD8;CD45RA;CD27;CD127,4,5,0.0001999600079984003,5,4,0.8
CD8 Naive,RNA,20,CD8B;CD8A;LINC02446;CCL5;ITGB1;IL7R;NELL2;CD4;S100A4;S100B;RPS26;TMSB4X;GZMK;PASK;GNLY;KLRB1;NUCB2;SCGB3A1;PDE3B;LRRN3,CCR7;TCF7;LEF1;MAL;LTB,0,5,1.0,5,0,0.0
CD8 Naive_2,ADT,20,CD278;CD38-1;CD38-2;CD8a;CD8;CD28;CD71;CD27;Integrin-7;CD48;CD81;CD2;CD49d;CD73;CD102;CD314;CD127;CD45RA;CD45RB;CD4-1,CD3;CD8;CD45RA;CD27;CD127,4,5,0.0001999600079984003,5,4,0.8
CD8 Naive_2,RNA,20,GZMK;CD8B;CD8A;CCL5;SOX4;GNLY;LRRN3;RPS24;GBP2;TRBC2;S100A4;CD3D;ITGB1;GZMH;ACTG1;MT-ND2;CBLB;LEF1;E2F3;MIR4435-2HG,CCR7;TCF7;LEF1;MAL;LTB,1,5,0.029994001199760048,5,1,0.2
CD8 TCM_1,ADT,20,Integrin-7;CD8a;CD103;CD8;CD2;CD49d;CD314;CD81;CD127;CD27;CD28;CD73;CD49a;CD26-2;CD25;CD18;CD194;CD195;CD278;CD4-1,CD3;CD8;CD45RO;CD27;CD127,3,5,0.00639872025594881,5,3,0.6
CD8 TCM_1,RNA,20,CCL5;GZMK;CD8B;ITGB1;CD8A;LYAR;IL7R;CLDND1;DUSP2;GNLY;GZMA;LINC01871;ITGA4;KLRB1;NELL2;ID2;TOB1;SCGB3A1;AP3M2;TNFAIP3,CCR7;TCF7;LEF1;LTB;IL7R,1,5,0.03059388122375525,5,1,0.2
