reference,comparator,metric,n_donors,mean_difference,difference_ci95_low,difference_ci95_high,difference_ci95_margin,paired_t_pvalue,wilcoxon_pvalue,positive_donor_count,negative_donor_count,zero_donor_count
mosaic_full,mlp,accuracy,8,0.0028685838528880597,-0.00014024565444527423,0.005877413360221394,0.003008829507333334,0.05881464873997484,0.0546875,7,1,0
mosaic_full,mlp,weighted_f1,8,0.003957892547835823,0.0012794370654614353,0.0066363480302102104,0.0026784554823743876,0.010072119427746997,0.015625,7,1,0
mosaic_full,mlp,macro_f1,8,0.014848979563368156,0.009143908874212549,0.020554050252523763,0.005705070689155608,0.0004654510199138085,0.0078125,8,0,0
mosaic_full,mlp,balanced_accuracy,8,0.02882824913699046,0.020819157027970242,0.03683734124601068,0.00800909210902022,6.124194154810625e-05,0.0078125,8,0,0
mosaic_full,mosaic_no_hsr,accuracy,8,-0.0015924302229234355,-0.0031074938375533732,-7.736660829349776e-05,0.0015150636146299377,0.04187927098758886,0.0390625,2,6,0
mosaic_full,mosaic_no_hsr,weighted_f1,8,-0.0013323298951474633,-0.002779979420298529,0.00011531963000360268,0.001447649525151066,0.06600430847787361,0.0390625,1,7,0
mosaic_full,mosaic_no_hsr,macro_f1,8,-0.0025024562567931286,-0.004930201298219729,-7.471121536652787e-05,0.0024277450414266007,0.04493047352037017,0.0390625,1,7,0
mosaic_full,mosaic_no_hsr,balanced_accuracy,8,0.0018003350119439043,-0.0028595335353022375,0.006460203559190046,0.004659868547246142,0.3913227818431012,0.3125,6,2,0
mosaic_full,mosaic_no_kd,accuracy,8,-0.0014848937188565586,-0.0026326681378357622,-0.0003371192998773548,0.0011477744189792038,0.018345328846713662,0.015625,1,7,0
mosaic_full,mosaic_no_kd,weighted_f1,8,-0.0013769488195827378,-0.0026003739790659485,-0.00015352366009952715,0.0012234251594832107,0.03240345780052186,0.0390625,1,7,0
mosaic_full,mosaic_no_kd,macro_f1,8,-0.0038432281488693792,-0.009095275847495542,0.001408819549756783,0.005252047698626162,0.12718835532700953,0.1484375,1,7,0
mosaic_full,mosaic_no_kd,balanced_accuracy,8,0.0006059144900150415,-0.0068691473123811304,0.008080976292411213,0.007475061802396172,0.8534405184626641,0.84375,3,5,0
inference::margin_gate_hsr,inference::adt_branch,accuracy,8,0.07597223447852217,0.0646165036661899,0.08732796529085443,0.011355730812332272,9.774139025771108e-07,0.0078125,8,0,0
inference::margin_gate_hsr,inference::adt_branch,weighted_f1,8,0.07439951732968289,0.06519147537222023,0.08360755928714556,0.00920804195746267,2.6788645920983914e-07,0.0078125,8,0,0
inference::margin_gate_hsr,inference::adt_branch,macro_f1,8,0.14107537978506335,0.12959474676571608,0.1525560128044106,0.011480633019347262,1.4719245159873078e-08,0.0078125,8,0,0
