class_label,modality,n_donors,mean_drop_lift,positive_donor_count,mean_top_drop,mean_random_drop,n_cells
CD4 TCM_3,ADT,8,0.08047535505829728,8,0.08178263762965798,0.0013072825713607017,192
CD4 TCM_3,RNA,8,0.18482821027282625,8,0.18438383378088474,-0.00044437649194151163,192
CD4 TEM_3,ADT,8,0.26545610179164214,8,0.2763740960508585,0.010917994259216357,192
CD4 TEM_3,RNA,8,0.2724241465621162,8,0.27366193383932114,0.0012377872772049159,192
CD8 Naive,ADT,8,0.060827269221135793,7,0.06026375014334917,-0.0005635190777866228,192
CD8 Naive,RNA,8,0.02762860955647284,8,0.027764208265580237,0.00013559870910739846,192
CD8 Naive_2,ADT,8,0.20496577280391648,8,0.20778774470090866,0.0028219718969921814,153
CD8 Naive_2,RNA,8,0.08604836024460383,7,0.0875094674556749,0.0014611072110710666,153
CD8 TCM_1,ADT,8,0.1366229621344246,8,0.14530942030251026,0.008686458168085665,192
CD8 TCM_1,RNA,8,0.2198962201946415,8,0.2160671721212566,-0.003829048073384911,192
CD4 TEM_4,ADT,6,0.6667319062786797,6,0.6757378925879797,0.009005986309299866,26
CD4 TEM_4,RNA,6,-0.008590316632762551,2,-0.008032585183779398,0.0005577314489831527,26
