score,metric,n_donors,mean,ci95_low,ci95_high
branch_disagreement,auroc,8,0.7551938798576898,0.7445259898418949,0.7658617698734848
branch_disagreement,auprc,8,0.2393840363893539,0.22765934152201747,0.2511087312566903
branch_disagreement,risk_at_coverage_0_90,8,0.06368511688574156,0.06045259892582073,0.0669176348456624
final_uncertainty,auroc,8,0.6913531036712605,0.6506627971256382,0.7320434102168827
final_uncertainty,auprc,8,0.3099865276762698,0.29061548941221815,0.3293575659403214
final_uncertainty,risk_at_coverage_0_90,8,0.056334998674862545,0.051301882172084194,0.061368115177640896
margin_variance,auroc,8,0.6902140278302151,0.6729969859252087,0.7074310697352215
margin_variance,auprc,8,0.13437527398855062,0.12381169807502843,0.1449388499020728
margin_variance,risk_at_coverage_0_90,8,0.08508824555036099,0.08235824180863678,0.08781824929208519
top_probability_variance,auroc,8,0.6978683774306959,0.6812796796290106,0.7144570752323811
top_probability_variance,auprc,8,0.1465692816572541,0.13412734315183078,0.15901122016267744
top_probability_variance,risk_at_coverage_0_90,8,0.08112540446110197,0.07883185937599616,0.0834189495462078
vote_entropy,auroc,8,0.7551938798576898,0.7445259898418949,0.7658617698734848
vote_entropy,auprc,8,0.2393840363893539,0.22765934152201747,0.2511087312566903
vote_entropy,risk_at_coverage_0_90,8,0.06368511688574156,0.06045259892582073,0.0669176348456624
