test_donor,feature_type,marker,present,matched_features
P1,RNA,IGKC,True,IGKC
P1,RNA,IGLC1,False,
P1,RNA,IGLC2,True,IGLC2
P1,RNA,IGLC3,True,IGLC3
P1,RNA,IGLC4,False,
P1,RNA,IGLC5,False,
P1,RNA,IGLC6,False,
P1,RNA,IGLC7,False,
P1,ADT,kappa_or_lambda_surface_marker,False,
P2,RNA,IGKC,True,IGKC
P2,RNA,IGLC1,False,
P2,RNA,IGLC2,True,IGLC2
P2,RNA,IGLC3,True,IGLC3
P2,RNA,IGLC4,False,
P2,RNA,IGLC5,False,
P2,RNA,IGLC6,False,
P2,RNA,IGLC7,False,
P2,ADT,kappa_or_lambda_surface_marker,False,
P3,RNA,IGKC,True,IGKC
P3,RNA,IGLC1,False,
P3,RNA,IGLC2,True,IGLC2
P3,RNA,IGLC3,True,IGLC3
P3,RNA,IGLC4,False,
P3,RNA,IGLC5,False,
P3,RNA,IGLC6,False,
P3,RNA,IGLC7,False,
P3,ADT,kappa_or_lambda_surface_marker,False,
P4,RNA,IGKC,True,IGKC
P4,RNA,IGLC1,False,
P4,RNA,IGLC2,True,IGLC2
P4,RNA,IGLC3,True,IGLC3
P4,RNA,IGLC4,False,
P4,RNA,IGLC5,False,
P4,RNA,IGLC6,False,
P4,RNA,IGLC7,False,
P4,ADT,kappa_or_lambda_surface_marker,False,
P5,RNA,IGKC,True,IGKC
P5,RNA,IGLC1,False,
P5,RNA,IGLC2,True,IGLC2
P5,RNA,IGLC3,True,IGLC3
P5,RNA,IGLC4,False,
P5,RNA,IGLC5,False,
P5,RNA,IGLC6,False,
P5,RNA,IGLC7,False,
P5,ADT,kappa_or_lambda_surface_marker,False,
P6,RNA,IGKC,True,IGKC
P6,RNA,IGLC1,False,
P6,RNA,IGLC2,True,IGLC2
P6,RNA,IGLC3,True,IGLC3
P6,RNA,IGLC4,False,
P6,RNA,IGLC5,False,
P6,RNA,IGLC6,False,
P6,RNA,IGLC7,False,
P6,ADT,kappa_or_lambda_surface_marker,False,
P7,RNA,IGKC,True,IGKC
P7,RNA,IGLC1,False,
P7,RNA,IGLC2,True,IGLC2
P7,RNA,IGLC3,True,IGLC3
P7,RNA,IGLC4,False,
P7,RNA,IGLC5,False,
P7,RNA,IGLC6,False,
P7,RNA,IGLC7,False,
P7,ADT,kappa_or_lambda_surface_marker,False,
P8,RNA,IGKC,True,IGKC
P8,RNA,IGLC1,False,
P8,RNA,IGLC2,True,IGLC2
P8,RNA,IGLC3,True,IGLC3
P8,RNA,IGLC4,False,
P8,RNA,IGLC5,False,
P8,RNA,IGLC6,False,
P8,RNA,IGLC7,False,
P8,ADT,kappa_or_lambda_surface_marker,False,
