branch,margin_bin,n_donors,accuracy_mean,accuracy_ci95_low,accuracy_ci95_high,mean_margin,n_cells_total
ADT,1,8,0.5254138308559154,0.5097456544536897,0.5410820072581412,0.43041306631731624,97065
ADT,2,8,0.7494313767631102,0.7197008684580106,0.7791618850682098,1.4503212519828161,97056
ADT,3,8,0.9269226841791248,0.9127684819277567,0.9410768864304929,2.6477201215122355,97056
ADT,4,8,0.9860456144451035,0.9822905341815925,0.9898006947086145,3.5522182054850586,97056
ADT,5,8,0.992008966768491,0.9889547835090815,0.9950631500279006,4.535124819274785,97059
Fusion,1,8,0.6917907215367937,0.679118911127096,0.7044625319464913,2.1526806671422967,97065
Fusion,2,8,0.9595570940119589,0.9444399565041544,0.9746742315197634,3.9214686598428967,97056
Fusion,3,8,0.9737670877037239,0.9653407921814114,0.9821933832260363,4.459075799843349,97056
Fusion,4,8,0.9599913062581088,0.9475288719507958,0.9724537405654218,4.928516169024521,97056
Fusion,5,8,0.9648670960689889,0.9526023069454208,0.977131885192557,5.895461582057542,97059
RNA,1,8,0.6146525818897465,0.6015526928481812,0.6277524709313117,0.948329981135082,97065
RNA,2,8,0.8933645169544006,0.8837390132523232,0.9029900206564779,2.6301580767762873,97056
RNA,3,8,0.9728739534767258,0.9693608559199701,0.9763870510334814,3.4895503445584506,97056
RNA,4,8,0.9797861159212367,0.9760471915847727,0.9835250402577006,4.085176031213477,97056
RNA,5,8,0.9863518780451409,0.9831716297760494,0.9895321263142324,5.295612935709926,97059
