branch,metric,n_donors,mean,ci95_low,ci95_high
ADT,overall_accuracy,8,0.8359602718700445,0.8244773136409218,0.8474432300991672
ADT,spearman_margin_correct,8,0.4563055314642949,0.44453346655034104,0.4680775963782488
ADT,top_minus_bottom_accuracy,8,0.46659513591257573,0.45184667623648067,0.4813435955886708
ADT,nondecreasing_steps_out_of_4,8,3.958333333333333,3.8598073228745706,4.0568593437920955
Fusion,overall_accuracy,8,0.9099912698137563,0.9070033249230305,0.9129792147044822
Fusion,spearman_margin_correct,8,0.2891119516837142,0.2539963786055641,0.3242275247618642
Fusion,top_minus_bottom_accuracy,8,0.27307637453219535,0.2496417481601994,0.2965110009041913
Fusion,nondecreasing_steps_out_of_4,8,2.458333333333333,1.9436755309675624,2.972991135699104
RNA,overall_accuracy,8,0.8894019954769854,0.8846040139346864,0.8941999770192844
RNA,spearman_margin_correct,8,0.3875866763330415,0.37795609399675867,0.39721725866932434
RNA,top_minus_bottom_accuracy,8,0.37169929615539443,0.35901895262190864,0.3843796396888802
RNA,nondecreasing_steps_out_of_4,8,3.625,3.3924404485667363,3.8575595514332637
Mean over branches,overall_accuracy,8,0.8784511790535954,0.874377003757934,0.8825253543492567
Mean over branches,spearman_margin_correct,8,0.37766805316035024,0.3652983361969757,0.39003777012372476
Mean over branches,top_minus_bottom_accuracy,8,0.37045693553338854,0.3641370842629403,0.3767767868038368
Mean over branches,nondecreasing_steps_out_of_4,8,3.3472222222222223,3.1068433702371365,3.587601074207308
