method,metric,n_donors,mean,sd_across_donors,ci95_low,ci95_high,ci95_margin,worst_donor_value,best_donor_value
RNA XGBoost,accuracy,8,0.8741180172913836,0.012495271274355428,0.8636717090845837,0.8845643254981835,0.010446308206799882,0.8540942928039702,0.8927146852505616
RNA XGBoost,weighted_f1,8,0.8681051963012463,0.013731513250215073,0.8566253639384309,0.8795850286640616,0.011479832362815398,0.8472586567128859,0.8901498259850082
RNA XGBoost,macro_f1,8,0.7168193038011175,0.023852689784401446,0.6968779561042145,0.7367606514980204,0.019941347696902898,0.6847062725296953,0.7612980531952801
RNA XGBoost,balanced_accuracy,8,0.6967402304359135,0.026881733353901743,0.6742665389423804,0.7192139219294466,0.022473691493533083,0.6527595672263299,0.7450626736326548
ADT XGBoost,accuracy,8,0.8426355529782235,0.013612209568966239,0.8312554609889595,0.8540156449674874,0.011380091989263931,0.816793446459918,0.8614356291775647
ADT XGBoost,weighted_f1,8,0.8349248296364409,0.011351547830106569,0.8254346981575914,0.8444149611152904,0.009490131478849443,0.8184961285109073,0.8517951761614134
ADT XGBoost,macro_f1,8,0.6556721421911423,0.022174982402472374,0.6371333929659048,0.6742108914163799,0.018538749225237582,0.626587132886425,0.6852859367897096
ADT XGBoost,balanced_accuracy,8,0.6428721519434994,0.018585271325808075,0.6273344762809592,0.6584098276060397,0.015537675662540315,0.6166871477280533,0.6714039194455128
Early-fusion XGBoost,accuracy,8,0.903190723957044,0.0143636642307606,0.8911824001488639,0.9151990477652242,0.012008323808180194,0.8750146284376829,0.9200649375748908
Early-fusion XGBoost,weighted_f1,8,0.9010200806155197,0.013112133368540826,0.8900580627922206,0.9119820984388189,0.010962017823299192,0.8796989282677443,0.9186393949962104
Early-fusion XGBoost,macro_f1,8,0.7885115962235351,0.028365626057038035,0.7647973393847264,0.8122258530623437,0.023714256838808692,0.7453675756943031,0.8282584038546474
Early-fusion XGBoost,balanced_accuracy,8,0.7755029714692216,0.025421826993327533,0.7542497922367489,0.7967561507016944,0.021253179232472757,0.7381748577694596,0.8181590766287742
