score,score_label,score_type,metric,n_donors,mean,ci95_low,ci95_high,protocol_note,source_artifact
branch_disagreement,Top-label conflict,discrete,auprc,8,0.2393840363893539,0.2276593415191293,0.2511087312595785,discrete top-label conflict score,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz
branch_disagreement,Top-label conflict,discrete,auroc,8,0.7551938798576898,0.744525989839267,0.7658617698761127,discrete top-label conflict score,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz
branch_disagreement,Top-label conflict,discrete,risk_at_coverage_0_90,8,0.06329708043333784,0.060459788000757235,0.06613437286591846,discrete top-label conflict score,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz
final_uncertainty,Final uncertainty,continuous,auprc,8,0.3099865276762698,0.29061548940744647,0.3293575659450931,continuous final confidence score,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz
final_uncertainty,Final uncertainty,continuous,auroc,8,0.6913531036712605,0.6506627971156149,0.732043410226906,continuous final confidence score,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz
final_uncertainty,Final uncertainty,continuous,risk_at_coverage_0_90,8,0.0563255725515353,0.051284653445345836,0.061366491657724766,continuous final confidence score,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz
margin_variance,Margin variance,continuous,auprc,8,0.13437527398855062,0.12381169807242627,0.14493884990467498,continuous branch top-two margin variance,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz
margin_variance,Margin variance,continuous,auroc,8,0.6902140278302151,0.6729969859209676,0.7074310697394627,continuous branch top-two margin variance,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz
margin_variance,Margin variance,continuous,risk_at_coverage_0_90,8,0.0850863523564512,0.08235977334028376,0.08781293137261866,continuous branch top-two margin variance,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz
top_probability_variance,Top-probability variance,continuous,auprc,8,0.1465692816572541,0.13412734314876593,0.1590112201657423,continuous branch top-probability variance,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz
top_probability_variance,Top-probability variance,continuous,auroc,8,0.6978683774306959,0.6812796796249242,0.7144570752364675,continuous branch top-probability variance,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz
top_probability_variance,Top-probability variance,continuous,risk_at_coverage_0_90,8,0.08112068459877372,0.07882806669135337,0.08341330250619408,continuous branch top-probability variance,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz
vote_entropy,Vote entropy,discrete,auprc,8,0.2393840363893539,0.2276593415191293,0.2511087312595785,discrete entropy of three branch top labels,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz
vote_entropy,Vote entropy,discrete,auroc,8,0.7551938798576898,0.744525989839267,0.7658617698761127,discrete entropy of three branch top labels,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz
vote_entropy,Vote entropy,discrete,risk_at_coverage_0_90,8,0.06329708043333784,0.060459788000757235,0.06613437286591846,discrete entropy of three branch top labels,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz
