test_donor,seed,score,metric,value
P1,41,final_uncertainty,auroc,0.6676283575514662
P1,41,final_uncertainty,auprc,0.28029495928513076
P1,41,final_uncertainty,risk_at_coverage_0_90,0.057410697873904785
P1,41,branch_disagreement,auroc,0.756906676160305
P1,41,branch_disagreement,auprc,0.24175030360451732
P1,41,branch_disagreement,risk_at_coverage_0_90,0.06065804791373078
P1,41,vote_entropy,auroc,0.756906676160305
P1,41,vote_entropy,auprc,0.24175030360451732
P1,41,vote_entropy,risk_at_coverage_0_90,0.06065804791373078
P1,41,top_probability_variance,auroc,0.6949570034008705
P1,41,top_probability_variance,auprc,0.13759649870569457
P1,41,top_probability_variance,risk_at_coverage_0_90,0.0800196066417499
P1,41,margin_variance,auroc,0.6987453232796282
P1,41,margin_variance,auprc,0.13207361817566157
P1,41,margin_variance,risk_at_coverage_0_90,0.08253170761595491
P1,42,final_uncertainty,auroc,0.7781601248884923
P1,42,final_uncertainty,auprc,0.36027576923153165
P1,42,final_uncertainty,risk_at_coverage_0_90,0.052447766680963175
P1,42,branch_disagreement,auroc,0.7746922015907166
P1,42,branch_disagreement,auprc,0.2599973576807215
P1,42,branch_disagreement,risk_at_coverage_0_90,0.0620060045340359
P1,42,vote_entropy,auroc,0.7746922015907166
P1,42,vote_entropy,auprc,0.2599973576807215
P1,42,vote_entropy,risk_at_coverage_0_90,0.0620060045340359
P1,42,top_probability_variance,auroc,0.6272931018973156
P1,42,top_probability_variance,auprc,0.11810755647130605
P1,42,top_probability_variance,risk_at_coverage_0_90,0.08682066049874394
P1,42,margin_variance,auroc,0.6138228922255788
P1,42,margin_variance,auprc,0.11087168165053682
P1,42,margin_variance,risk_at_coverage_0_90,0.08816861711904908
P1,43,final_uncertainty,auroc,0.6451711974140442
P1,43,final_uncertainty,auprc,0.27368612531895603
P1,43,final_uncertainty,risk_at_coverage_0_90,0.05943263280436248
P1,43,branch_disagreement,auroc,0.7634684507756927
P1,43,branch_disagreement,auprc,0.25300724620746107
P1,43,branch_disagreement,risk_at_coverage_0_90,0.062128546044972734
P1,43,vote_entropy,auroc,0.7634684507756927
P1,43,vote_entropy,auprc,0.25300724620746107
P1,43,vote_entropy,risk_at_coverage_0_90,0.062128546044972734
P1,43,top_probability_variance,auroc,0.7183809774386634
P1,43,top_probability_variance,auprc,0.15414697009002468
P1,43,top_probability_variance,risk_at_coverage_0_90,0.08106120948471295
P1,43,margin_variance,auroc,0.7167093336841412
P1,43,margin_variance,auprc,0.14544952163821445
P1,43,margin_variance,risk_at_coverage_0_90,0.08375712272532321
P2,41,final_uncertainty,auroc,0.8170701310026989
P2,41,final_uncertainty,auprc,0.3786324511794802
P2,41,final_uncertainty,risk_at_coverage_0_90,0.04817876517695686
P2,41,branch_disagreement,auroc,0.7745047746107384
P2,41,branch_disagreement,auprc,0.2598640352946309
P2,41,branch_disagreement,risk_at_coverage_0_90,0.059157840351330405
P2,41,vote_entropy,auroc,0.7745047746107384
P2,41,vote_entropy,auprc,0.2598640352946309
P2,41,vote_entropy,risk_at_coverage_0_90,0.059157840351330405
P2,41,top_probability_variance,auroc,0.6439417008998254
P2,41,top_probability_variance,auprc,0.12051851697884866
P2,41,top_probability_variance,risk_at_coverage_0_90,0.08079307672436063
P2,41,margin_variance,auroc,0.6268943742402692
P2,41,margin_variance,auprc,0.10974765615793775
P2,41,margin_variance,risk_at_coverage_0_90,0.08466804443296305
P2,42,final_uncertainty,auroc,0.8159888045966888
P2,42,final_uncertainty,auprc,0.37638698642186674
P2,42,final_uncertainty,risk_at_coverage_0_90,0.05050374580211832
P2,42,branch_disagreement,auroc,0.7432650301512318
P2,42,branch_disagreement,auprc,0.2387593164348089
P2,42,branch_disagreement,risk_at_coverage_0_90,0.06380780160165332
P2,42,vote_entropy,auroc,0.7432650301512318
P2,42,vote_entropy,auprc,0.2387593164348089
P2,42,vote_entropy,risk_at_coverage_0_90,0.06380780160165332
P2,42,top_probability_variance,auroc,0.6601926424876388
P2,42,top_probability_variance,auprc,0.12835288806138248
P2,42,top_probability_variance,risk_at_coverage_0_90,0.08363471971066908
P2,42,margin_variance,auroc,0.6515276299172024
P2,42,margin_variance,auprc,0.11882362475156218
P2,42,margin_variance,risk_at_coverage_0_90,0.08718677344355463
P2,43,final_uncertainty,auroc,0.6495137393576287
P2,43,final_uncertainty,auprc,0.2587375064704685
P2,43,final_uncertainty,risk_at_coverage_0_90,0.05805993283389305
P2,43,branch_disagreement,auroc,0.7588672462723546
P2,43,branch_disagreement,auprc,0.23616041870591592
P2,43,branch_disagreement,risk_at_coverage_0_90,0.05625161456987859
P2,43,vote_entropy,auroc,0.7588672462723546
P2,43,vote_entropy,auprc,0.23616041870591592
P2,43,vote_entropy,risk_at_coverage_0_90,0.05625161456987859
P2,43,top_probability_variance,auroc,0.7679150412180729
P2,43,top_probability_variance,auprc,0.17352831596349644
P2,43,top_probability_variance,risk_at_coverage_0_90,0.0705244122965642
P2,43,margin_variance,auroc,0.7675204738952206
P2,43,margin_variance,auprc,0.1626709008433065
P2,43,margin_variance,risk_at_coverage_0_90,0.07213898217514854
P3,41,final_uncertainty,auroc,0.7810305463776078
P3,41,final_uncertainty,auprc,0.38825006348550123
P3,41,final_uncertainty,risk_at_coverage_0_90,0.05638926784902228
P3,41,branch_disagreement,auroc,0.7684484784388167
P3,41,branch_disagreement,auprc,0.2687058710262347
P3,41,branch_disagreement,risk_at_coverage_0_90,0.06934970441109595
P3,41,vote_entropy,auroc,0.7684484784388167
P3,41,vote_entropy,auprc,0.2687058710262347
P3,41,vote_entropy,risk_at_coverage_0_90,0.06934970441109595
P3,41,top_probability_variance,auroc,0.6261675605558433
P3,41,top_probability_variance,auprc,0.12797379156232985
P3,41,top_probability_variance,risk_at_coverage_0_90,0.09314840078823708
P3,41,margin_variance,auroc,0.6160238371875357
P3,41,margin_variance,auprc,0.11810193749336044
P3,41,margin_variance,risk_at_coverage_0_90,0.09595270577535243
P3,42,final_uncertainty,auroc,0.59952803398949
P3,42,final_uncertainty,auprc,0.26230640273742856
P3,42,final_uncertainty,risk_at_coverage_0_90,0.07056237683795664
P3,42,branch_disagreement,auroc,0.7349991237759518
P3,42,branch_disagreement,auprc,0.23752295076057103
P3,42,branch_disagreement,risk_at_coverage_0_90,0.06586327118387146
P3,42,vote_entropy,auroc,0.7349991237759518
P3,42,vote_entropy,auprc,0.23752295076057103
P3,42,vote_entropy,risk_at_coverage_0_90,0.06586327118387146
P3,42,top_probability_variance,auroc,0.747535979590256
P3,42,top_probability_variance,auprc,0.188864758408201
P3,42,top_probability_variance,risk_at_coverage_0_90,0.08011217219948462
P3,42,margin_variance,auroc,0.7439506144010671
P3,42,margin_variance,auprc,0.1683442991763545
P3,42,margin_variance,risk_at_coverage_0_90,0.0849628619069274
P3,43,final_uncertainty,auroc,0.6259317934465972
P3,43,final_uncertainty,auprc,0.26078040844969735
P3,43,final_uncertainty,risk_at_coverage_0_90,0.06950128846445354
P3,43,branch_disagreement,auroc,0.7332605380601912
P3,43,branch_disagreement,auprc,0.23232475929703766
P3,43,branch_disagreement,risk_at_coverage_0_90,0.06790965590419888
P3,43,vote_entropy,auroc,0.7332605380601912
P3,43,vote_entropy,auprc,0.23232475929703766
P3,43,vote_entropy,risk_at_coverage_0_90,0.06790965590419888
P3,43,top_probability_variance,auroc,0.7439177638455112
P3,43,top_probability_variance,auprc,0.17659777396906956
P3,43,top_probability_variance,risk_at_coverage_0_90,0.08352281340003032
P3,43,margin_variance,auroc,0.7343596534373766
P3,43,margin_variance,auprc,0.1607235914208905
P3,43,margin_variance,risk_at_coverage_0_90,0.0871608306806124
P4,41,final_uncertainty,auroc,0.5909723134014704
P4,41,final_uncertainty,auprc,0.25854778397881256
P4,41,final_uncertainty,risk_at_coverage_0_90,0.05792861322410767
P4,41,branch_disagreement,auroc,0.7601343950403562
P4,41,branch_disagreement,auprc,0.22903453592126288
P4,41,branch_disagreement,risk_at_coverage_0_90,0.06124439243222157
P4,41,vote_entropy,auroc,0.7601343950403562
P4,41,vote_entropy,auprc,0.22903453592126288
P4,41,vote_entropy,risk_at_coverage_0_90,0.06124439243222157
P4,41,top_probability_variance,auroc,0.7495950898071987
P4,41,top_probability_variance,auprc,0.16300476970406635
