level,target_label,measurement,value,ci95_low,ci95_high,n_unknown,interpretation,source_artifact
default margin@0.80,mean across five targets,Observed known coverage,0.7878335882957934,0.7816166375099053,0.7940505390816816,,target-level mean after seed averaging,results/tables/mosaic_n_v33_manuscript_unknown_reject_2026-07-23.csv
default margin@0.80,mean across five targets,Unknown recall,0.4031840656219925,0.1766946448837832,0.6296734863602018,,target-level mean after seed averaging,results/tables/mosaic_n_v33_manuscript_unknown_reject_2026-07-23.csv
default margin@0.80,mean across five targets,Unknown AUROC,0.594763337532775,0.4414994930576785,0.7480271820078714,,target-level mean after seed averaging,results/tables/mosaic_n_v33_manuscript_unknown_reject_2026-07-23.csv
default margin@0.80,mean across five targets,Accepted-known L3 accuracy,0.9495672475942104,0.9410197045885984,0.9581147905998224,,target-level mean after seed averaging,results/tables/mosaic_n_v33_manuscript_unknown_reject_2026-07-23.csv
default margin@0.80,mean across five targets,Accepted-known L3 risk,0.0504327524057894,0.0418852094001775,0.0589802954114013,,target-level mean after seed averaging,results/tables/mosaic_n_v33_manuscript_unknown_reject_2026-07-23.csv
default margin@0.80,mean across five targets,Rejected-known parent accuracy,0.8935579137093924,0.8813038796279463,0.9058119477908384,,target-level mean after seed averaging,results/tables/mosaic_n_v33_manuscript_unknown_reject_2026-07-23.csv
default margin@0.80,mean across five targets,Rejected-unknown parent-safe rate,0.2258857582727203,0.0425380646913457,0.409233451854095,,target-level mean after seed averaging,results/tables/mosaic_n_v33_manuscript_unknown_reject_2026-07-23.csv
default margin@0.80,mean across five targets,Unknown unsafe-accept rate,0.5968159343780075,0.3703265136397981,0.8233053551162168,,target-level mean after seed averaging,results/tables/mosaic_n_v33_manuscript_unknown_reject_2026-07-23.csv
default margin@0.80,mean across five targets,Combined hierarchical accuracy,0.9145953728096612,0.901902552757754,0.927288192861568,,target-level mean after seed averaging,results/tables/mosaic_n_v33_manuscript_unknown_reject_2026-07-23.csv
per removed target,B naive lambda,Known coverage / unknown recall / AUROC / parent-safe / combined,0.7927 / 0.1285 / 0.4258 / 0.0723 / 0.9277,,,83,combined score is support-weighted and must be read with unknown recall and parent-safe rate,results/tables/mosaic_n_v33_manuscript_unknown_target_summary_2026-07-23.csv
per removed target,CD4 TCM_1,Known coverage / unknown recall / AUROC / parent-safe / combined,0.7807 / 0.5722 / 0.7284 / 0.2489 / 0.9167,,,734,combined score is support-weighted and must be read with unknown recall and parent-safe rate,results/tables/mosaic_n_v33_manuscript_unknown_target_summary_2026-07-23.csv
per removed target,CD8 TEM_4,Known coverage / unknown recall / AUROC / parent-safe / combined,0.7897 / 0.4056 / 0.5696 / 0.3945 / 0.9011,,,1291,combined score is support-weighted and must be read with unknown recall and parent-safe rate,results/tables/mosaic_n_v33_manuscript_unknown_target_summary_2026-07-23.csv
per removed target,NK_3,Known coverage / unknown recall / AUROC / parent-safe / combined,0.7847 / 0.3458 / 0.5474 / 0.3371 / 0.9192,,,614,combined score is support-weighted and must be read with unknown recall and parent-safe rate,results/tables/mosaic_n_v33_manuscript_unknown_target_summary_2026-07-23.csv
per removed target,gdT_2,Known coverage / unknown recall / AUROC / parent-safe / combined,0.7914 / 0.5638 / 0.7026 / 0.0766 / 0.9083,,,583,combined score is support-weighted and must be read with unknown recall and parent-safe rate,results/tables/mosaic_n_v33_manuscript_unknown_target_summary_2026-07-23.csv
