heldout_donor,feature,standardized_coefficient,train_feature_mean,train_feature_scale
P1,final_uncertainty,0.6374088662546881,0.14237717611814651,0.11815114860589329
P1,branch_disagreement,0.6254576815419279,0.06796058672768808,0.14201755755219858
P1,top_probability_variance,0.3478619376327151,0.014697110179101124,0.02016877385173795
P1,margin_variance,0.28496054477223276,0.033446422404171804,0.04564826346875752
P2,final_uncertainty,0.6084525831006021,0.14322704096515404,0.11802114402752548
P2,branch_disagreement,0.6404749379401534,0.06867630363919075,0.14274443177037124
P2,top_probability_variance,0.33939106008953385,0.014962069363729708,0.020393200539603647
P2,margin_variance,0.2834944875743089,0.03390160106444613,0.04594575342784363
P3,final_uncertainty,0.645718024844385,0.14337057018599275,0.11976379198573228
P3,branch_disagreement,0.6306469614349388,0.0682865334880236,0.14250329679517706
P3,top_probability_variance,0.31769535251528475,0.014964864757294524,0.0203559848009785
P3,margin_variance,0.3201815715732647,0.03368423077186854,0.045608772205637915
P4,final_uncertainty,0.6459692882512917,0.14335342634417653,0.12006204656796332
P4,branch_disagreement,0.618746788261354,0.06708031697317955,0.14147569904528715
P4,top_probability_variance,0.3262270599113038,0.014726944256895915,0.020065680344108956
P4,margin_variance,0.3040578044270557,0.03341502942128562,0.04531318982165796
P5,final_uncertainty,0.5901210054345779,0.14090914095104728,0.11793188986477067
P5,branch_disagreement,0.6561053864491329,0.06847139952539624,0.1426978276606237
P5,top_probability_variance,0.3198621686574331,0.014870374470972624,0.02034376070946594
P5,margin_variance,0.28958459313295987,0.03367317274241869,0.04579135915000481
P6,final_uncertainty,0.6558487561323282,0.14534231159769537,0.12049299409634398
P6,branch_disagreement,0.6228884506896674,0.06732204116300215,0.14201819741967178
P6,top_probability_variance,0.27482923905596884,0.014752278816995593,0.020214557350074977
P6,margin_variance,0.3577805631299922,0.032784063169588186,0.04463291234727998
P7,final_uncertainty,0.629852386809742,0.14029952749970379,0.11810239777487956
P7,branch_disagreement,0.6431104265844072,0.06836833227449374,0.1424223753151852
P7,top_probability_variance,0.32194335043899613,0.014788836096698246,0.020256315930597967
P7,margin_variance,0.3225194691712928,0.03343553853692269,0.04540164481699123
P8,final_uncertainty,0.6559037449874635,0.14517121673440425,0.12071104793114963
P8,branch_disagreement,0.6098671322338061,0.06800363390088437,0.14231042692342188
P8,top_probability_variance,0.3391648329971273,0.014947998607663665,0.020206320010781407
P8,margin_variance,0.2761187209675383,0.03354712891908039,0.04516259823421106
