class_label,modality,n_donor_pairs,mean_spearman,median_spearman,mean_top20_jaccard,median_top20_jaccard,statistical_unit,protocol,caveat,source_artifact,observed_fraction,permutation_pvalue,bh_fdr_q
CD4 TCM_3,ADT,28,0.6122974436411337,0.5666116805466582,0.5103322195034402,0.4857142857142856,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv,1.0,0.0001999600079984,0.0005998800239951999
CD4 TCM_3,RNA,28,0.7510024170926147,0.7496266708410062,0.4354960476019762,0.429787751626832,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv,0.4,0.0011997600479904,0.0023995200959808
CD4 TEM_3,ADT,28,0.5534833440102499,0.5065323154672932,0.4721720614914284,0.4704494313689715,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv,0.5,0.0475904819036192,0.057108578284343035
CD4 TEM_3,RNA,28,0.7399754489462299,0.7362344059812027,0.4181907860704407,0.4127592288511827,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv,0.5,0.0001999600079984,0.0005998800239951999
CD4 TEM_4,ADT,21,0.2945171491616078,0.2917713004484305,0.2914552693134871,0.2929292929292929,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv,0.25,0.3181363727254549,0.3470578611550417
CD4 TEM_4,RNA,21,0.5292461567931068,0.5307177538217611,0.1126592911201491,0.1127819548872179,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv,0.5,0.0003999200159968,0.0009598080383923199
CD8 Naive,ADT,28,0.5544659508048362,0.5076859562958218,0.4684008382844736,0.423411411917159,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv,0.8,0.0001999600079984,0.0005998800239951999
CD8 Naive,RNA,28,0.7955541889217889,0.7941354506298979,0.2895431076311325,0.3021282264886269,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv,0.0,1.0,1.0
CD8 Naive_2,ADT,28,0.4850147570238858,0.4701074809594989,0.4739930340173997,0.4746279688808424,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv,0.8,0.0001999600079984,0.0005998800239951999
CD8 Naive_2,RNA,28,0.6828638542269064,0.6860633366156771,0.299340369861654,0.3051075268817204,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv,0.2,0.02999400119976,0.040791841631673605
CD8 TCM_1,ADT,28,0.5816150488596037,0.5406870595771942,0.4809619864115945,0.4678558563616035,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv,0.6,0.0063987202559488,0.010969234724483657
CD8 TCM_1,RNA,28,0.752929128271031,0.7440990534245737,0.4548001503825435,0.4492582768444837,descriptive donor pair after seed averaging,donor-stratified gradient-times-input attribution,Donor pairs overlap and are not independent replicates; rank and top-20 overlap are reported descriptively.,results/tables/mosaic_n_v33_donor_attribution_stability_2026-07-23.csv,0.2,0.0305938812237552,0.040791841631673605
