test_donor,seed,score,score_label,coverage,risk
P1,41,final_uncertainty,Final uncertainty,0.5,0.05514503143266792
P1,41,final_uncertainty,Final uncertainty,0.6,0.05339582758937598
P1,41,final_uncertainty,Final uncertainty,0.7,0.06609421774066489
P1,41,final_uncertainty,Final uncertainty,0.8,0.062034739454094295
P1,41,final_uncertainty,Final uncertainty,0.9,0.057410697873904785
P1,41,final_uncertainty,Final uncertainty,0.95,0.06454608776410495
P1,41,combined_logistic_lodo,Combined LODO,0.5,0.022719752950259183
P1,41,combined_logistic_lodo,Combined LODO,0.6,0.021045859755537175
P1,41,combined_logistic_lodo,Combined LODO,0.7,0.02323932566566882
P1,41,combined_logistic_lodo,Combined LODO,0.8,0.036255858836504
P1,41,combined_logistic_lodo,Combined LODO,0.9,0.05600147049813124
P1,41,combined_logistic_lodo,Combined LODO,0.95,0.06814488042721152
P1,41,branch_disagreement,Top-label conflict,0.5,0.03716775118561817
P1,41,branch_disagreement,Top-label conflict,0.6,0.037312746990166346
P1,41,branch_disagreement,Top-label conflict,0.7,0.03741925319048369
P1,41,branch_disagreement,Top-label conflict,0.8,0.03687620623104494
P1,41,branch_disagreement,Top-label conflict,0.9,0.06065804791373078
P1,41,branch_disagreement,Top-label conflict,0.95,0.0721499883909914
P1,42,final_uncertainty,Final uncertainty,0.5,0.032756148671004744
P1,42,final_uncertainty,Final uncertainty,0.6,0.04080507306313758
P1,42,final_uncertainty,Final uncertainty,0.7,0.041358121947376716
P1,42,final_uncertainty,Final uncertainty,0.8,0.041080783016266886
P1,42,final_uncertainty,Final uncertainty,0.9,0.052447766680963175
P1,42,final_uncertainty,Final uncertainty,0.95,0.06837706059902485
P1,42,combined_logistic_lodo,Combined LODO,0.5,0.010477555972206905
P1,42,combined_logistic_lodo,Combined LODO,0.6,0.013050271114787244
P1,42,combined_logistic_lodo,Combined LODO,0.7,0.019300456908775798
P1,42,combined_logistic_lodo,Combined LODO,0.8,0.033498759305210915
P1,42,combined_logistic_lodo,Combined LODO,0.9,0.05391826481220514
P1,42,combined_logistic_lodo,Combined LODO,0.95,0.0675644299976782
P1,42,branch_disagreement,Top-label conflict,0.5,0.03363846917392743
P1,42,branch_disagreement,Top-label conflict,0.6,0.032809484422387646
P1,42,branch_disagreement,Top-label conflict,0.7,0.033795493934142114
P1,42,branch_disagreement,Top-label conflict,0.8,0.03563551144196306
P1,42,branch_disagreement,Top-label conflict,0.9,0.0620060045340359
P1,42,branch_disagreement,Top-label conflict,0.95,0.07429765498026468
P1,43,final_uncertainty,Final uncertainty,0.5,0.06529171721627881
P1,43,final_uncertainty,Final uncertainty,0.6,0.06405661244370922
P1,43,final_uncertainty,Final uncertainty,0.7,0.06948164487159288
P1,43,final_uncertainty,Final uncertainty,0.8,0.06430934656741108
P1,43,final_uncertainty,Final uncertainty,0.9,0.05943263280436248
P1,43,final_uncertainty,Final uncertainty,0.95,0.06715811469700488
P1,43,combined_logistic_lodo,Combined LODO,0.5,0.020293371567221795
P1,43,combined_logistic_lodo,Combined LODO,0.6,0.017829243635695248
P1,43,combined_logistic_lodo,Combined LODO,0.7,0.02000945328501654
P1,43,combined_logistic_lodo,Combined LODO,0.8,0.03770333609043287
P1,43,combined_logistic_lodo,Combined LODO,0.9,0.057900863917652104
P1,43,combined_logistic_lodo,Combined LODO,0.95,0.07069886231715812
P1,43,branch_disagreement,Top-label conflict,0.5,0.03727804124848351
P1,43,branch_disagreement,Top-label conflict,0.6,0.03694513371932727
P1,43,branch_disagreement,Top-label conflict,0.7,0.037970694816448713
P1,43,branch_disagreement,Top-label conflict,0.8,0.037082988695891925
P1,43,branch_disagreement,Top-label conflict,0.9,0.062128546044972734
P1,43,branch_disagreement,Top-label conflict,0.95,0.075226375667518
P2,41,final_uncertainty,Final uncertainty,0.5,0.025110439432690073
P2,41,final_uncertainty,Final uncertainty,0.6,0.026639542768575025
P2,41,final_uncertainty,Final uncertainty,0.7,0.03205181433197708
P2,41,final_uncertainty,Final uncertainty,0.8,0.032984597500726534
P2,41,final_uncertainty,Final uncertainty,0.9,0.04817876517695686
P2,41,final_uncertainty,Final uncertainty,0.95,0.06320362212432697
P2,41,combined_logistic_lodo,Combined LODO,0.5,0.007556382236689142
P2,41,combined_logistic_lodo,Combined LODO,0.6,0.008330911556718008
P2,41,combined_logistic_lodo,Combined LODO,0.7,0.014946441916465996
P2,41,combined_logistic_lodo,Combined LODO,0.8,0.028407439697762278
P2,41,combined_logistic_lodo,Combined LODO,0.9,0.049276672694394216
P2,41,combined_logistic_lodo,Combined LODO,0.95,0.0644273127753304
P2,41,branch_disagreement,Top-label conflict,0.5,0.03417809811671704
P2,41,branch_disagreement,Top-label conflict,0.6,0.034292356873002035
P2,41,branch_disagreement,Top-label conflict,0.7,0.033463422735198874
P2,41,branch_disagreement,Top-label conflict,0.8,0.03320255739610578
P2,41,branch_disagreement,Top-label conflict,0.9,0.059157840351330405
P2,41,branch_disagreement,Top-label conflict,0.95,0.07127998042094959
P2,42,final_uncertainty,Final uncertainty,0.5,0.02022785398744478
P2,42,final_uncertainty,Final uncertainty,0.6,0.022764700184055024
P2,42,final_uncertainty,Final uncertainty,0.7,0.03720003321431537
P2,42,final_uncertainty,Final uncertainty,0.8,0.042647486195873295
P2,42,final_uncertainty,Final uncertainty,0.9,0.05050374580211832
P2,42,final_uncertainty,Final uncertainty,0.95,0.06626284875183554
P2,42,combined_logistic_lodo,Combined LODO,0.5,0.010927691234596606
P2,42,combined_logistic_lodo,Combined LODO,0.6,0.015208757144241015
P2,42,combined_logistic_lodo,Combined LODO,0.7,0.01959644606825542
P2,42,combined_logistic_lodo,Combined LODO,0.8,0.033420517291485034
P2,42,combined_logistic_lodo,Combined LODO,0.9,0.05450787910100749
P2,42,combined_logistic_lodo,Combined LODO,0.95,0.06809838472834068
P2,42,branch_disagreement,Top-label conflict,0.5,0.0425482445942804
P2,42,branch_disagreement,Top-label conflict,0.6,0.04213891310665504
P2,42,branch_disagreement,Top-label conflict,0.7,0.04201610894295441
P2,42,branch_disagreement,Top-label conflict,0.8,0.04119442022667829
P2,42,branch_disagreement,Top-label conflict,0.9,0.06380780160165332
P2,42,branch_disagreement,Top-label conflict,0.95,0.07452276064610866
P2,43,final_uncertainty,Final uncertainty,0.5,0.056265984654731455
P2,43,final_uncertainty,Final uncertainty,0.6,0.05647583066937906
P2,43,final_uncertainty,Final uncertainty,0.7,0.05438844141825127
P2,43,final_uncertainty,Final uncertainty,0.8,0.06335367625690207
P2,43,final_uncertainty,Final uncertainty,0.9,0.05805993283389305
P2,43,final_uncertainty,Final uncertainty,0.95,0.0605726872246696
P2,43,combined_logistic_lodo,Combined LODO,0.5,0.012090211578702627
P2,43,combined_logistic_lodo,Combined LODO,0.6,0.01811488908263102
P2,43,combined_logistic_lodo,Combined LODO,0.7,0.017105372415511085
P2,43,combined_logistic_lodo,Combined LODO,0.8,0.02898866608544028
P2,43,combined_logistic_lodo,Combined LODO,0.9,0.0512787393438388
P2,43,combined_logistic_lodo,Combined LODO,0.95,0.06369309838472834
P2,43,branch_disagreement,Top-label conflict,0.5,0.03417809811671704
P2,43,branch_disagreement,Top-label conflict,0.6,0.03467984113145404
P2,43,branch_disagreement,Top-label conflict,0.7,0.03479199534999585
P2,43,branch_disagreement,Top-label conflict,0.8,0.03530950305143853
P2,43,branch_disagreement,Top-label conflict,0.9,0.05625161456987859
P2,43,branch_disagreement,Top-label conflict,0.95,0.06828193832599119
P3,41,final_uncertainty,Final uncertainty,0.5,0.03642564802182811
P3,41,final_uncertainty,Final uncertainty,0.6,0.04524783992723965
P3,41,final_uncertainty,Final uncertainty,0.7,0.04482557006431495
P3,41,final_uncertainty,Final uncertainty,0.8,0.04365620736698499
P3,41,final_uncertainty,Final uncertainty,0.9,0.05638926784902228
P3,41,final_uncertainty,Final uncertainty,0.95,0.07381345587707332
P3,41,combined_logistic_lodo,Combined LODO,0.5,0.013233287858117325
P3,41,combined_logistic_lodo,Combined LODO,0.6,0.015006821282401092
P3,41,combined_logistic_lodo,Combined LODO,0.7,0.02290001948937829
P3,41,combined_logistic_lodo,Combined LODO,0.8,0.038028649386084586
P3,41,combined_logistic_lodo,Combined LODO,0.9,0.05805669243595574
P3,41,combined_logistic_lodo,Combined LODO,0.95,0.07467509154879012
P3,41,branch_disagreement,Top-label conflict,0.5,0.037926330150068216
P3,41,branch_disagreement,Top-label conflict,0.6,0.04001819008640291
P3,41,branch_disagreement,Top-label conflict,0.7,0.03868641590333268
P3,41,branch_disagreement,Top-label conflict,0.8,0.03922237380627558
P3,41,branch_disagreement,Top-label conflict,0.9,0.06934970441109595
P3,41,branch_disagreement,Top-label conflict,0.95,0.0811373590866662
P3,42,final_uncertainty,Final uncertainty,0.5,0.08567530695770804
P3,42,final_uncertainty,Final uncertainty,0.6,0.08208276489313324
P3,42,final_uncertainty,Final uncertainty,0.7,0.07776261937244201
P3,42,final_uncertainty,Final uncertainty,0.8,0.07801841746248295
P3,42,final_uncertainty,Final uncertainty,0.9,0.07056237683795664
P3,42,final_uncertainty,Final uncertainty,0.95,0.07043871616284914
P3,42,combined_logistic_lodo,Combined LODO,0.5,0.030968622100954978
P3,42,combined_logistic_lodo,Combined LODO,0.6,0.027285129604365622
P3,42,combined_logistic_lodo,Combined LODO,0.7,0.025823426232703176
P3,42,combined_logistic_lodo,Combined LODO,0.8,0.04169508867667122
P3,42,combined_logistic_lodo,Combined LODO,0.9,0.06260421403668334
P3,42,combined_logistic_lodo,Combined LODO,0.95,0.07431607668557479
P3,42,branch_disagreement,Top-label conflict,0.5,0.04461118690313779
P3,42,branch_disagreement,Top-label conflict,0.6,0.045929968167348796
P3,42,branch_disagreement,Top-label conflict,0.7,0.046092379653089065
P3,42,branch_disagreement,Top-label conflict,0.8,0.045702592087312414
P3,42,branch_disagreement,Top-label conflict,0.9,0.06586327118387146
P3,42,branch_disagreement,Top-label conflict,0.95,0.0797731026064479
P3,43,final_uncertainty,Final uncertainty,0.5,0.07298772169167804
P3,43,final_uncertainty,Final uncertainty,0.6,0.07401091405184175
P3,43,final_uncertainty,Final uncertainty,0.7,0.07824985382966283
P3,43,final_uncertainty,Final uncertainty,0.8,0.07571623465211459
P3,43,final_uncertainty,Final uncertainty,0.9,0.06950128846445354
P3,43,final_uncertainty,Final uncertainty,0.95,0.07151576075249515
P3,43,combined_logistic_lodo,Combined LODO,0.5,0.029877216916780355
P3,43,combined_logistic_lodo,Combined LODO,0.6,0.02796725784447476
P3,43,combined_logistic_lodo,Combined LODO,0.7,0.027285129604365622
P3,43,combined_logistic_lodo,Combined LODO,0.8,0.04203615279672578
P3,43,combined_logistic_lodo,Combined LODO,0.9,0.06381688646354404
P3,43,combined_logistic_lodo,Combined LODO,0.95,0.07589574208372227
P3,43,branch_disagreement,Top-label conflict,0.5,0.04406548431105048
P3,43,branch_disagreement,Top-label conflict,0.6,0.046612096407457934
P3,43,branch_disagreement,Top-label conflict,0.7,0.045702592087312414
P3,43,branch_disagreement,Top-label conflict,0.8,0.04561732605729877
P3,43,branch_disagreement,Top-label conflict,0.9,0.06790965590419888
P3,43,branch_disagreement,Top-label conflict,0.95,0.07998851152437711
P4,41,final_uncertainty,Final uncertainty,0.5,0.07361029842012873
P4,41,final_uncertainty,Final uncertainty,0.6,0.07411741759313438
P4,41,final_uncertainty,Final uncertainty,0.7,0.07155395803728162
P4,41,final_uncertainty,Final uncertainty,0.8,0.06436512580456408
P4,41,final_uncertainty,Final uncertainty,0.9,0.05792861322410767
P4,41,final_uncertainty,Final uncertainty,0.95,0.06282722513089005
P4,41,combined_logistic_lodo,Combined LODO,0.5,0.018724400234055003
P4,41,combined_logistic_lodo,Combined LODO,0.6,0.016383850204798128
P4,41,combined_logistic_lodo,Combined LODO,0.7,0.0199782663211569
P4,41,combined_logistic_lodo,Combined LODO,0.8,0.0364979520187244
P4,41,combined_logistic_lodo,Combined LODO,0.9,0.055328002080488915
P4,41,combined_logistic_lodo,Combined LODO,0.95,0.06689251616877118
P4,41,branch_disagreement,Top-label conflict,0.5,0.03358689291983616
P4,41,branch_disagreement,Top-label conflict,0.6,0.032962746245367665
P4,41,branch_disagreement,Top-label conflict,0.7,0.033854384351751234
P4,41,branch_disagreement,Top-label conflict,0.8,0.03737565827969573
P4,41,branch_disagreement,Top-label conflict,0.9,0.06124439243222157
P4,41,branch_disagreement,Top-label conflict,0.95,0.07206652294425624
P4,42,final_uncertainty,Final uncertainty,0.5,0.07232299590403744
P4,42,final_uncertainty,Final uncertainty,0.6,0.0714842988102204
P4,42,final_uncertainty,Final uncertainty,0.7,0.07372732592159158
P4,42,final_uncertainty,Final uncertainty,0.8,0.06633996489174956
P4,42,final_uncertainty,Final uncertainty,0.9,0.06091931603926923
P4,42,final_uncertainty,Final uncertainty,0.95,0.0689867570064675
P4,42,combined_logistic_lodo,Combined LODO,0.5,0.014394382679929783
P4,42,combined_logistic_lodo,Combined LODO,0.6,0.01306807099668422
P4,42,combined_logistic_lodo,Combined LODO,0.7,0.02031263061105074
P4,42,combined_logistic_lodo,Combined LODO,0.8,0.03620538326506729
P4,42,combined_logistic_lodo,Combined LODO,0.9,0.05922891879591704
P4,42,combined_logistic_lodo,Combined LODO,0.95,0.07157376039421004
P4,42,branch_disagreement,Top-label conflict,0.5,0.03159742539496782
P4,42,branch_disagreement,Top-label conflict,0.6,0.03179247123073922
P4,42,branch_disagreement,Top-label conflict,0.7,0.03168101646744128
P4,42,branch_disagreement,Top-label conflict,0.8,0.03788765359859567
P4,42,branch_disagreement,Top-label conflict,0.9,0.06586047721214486
P4,42,branch_disagreement,Top-label conflict,0.95,0.0777332922697875
P4,43,final_uncertainty,Final uncertainty,0.5,0.04938560561732007
