test_donor,method,macro_precision,macro_recall,macro_f1,n_supported_classes
P1,mlp,0.8411414690579949,0.7940964642501994,0.808889744489459,57.0
P1,mosaic_full,0.8325983472083155,0.8310508400129816,0.8233122264336837,57.0
P2,mlp,0.8301626570275887,0.782985108957522,0.7981540400634701,58.0
P2,mosaic_full,0.829185604938021,0.8251725862170005,0.8213335453851677,58.0
P3,mlp,0.8164997168011392,0.7612445868899709,0.7742910257311436,57.0
P3,mosaic_full,0.8181996714685505,0.7893055105097583,0.7892203961691796,57.0
P4,mlp,0.8256520369695733,0.7461193270944687,0.7626214281392457,58.0
P4,mosaic_full,0.8162813807282,0.7744564525080384,0.7791630709981275,58.0
P5,mlp,0.8493366071520199,0.8125550151753941,0.8243667673354235,58.0
P5,mosaic_full,0.8390588911122102,0.8401843225329207,0.830688802370268,58.0
P6,mlp,0.79267150726889,0.7763617730913795,0.7784095797867856,58.0
P6,mosaic_full,0.8161115677180262,0.786605809286573,0.7909861050069736,58.0
P7,mlp,0.838412685330255,0.7777545946670908,0.7930256210107075,58.0
P7,mosaic_full,0.8455082137110145,0.8113707031196697,0.8163372415664178,58.0
P8,mlp,0.8481499458842108,0.7859145927449077,0.8036451895499788,58.0
P8,mosaic_full,0.8555254052677786,0.8095112317799144,0.8206958225430722,58.0
