protocol,method,metric,n_donors,mean,sd_across_donors,ci95_low,ci95_high,ci95_margin
locked,MLP matched locked,accuracy,8,0.9102998467234271,0.004537293048440157,0.9065065748083005,0.9140931186385537,0.003793271915126614
locked,MLP matched locked,weighted_f1,8,0.9091520475701659,0.0054020494519364465,0.9046358212097811,0.9136682739305506,0.004516226360384689
locked,MLP matched locked,macro_f1,8,0.796079977697076,0.02095382772146724,0.77856213933802,0.8135978160561319,0.017517838359056015
locked,MLP matched locked,balanced_accuracy,8,0.8010740097038818,0.02274607010824584,0.7820578192132164,0.8200902001945471,0.0190161904906654
clr,MLP matched CLR,accuracy,8,0.9134112586223845,0.004488425231392749,0.9096588412246938,0.9171636760200752,0.0037524173976906713
clr,MLP matched CLR,weighted_f1,8,0.9126857728129943,0.00520265493283457,0.9083362444421961,0.9170353011837926,0.004349528370798289
clr,MLP matched CLR,macro_f1,8,0.811192803483826,0.01648875042875406,0.7974078631572524,0.8249777438103997,0.01378494032657358
clr,MLP matched CLR,balanced_accuracy,8,0.8175100289912431,0.016680908037894744,0.8035644408832172,0.8314556170992691,0.013945588108025963
clr,MOSAIC full CLR,accuracy,8,0.9149954121976234,0.0036343825898868987,0.9119569923160196,0.9180338320792272,0.003038419881603759
clr,MOSAIC full CLR,weighted_f1,8,0.9136171714545469,0.005069902058461258,0.9093786272641039,0.9178557156449899,0.0042385441904430575
clr,MOSAIC full CLR,macro_f1,8,0.8175765653934699,0.0226040625034447,0.7986790962314195,0.8364740345555203,0.018897469162050366
clr,MOSAIC full CLR,balanced_accuracy,8,0.8200385177142544,0.021388408430016673,0.8021573607908039,0.8379196746377049,0.017881156923450506
locked,MOSAIC full locked,accuracy,8,0.9119325063485666,0.003999560917109898,0.9085887897453538,0.9152762229517794,0.003343716603212722
locked,MOSAIC full locked,weighted_f1,8,0.9107544995448474,0.005397912213443837,0.9062417320023995,0.9152672670872953,0.004512767542447948
locked,MOSAIC full locked,macro_f1,8,0.8071927715107629,0.018489411935770018,0.7917352363076368,0.822650306713889,0.015457535203126134
locked,MOSAIC full locked,balanced_accuracy,8,0.808457181995857,0.02331893102644002,0.7889620677925153,0.8279522961991987,0.019495114203341764
