reference_protocol,reference_method,comparator_protocol,comparator_method,metric,n_donors,mean_difference,difference_ci95_low,difference_ci95_high,difference_ci95_margin,paired_t_pvalue,wilcoxon_pvalue,positive_donor_count,negative_donor_count
locked,MOSAIC full locked,clr,MOSAIC full CLR,accuracy,8,-0.003062905849056788,-0.004360893072549615,-0.0017649186255639607,0.0012979872234928271,0.0008333272089123391,0.015625,1,7
locked,MOSAIC full locked,clr,MOSAIC full CLR,weighted_f1,8,-0.0028626719096994796,-0.0037814021490994595,-0.0019439416702994997,0.0009187302393999799,0.0001535608392965161,0.0078125,0,8
locked,MOSAIC full locked,clr,MOSAIC full CLR,macro_f1,8,-0.010383793882707035,-0.016406285852839132,-0.004361301912574938,0.006022491970132097,0.004707391111220611,0.015625,1,7
locked,MOSAIC full locked,clr,MOSAIC full CLR,balanced_accuracy,8,-0.011581335718397368,-0.019270051394291596,-0.0038926200425031393,0.007688715675894228,0.009197511254020978,0.015625,1,7
locked,MLP matched locked,clr,MLP matched CLR,accuracy,8,-0.0031114118989573197,-0.0036820730121918874,-0.002540750785722752,0.0005706611132345676,3.923082488777923e-06,0.0078125,0,8
locked,MLP matched locked,clr,MLP matched CLR,weighted_f1,8,-0.003533725242828481,-0.004033539046958922,-0.00303391143869804,0.0004998138041304412,6.69942294467644e-07,0.0078125,0,8
locked,MLP matched locked,clr,MLP matched CLR,macro_f1,8,-0.01511282578675012,-0.02114094992730364,-0.0090847016461966,0.006028124140553519,0.0005826650103705202,0.0078125,0,8
locked,MLP matched locked,clr,MLP matched CLR,balanced_accuracy,8,-0.016436019287361284,-0.023590507564121385,-0.009281531010601182,0.007154488276760101,0.000974267161776899,0.0078125,0,8
clr,MOSAIC full CLR,clr,MLP matched CLR,accuracy,8,0.0015841535752389169,-0.000607168720469405,0.0037754758709472387,0.002191322295708322,0.1311170708600893,0.25,6,2
clr,MOSAIC full CLR,clr,MLP matched CLR,weighted_f1,8,0.0009313986415525333,-0.0015934681667610037,0.00345626544986607,0.002524866808313537,0.4119701994091628,0.4609375,5,3
clr,MOSAIC full CLR,clr,MLP matched CLR,macro_f1,8,0.006383761909643862,-0.0011780285357433345,0.013945552355031058,0.007561790445387196,0.08609457286417689,0.109375,5,3
clr,MOSAIC full CLR,clr,MLP matched CLR,balanced_accuracy,8,0.002528488723011396,-0.0038712058768118427,0.008928183322834635,0.006399694599823239,0.3812723561103435,0.4609375,5,3
