test_donor,method,macro_precision,macro_recall,macro_f1,n_supported_classes
P1,MLP matched protocol,0.8234922781338248,0.8261377020970642,0.8187949603973821,57.0
P1,MOSAIC full,0.8325983472083155,0.8310508400129816,0.8233122264336837,57.0
P2,MLP matched protocol,0.8165810941170429,0.8128199383897406,0.809057754111984,58.0
P2,MOSAIC full,0.829185604938021,0.8251725862170005,0.8213335453851677,58.0
P3,MLP matched protocol,0.7921747477241431,0.7716822441310782,0.7668694689474534,57.0
P3,MOSAIC full,0.8181996714685505,0.7893055105097583,0.7892203961691796,57.0
P4,MLP matched protocol,0.8004979340982903,0.7676512903453848,0.7661610015103983,58.0
P4,MOSAIC full,0.8162813807282,0.7744564525080384,0.7791630709981275,58.0
P5,MLP matched protocol,0.8316580309866746,0.8296625858594796,0.8240471814984138,58.0
P5,MOSAIC full,0.8390588911122102,0.8401843225329207,0.830688802370268,58.0
P6,MLP matched protocol,0.7931185378345238,0.7941612890817239,0.7858733695072794,58.0
P6,MOSAIC full,0.8161115677180262,0.786605809286573,0.7909861050069736,58.0
P7,MLP matched protocol,0.8274518311845954,0.8034770701367138,0.8054920654143936,58.0
P7,MOSAIC full,0.8455082137110145,0.8113707031196697,0.8163372415664178,58.0
P8,MLP matched protocol,0.8310277308061061,0.8029999575898691,0.8064611746789128,58.0
P8,MOSAIC full,0.8555254052677786,0.8095112317799144,0.8206958225430722,58.0
