test_donor,method,accuracy,weighted_f1,macro_f1,balanced_accuracy,n_seeds
P1,MLP matched protocol,0.910761878503814,0.9109468128594082,0.804677805907772,0.8261377020970642,3
P2,MLP matched protocol,0.9148503342051729,0.9139920957991352,0.8090577541119838,0.8128199383897406,3
P3,MLP matched protocol,0.9070486584811278,0.9021549766234688,0.7668694689474534,0.7716822441310782,3
P4,MLP matched protocol,0.9061244392432221,0.9088244090458337,0.7661610015103983,0.7676512903453848,3
P5,MLP matched protocol,0.9153179588281142,0.9150123290097759,0.8240471814984138,0.8296625858594796,3
P6,MLP matched protocol,0.9094429981036866,0.9059613668663448,0.7858733695072794,0.7941612890817239,3
P7,MLP matched protocol,0.9152461572159303,0.9145683801748842,0.8054920654143936,0.8034770701367138,3
P8,MLP matched protocol,0.9036063492063492,0.9017560101824763,0.8064611746789128,0.8029999575898691,3
P1,MOSAIC full,0.9121220476059184,0.9121148397603682,0.809117188046896,0.8310508400129816,3
P2,MOSAIC full,0.914889082631018,0.9139314779320852,0.8213335453851677,0.8251725862170005,3
P3,MOSAIC full,0.9056844020009096,0.9011972035957108,0.7892203961691795,0.7893055105097583,3
P4,MOSAIC full,0.9131070801638383,0.9144216700985968,0.7791630709981275,0.7744564525080384,3
P5,MOSAIC full,0.913636849907539,0.913546314860282,0.830688802370268,0.8401843225329207,3
P6,MOSAIC full,0.9085269822903608,0.9055531028783184,0.7909861050069736,0.7866058092865731,3
P7,MOSAIC full,0.918312653807996,0.917394994438974,0.816337241566418,0.8113707031196697,3
P8,MOSAIC full,0.9091809523809524,0.907876392794444,0.8206958225430724,0.8095112317799144,3
P1,MOSAIC without HSR,0.9113132984100726,0.910810159832689,0.8144709861796265,0.8276941848586427,3
P2,MOSAIC without HSR,0.9158190448513028,0.914291263903805,0.8219414909038297,0.8129058927190126,3
P3,MOSAIC without HSR,0.9105729877216916,0.905798880089524,0.7921974034718158,0.7908488134851726,3
P4,MOSAIC without HSR,0.915408621025941,0.9159062535808808,0.7847215204996537,0.7741666071082921,3
P5,MOSAIC without HSR,0.9163419069888282,0.9156584240814648,0.8356382943123924,0.8382485098216783,3
P6,MOSAIC without HSR,0.9080770096101308,0.9056538117197256,0.7937721970845478,0.7940957017360507,3
P7,MOSAIC without HSR,0.9199618620591912,0.9192019137910928,0.8169080919497184,0.8099462851737232,3
P8,MOSAIC without HSR,0.910704761904762,0.9093739285207773,0.8179118377388633,0.8053487809687333,3
P1,MOSAIC without KD,0.9124896608767576,0.9123071519667678,0.8150639361936997,0.8267584880287956,3
P2,MOSAIC without KD,0.9146372178630244,0.912956823296201,0.8117769510043575,0.8053700513636811,3
P3,MOSAIC without KD,0.9094133697135062,0.9048524524438292,0.7917350944069108,0.789957696411958,3
P4,MOSAIC without KD,0.9153110981080552,0.9164260120110382,0.781295408602866,0.7773016676582465,3
P5,MOSAIC without KD,0.9164947350725172,0.9160912740293276,0.836032902621684,0.8385477121390584,3
P6,MOSAIC without KD,0.909201941310706,0.906546523675623,0.8028028925632006,0.797458237833883,3
P7,MOSAIC without KD,0.9200133998170408,0.9193840759158172,0.8203813815309858,0.8137242760821425,3
P8,MOSAIC without KD,0.9097777777777778,0.9084872735768372,0.8291994303533534,0.8136920105289712,3
P1,MLP original protocol,0.9098979873173422,0.9087274279795894,0.8042366839624027,0.7940964642501994,3
P2,MLP original protocol,0.9120991959701638,0.909482259719661,0.7981540400634701,0.782985108957522,3
P3,MLP original protocol,0.9047066848567532,0.8987262042993259,0.7742910257311436,0.7612445868899709,3
P4,MLP original protocol,0.9042910083869709,0.9062465481760827,0.7626214281392457,0.7461193270944687,3
P5,MLP original protocol,0.9160820992465576,0.9146527794387932,0.8243667673354235,0.8125550151753941,3
P6,MLP original protocol,0.9082377141387844,0.9041955672114708,0.7784095797867856,0.7763617730913795,3
P7,MLP original protocol,0.9148982773504438,0.9127066963515064,0.7930256210107075,0.7777545946670906,3
P8,MLP original protocol,0.9022984126984128,0.8996353727996632,0.8036451895499788,0.7859145927449077,3
