method,metric,n_donors,mean,sd_across_donors,ci95_low,ci95_high,ci95_margin,worst_donor_value,best_donor_value
MLP matched protocol,accuracy,8,0.9102998467234271,0.004537293048440157,0.9065065748083005,0.9140931186385537,0.003793271915126614,0.9036063492063492,0.9153179588281142
MLP matched protocol,weighted_f1,8,0.9091520475701659,0.0054020494519364465,0.9046358212097811,0.9136682739305506,0.004516226360384689,0.9017560101824763,0.9150123290097759
MLP matched protocol,macro_f1,8,0.796079977697076,0.02095382772146724,0.77856213933802,0.8135978160561319,0.017517838359056015,0.7661610015103983,0.8240471814984138
MLP matched protocol,balanced_accuracy,8,0.8010740097038818,0.02274607010824584,0.7820578192132164,0.8200902001945471,0.0190161904906654,0.7676512903453848,0.8296625858594796
MOSAIC full,accuracy,8,0.9119325063485666,0.003999560917109898,0.9085887897453538,0.9152762229517794,0.003343716603212722,0.9056844020009096,0.918312653807996
MOSAIC full,weighted_f1,8,0.9107544995448474,0.005397912213443837,0.9062417320023995,0.9152672670872953,0.004512767542447948,0.9011972035957108,0.917394994438974
MOSAIC full,macro_f1,8,0.8071927715107629,0.018489411935770018,0.7917352363076368,0.822650306713889,0.015457535203126134,0.7791630709981275,0.830688802370268
MOSAIC full,balanced_accuracy,8,0.808457181995857,0.02331893102644002,0.7889620677925153,0.8279522961991987,0.019495114203341764,0.7744564525080384,0.8401843225329207
MOSAIC without HSR,accuracy,8,0.91352493657149,0.00395364516591686,0.9102196064968976,0.9168302666460825,0.0033053300745924537,0.9080770096101308,0.9199618620591912
MOSAIC without HSR,weighted_f1,8,0.912086829439995,0.004967609174679621,0.9079338042405062,0.9162398546394838,0.004153025199488839,0.9056538117197256,0.9192019137910928
MOSAIC without HSR,macro_f1,8,0.809695227767556,0.017520446977393224,0.7950477675417593,0.8243426879933526,0.014647460225796619,0.7847215204996537,0.8356382943123924
MOSAIC without HSR,balanced_accuracy,8,0.8066568469839133,0.020547772694122116,0.7894784791229671,0.8238352148448594,0.017178367860946186,0.7741666071082921,0.8382485098216783
MOSAIC without KD,accuracy,8,0.9134174000674231,0.0038906692993061613,0.910164719134862,0.9166700809999843,0.0032526809325611173,0.909201941310706,0.9200133998170408
MOSAIC without KD,weighted_f1,8,0.91213144836443,0.005139363404414664,0.9078348330355397,0.9164280636933204,0.0042966153288903595,0.9048524524438292,0.9193840759158172
MOSAIC without KD,macro_f1,8,0.8110359996596321,0.018453325556428042,0.7956086334246143,0.82646336589465,0.015427366235017807,0.781295408602866,0.836032902621684
MOSAIC without KD,balanced_accuracy,8,0.807851267505842,0.01977007351120692,0.7913230724323871,0.824379462579297,0.01652819507345491,0.7773016676582465,0.8385477121390584
MLP original protocol,accuracy,8,0.9090639224956786,0.005090944659275238,0.9048077862507139,0.9133200587406433,0.004256136244964714,0.9022984126984128,0.9160820992465576
MLP original protocol,weighted_f1,8,0.9067966069970116,0.005745458447841216,0.9019932835314454,0.9115999304625778,0.004803323465566206,0.8987262042993259,0.9146527794387932
MLP original protocol,macro_f1,8,0.7923437919473947,0.019756882496761958,0.7758266248379906,0.8088609590567988,0.01651716710940412,0.7626214281392457,0.8243667673354235
MLP original protocol,balanced_accuracy,8,0.7796289328588666,0.020068721687794142,0.7628510616616397,0.7964068040560934,0.01677787119722689,0.7461193270944687,0.8125550151753941
