feature_set,n_features,features,metric,n_donors,n_fold_seed_units,mean,ci95_low,ci95_high,source_cell_scores,fit_protocol
uncertainty_only_1f,1,final_uncertainty,auroc,8,485292,0.6915396404179627,0.6513815579138387,0.7316977229220867,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz,target donor held out; logistic fit on seven other donors; seed averaged within donor
uncertainty_only_1f,1,final_uncertainty,auprc,8,485292,0.30797838878025574,0.2884616769565668,0.32749510060394466,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz,target donor held out; logistic fit on seven other donors; seed averaged within donor
uncertainty_only_1f,1,final_uncertainty,risk_at_coverage_0_90,8,485292,0.05498448139398138,0.04990898780519642,0.060059974982766336,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz,target donor held out; logistic fit on seven other donors; seed averaged within donor
uncertainty_conflict_2f,2,final_uncertainty+branch_disagreement,auroc,8,485292,0.7860323854811454,0.7684782491340948,0.803586521828196,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz,target donor held out; logistic fit on seven other donors; seed averaged within donor
uncertainty_conflict_2f,2,final_uncertainty+branch_disagreement,auprc,8,485292,0.3694666856179726,0.36113695909053606,0.3777964121454091,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz,target donor held out; logistic fit on seven other donors; seed averaged within donor
uncertainty_conflict_2f,2,final_uncertainty+branch_disagreement,risk_at_coverage_0_90,8,485292,0.050974596273795955,0.04844308529209969,0.05350610725549222,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz,target donor held out; logistic fit on seven other donors; seed averaged within donor
uncertainty_conflict_topvar_3f,3,final_uncertainty+branch_disagreement+top_probability_variance,auroc,8,485292,0.8379109788278499,0.8248728848019136,0.8509490728537863,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz,target donor held out; logistic fit on seven other donors; seed averaged within donor
uncertainty_conflict_topvar_3f,3,final_uncertainty+branch_disagreement+top_probability_variance,auprc,8,485292,0.3548009844601995,0.34463046561050364,0.3649715033098953,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz,target donor held out; logistic fit on seven other donors; seed averaged within donor
uncertainty_conflict_topvar_3f,3,final_uncertainty+branch_disagreement+top_probability_variance,risk_at_coverage_0_90,8,485292,0.05558658899772821,0.052655348865546625,0.0585178291299098,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz,target donor held out; logistic fit on seven other donors; seed averaged within donor
all_four_audit_features,4,final_uncertainty+branch_disagreement+top_probability_variance+margin_variance,auroc,8,485292,0.8388673590924625,0.8252758684754168,0.8524588497095081,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz,target donor held out; logistic fit on seven other donors; seed averaged within donor
all_four_audit_features,4,final_uncertainty+branch_disagreement+top_probability_variance+margin_variance,auprc,8,485292,0.3571462779011366,0.3461101277819767,0.36818242802029655,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz,target donor held out; logistic fit on seven other donors; seed averaged within donor
all_four_audit_features,4,final_uncertainty+branch_disagreement+top_probability_variance+margin_variance,risk_at_coverage_0_90,8,485292,0.05677492593248451,0.05331412622498455,0.06023572563998447,results/exp_generalization/mosaic_n_v34/branch_disagreement_audit/cell_scores.csv.gz,target donor held out; logistic fit on seven other donors; seed averaged within donor
