comparison,metric,n_donors,mean_difference,sd_difference,cohen_dz,ci95_low,ci95_high,paired_t_pvalue,wilcoxon_pvalue,positive_donors,negative_donors,zero_donors
MOSAIC full - matched MLP,accuracy,8,0.0016326596251394626,0.003279595485965817,0.4978234761347881,-0.0011091508156103208,0.0043744700658892455,0.20194144715269205,0.3828125,5,3,0
MOSAIC full - matched MLP,weighted_f1,8,0.0016024519746815208,0.0029480383712523423,0.5435655079349563,-0.0008621697814526152,0.004067073730815657,0.16807187887449365,0.3828125,4,4,0
MOSAIC full - matched MLP,macro_f1,8,0.011112793813686947,0.005874419980009925,1.8917261366233082,0.006201655807959059,0.016023931819414833,0.0010635014344713594,0.0078125,8,0,0
MOSAIC full - matched MLP,balanced_accuracy,8,0.007383172291975312,0.007270538086815591,1.0154918664636352,0.0013048503398918245,0.0134614942440588,0.0239151444978132,0.0546875,7,1,0
MOSAIC without KD - matched MLP,accuracy,8,0.003117553343996049,0.0033278080158080613,0.9368188697144664,0.0003354362196134526,0.005899670468378646,0.03295489652193934,0.0390625,6,2,0
MOSAIC without KD - matched MLP,weighted_f1,8,0.0029794007942642586,0.0030932134363945455,0.9632056938615439,0.0003934096463722842,0.005565391942156233,0.029578796210632207,0.0234375,7,1,0
MOSAIC without KD - matched MLP,macro_f1,8,0.014956021962556326,0.0069912278230077835,2.1392554128098644,0.009111209234642079,0.020800834690470574,0.000515587779624855,0.0078125,8,0,0
MOSAIC without KD - matched MLP,balanced_accuracy,8,0.006777257801960271,0.0077891766439130376,0.8700865459581604,0.00026534316537947175,0.01328917243854107,0.04340315983054164,0.0390625,7,1,0
MOSAIC full - parameter-matched MLP,accuracy,8,0.0008212030077254379,0.0029904623223526096,0.2746073747819012,-0.0016788860591067174,0.003321292074557593,0.4627651965524243,0.546875,4,4,0
MOSAIC full - parameter-matched MLP,weighted_f1,8,0.001108373487139075,0.0025984271933516085,0.42655552942756414,-0.001063966009834441,0.0032807129841125908,0.2668192769646769,0.25,5,3,0
MOSAIC full - parameter-matched MLP,macro_f1,8,0.007074129789778491,0.004800667925810415,1.4735719902109843,0.003060670966004273,0.01108758861355271,0.004200182895327315,0.015625,7,1,0
MOSAIC full - parameter-matched MLP,balanced_accuracy,8,0.0060444515617206485,0.007126066806595537,0.8482170776347762,8.691062247575404e-05,0.012001992500965543,0.0475275500762638,0.078125,6,2,0
MOSAIC full - uncapped early-fusion XGBoost,accuracy,8,0.008741782391522485,0.013889426969220369,0.629383948732708,-0.0028700691441936963,0.020353633927238664,0.11826612954847064,0.109375,6,2,0
MOSAIC full - uncapped early-fusion XGBoost,weighted_f1,8,0.009734418929327693,0.012896738741987254,0.7547969392941055,-0.0010475244797660942,0.02051636233842148,0.07016193015920535,0.0546875,6,2,0
MOSAIC full - uncapped early-fusion XGBoost,macro_f1,8,0.018681175287227736,0.016009314983345332,1.1668941055043247,0.005297053020191024,0.032065297554264446,0.013112146174340773,0.015625,7,1,0
MOSAIC full - uncapped early-fusion XGBoost,balanced_accuracy,8,0.03295421052663543,0.016671710543046253,1.9766544315622478,0.019016311713294123,0.04689210933997673,0.0008238283108894202,0.0078125,8,0,0
