test_donor,method,gate_floor,gate_max,accuracy,weighted_f1,macro_f1,balanced_accuracy,prediction_change_rate,mean_gate
P1,gate_0p02_0p2,0.02,0.2,0.9121220476059185,0.9121148397603681,0.809117188046896,0.8310508400129816,0.0015991177281499862,0.021600091829895973
P1,gate_0p0_0p1,0.0,0.1,0.9119933829611249,0.9119579455010235,0.8086088834469344,0.8307588842618445,0.00034923260729712344,0.0008889406938881924
P1,gate_0p0_0p5,0.0,0.5,0.9119933829611249,0.9120003672922737,0.8088268211196121,0.8308728121579789,0.0013785497656465398,0.004444703537349899
P2,gate_0p02_0p2,0.02,0.2,0.9148890826310181,0.9139314779320852,0.8213335453851677,0.8251725862170005,0.0015693112467306015,0.022873975957433384
P2,gate_0p0_0p1,0.0,0.1,0.914656592075947,0.9137085002607493,0.8211511965502137,0.8253909673581652,0.0002712389809164003,0.0015966537757776678
P2,gate_0p0_0p5,0.0,0.5,0.9146178436501017,0.9136588396280546,0.8207423212914402,0.8247253613268993,0.0013561949045820011,0.007983268937096
P3,gate_0p02_0p2,0.02,0.2,0.9056844020009095,0.9011972035957109,0.7892203961691795,0.7893055105097583,0.0018190086402910413,0.0219851266592741
P3,gate_0p0_0p1,0.0,0.1,0.9055479763528878,0.901051739885454,0.7885655902278558,0.7898064672392736,0.00031832651205093227,0.0011028481919007997
P3,gate_0p0_0p5,0.0,0.5,0.9056161891768987,0.9011314328084783,0.7889087208547844,0.7892450904060055,0.0011823556161891769,0.005514240590855479
P4,gate_0p02_0p2,0.02,0.2,0.9131070801638385,0.9144216700985967,0.7791630709981275,0.7744564525080384,0.0025746050321825632,0.022971949850519497
P4,gate_0p0_0p1,0.0,0.1,0.9133801443339186,0.9146315981739545,0.7791138472401151,0.7751260708273842,0.0006436512580456407,0.0016510836624850829
P4,gate_0p0_0p5,0.0,0.5,0.9129900526623757,0.9143430653676653,0.7789376893471105,0.77355702084795,0.0031207333723425007,0.0082554182348152
P5,gate_0p02_0p2,0.02,0.2,0.913636849907539,0.913546314860282,0.830688802370268,0.8401843225329207,0.00132960432809133,0.02518284258743127
P5,gate_0p0_0p1,0.0,0.1,0.9136062842908013,0.9135282372584586,0.8310288102738085,0.841388254433228,0.00035150459248391484,0.002879357198253274
P5,gate_0p0_0p5,0.0,0.5,0.9135298702489569,0.9134616494189407,0.8302444893414873,0.8400489920250774,0.0010392309690828785,0.014396785758435726
P6,gate_0p02_0p2,0.02,0.2,0.9085269822903609,0.9055531028783183,0.7909861050069736,0.7866058092865731,0.0010285089833831516,0.022286761552095413
P6,gate_0p0_0p1,0.0,0.1,0.9085751936489569,0.9056409424996709,0.791833748487857,0.7890685394449873,0.0003214090573072349,0.0012704235850833356
P6,gate_0p0_0p5,0.0,0.5,0.9087519686304759,0.9057963821951719,0.7918452038128733,0.7875310424331333,0.0008517340018641726,0.00635211825526009
P7,gate_0p02_0p2,0.02,0.2,0.9183126538079961,0.9173949944389741,0.816337241566418,0.8113707031196697,0.001236906188396274,0.024478938430547714
P7,gate_0p0_0p1,0.0,0.1,0.9181966938528339,0.9172753663857535,0.8163911721407419,0.8114628187994345,0.0002834576681741461,0.002488299214746803
P7,gate_0p0_0p5,0.0,0.5,0.9180807338976718,0.9171563819551783,0.8155483278893424,0.8104615612876929,0.0009921018386095113,0.012441496752823392
P8,gate_0p02_0p2,0.02,0.2,0.9091809523809524,0.9078763927944439,0.8206958225430724,0.8095112317799144,0.0007746031746031747,0.021004732077320416
P8,gate_0p0_0p1,0.0,0.1,0.9092444444444444,0.9079346286856009,0.820638230901433,0.8095703997747137,0.00015238095238095237,0.0005581847411425164
P8,gate_0p0_0p5,0.0,0.5,0.9091682539682541,0.9078603093371486,0.8205762000937855,0.8093957658945375,0.0005587301587301587,0.0027909233467653394
