reference,comparator,metric,n_donors,mean_difference,ci95_low,ci95_high,paired_t_pvalue
gate_0p0_0p1,gate_0p02_0p2,accuracy,8,-3.241735345230201e-05,-0.00016502314575881675,0.00010018843885421273,0.5813310020070472
gate_0p0_0p1,gate_0p02_0p2,weighted_f1,8,-3.8379713514252733e-05,-0.00016219035477883643,8.543092775033096e-05,0.4873713331834272
gate_0p0_0p1,gate_0p02_0p2,macro_f1,8,-2.6336602142920662e-05,-0.0004206995010079732,0.00036802629672213187,0.8789819570481621
gate_0p0_0p1,gate_0p02_0p2,balanced_accuracy,8,0.0006143682715217813,-0.00011576952559744908,0.0013445060686410118,0.08693059176365005
gate_0p0_0p1,gate_0p02_0p2,prediction_change_rate,8,-0.0011550579616464722,-0.0015163694417898543,-0.0007937464815030901,0.0001306377341533277
gate_0p0_0p1,gate_0p02_0p2,mean_gate,8,-0.021243578485155012,-0.021771334850720313,-0.02071582211958971,3.722522153584358e-12
gate_0p0_0p5,gate_0p02_0p2,accuracy,8,-8.896944908418081e-05,-0.00021582155722594848,3.788265905758687e-05,0.14118851583572117
gate_0p0_0p5,gate_0p02_0p2,weighted_f1,8,-7.844604448345449e-05,-0.00020959269038759768,5.27006014206887e-05,0.20014410301213603
gate_0p0_0p5,gate_0p02_0p2,macro_f1,8,-0.00023904979195837894,-0.0006506572134952196,0.00017255762957846173,0.21202667894335275
gate_0p0_0p5,gate_0p02_0p2,balanced_accuracy,8,-0.00022747619844772082,-0.0007113181041612025,0.0002563657072657609,0.3029779695322674
gate_0p0_0p5,gate_0p02_0p2,prediction_change_rate,8,-0.00018150433684764787,-0.0004562847968146383,9.327612311934254e-05,0.1622739277557037
gate_0p0_0p5,gate_0p02_0p2,mean_gate,8,-0.015025682941389581,-0.017136707789914253,-0.012914658092864907,6.398286651692307e-07
