test_donor,seed,method,gate_floor,gate_max,prediction_change_rate,mean_gate,accuracy,weighted_f1,macro_f1,balanced_accuracy
P1,41,gate_0p0_0p1,0.0,0.1,0.00016542597187758478,0.0006559245521202683,0.9141990625861594,0.9141100624282174,0.8107035349871023,0.8279895531122916
P1,41,gate_0p02_0p2,0.02,0.2,0.0012682657843948167,0.021180663257837296,0.9141990625861594,0.9141482443113407,0.8110430002788572,0.8280590831565268
P1,41,gate_0p0_0p5,0.0,0.5,0.0009925558312655087,0.0032796228770166636,0.914364488558037,0.914317266781026,0.8110382310286286,0.8283103478691307
P1,42,gate_0p0_0p1,0.0,0.1,0.0006617038875103391,0.0016263294965028763,0.9106699751861043,0.911480454368411,0.8066230626105642,0.8409456237782067
P1,42,gate_0p02_0p2,0.02,0.2,0.0024813895781637717,0.02292739227414131,0.9109456851392336,0.9118077587062279,0.8080714372301046,0.8421003772603008
P1,42,gate_0p0_0p5,0.0,0.5,0.0024813895781637717,0.008131647482514381,0.9106148331954783,0.9115330543471702,0.8073544904004828,0.8415183051635433
P1,43,gate_0p0_0p1,0.0,0.1,0.00022056796250344637,0.0003845680330414325,0.9111111111111111,0.9102833197064424,0.808500052743137,0.8233414758950354
P1,43,gate_0p02_0p2,0.02,0.2,0.0010476978218913703,0.020692219957709312,0.9112213950923629,0.9103885162635358,0.8082371266317265,0.8229930596221171
P1,43,gate_0p0_0p5,0.0,0.5,0.0006617038875103391,0.0019228402525186539,0.9110008271298594,0.9101507807486249,0.8080877419297252,0.8227897834412629
P2,41,gate_0p0_0p1,0.0,0.1,0.0002906131938390003,0.0019874474965035915,0.9141528625399593,0.9141422975506247,0.8247306089713053,0.833824986692995
P2,41,gate_0p02_0p2,0.02,0.2,0.0023249055507120024,0.023577405139803886,0.9145015983725661,0.9145045541527477,0.82503439522081,0.8335119825368792
P2,41,gate_0p0_0p5,0.0,0.5,0.0013368206916594013,0.009937237948179245,0.9139203719848881,0.9139664731416526,0.824205135730059,0.8330917142533735
P2,42,gate_0p0_0p1,0.0,0.1,0.0001743679163034002,0.0020650282967835665,0.9115954664341761,0.9100917719474676,0.8139178233653885,0.8271179318239166
P2,42,gate_0p02_0p2,0.02,0.2,0.0011624527753560012,0.02371704950928688,0.9118279569892473,0.9103116021506772,0.8144028425311443,0.8273560895353388
P2,42,gate_0p0_0p5,0.0,0.5,0.0008137169427492008,0.010325141251087189,0.9118860796280152,0.9103956043842476,0.8146528779155283,0.8278627616662741
P2,43,gate_0p0_0p1,0.0,0.1,0.0003487358326068004,0.0007374855340458453,0.9182214472537054,0.9168914312841556,0.8248051573139472,0.8152299835575841
P2,43,gate_0p02_0p2,0.02,0.2,0.0012205754141238012,0.02132747322320938,0.9183376925312409,0.9169782774928307,0.8245633984035485,0.8146496865787837
P2,43,gate_0p0_0p5,0.0,0.5,0.0019180470793374019,0.0036874276120215654,0.9180470793374019,0.9166144413582638,0.8233689502287331,0.8132216080610503
P3,41,gate_0p0_0p1,0.0,0.1,0.00027285129604365623,0.0017880338709801435,0.9037517053206002,0.9005313805098343,0.7995186431073218,0.8185416352866447
P3,41,gate_0p02_0p2,0.02,0.2,0.0025238744884038197,0.023218460381031036,0.9038881309686221,0.9006726921511017,0.7985879566133259,0.8158240919186364
P3,41,gate_0p0_0p5,0.0,0.5,0.001296043656207367,0.008940168656408787,0.9037517053206002,0.900545968168769,0.79819130692104,0.8155126717179765
P3,42,gate_0p0_0p1,0.0,0.1,0.00027285129604365623,0.0005610203370451927,0.9060027285129605,0.9007131296293085,0.7857997906892199,0.7750844244947467
P3,42,gate_0p02_0p2,0.02,0.2,0.0012278308321964529,0.021009836345911026,0.906343792633015,0.9010726565903407,0.7862420370465021,0.7754029976288098
P3,42,gate_0p0_0p5,0.0,0.5,0.0004774897680763984,0.00280510145239532,0.9060027285129605,0.9007169714393964,0.7850923520474157,0.7740938528274832
P3,43,gate_0p0_0p1,0.0,0.1,0.0004092769440654843,0.0009594903676770627,0.9068894952251023,0.9019107095172189,0.780378336887026,0.7757933419364295
P3,43,gate_0p02_0p2,0.02,0.2,0.0017053206002728514,0.02172708325088024,0.9068212824010914,0.9018462620456903,0.7828311948477107,0.7766894419818288
P3,43,gate_0p0_0p5,0.0,0.5,0.0017735334242837653,0.004797451663762331,0.9070941336971351,0.9021313588172694,0.7834425035958973,0.7781287466725569
P4,41,gate_0p0_0p1,0.0,0.1,0.0004681100058513751,0.0008519297698512673,0.9166764189584552,0.9167451418806376,0.7823165250949069,0.7686165690424205
P4,41,gate_0p02_0p2,0.02,0.2,0.0018724400234055004,0.02153347246348858,0.9162083089526039,0.9163462995726416,0.7822061189762317,0.7686533430872561
P4,41,gate_0p0_0p5,0.0,0.5,0.0023405500292568754,0.004259649198502302,0.9166179052077238,0.9167186372548928,0.7831601826396732,0.7688756108765957
P4,42,gate_0p0_0p1,0.0,0.1,0.0002925687536571094,0.0009524751221761107,0.9089526038619076,0.9107802333246166,0.7712615430695443,0.7710675225615691
P4,42,gate_0p02_0p2,0.02,0.2,0.0016383850204798127,0.021714454516768456,0.9091281451141018,0.9110119627729432,0.7724201325666772,0.7716843862583388
P4,42,gate_0p0_0p5,0.0,0.5,0.0019309537741369221,0.0047623757272958755,0.9090696313633704,0.9109718455689378,0.7720544102186622,0.7710904531396083
P4,43,gate_0p0_0p1,0.0,0.1,0.0011702750146284377,0.0031488460954278708,0.9145114101813926,0.9163694193166095,0.7837634735558943,0.7856941208781629
P4,43,gate_0p02_0p2,0.02,0.2,0.004212990052662376,0.02566792257130146,0.9139847864248098,0.9159067479502051,0.7828629614514736,0.7830316281785202
P4,43,gate_0p0_0p5,0.0,0.5,0.005090696313633704,0.015744229778647423,0.9132826214160328,0.9153387132791655,0.7815984751829961,0.7807049985276457
P5,41,gate_0p0_0p1,0.0,0.1,0.0004584842510659759,0.0025310805067420006,0.9148594745770483,0.915124295858132,0.8326918078212713,0.84086334133219
P5,41,gate_0p02_0p2,0.02,0.2,0.0016505433038375133,0.02455594576895237,0.914997019852368,0.9152046901090144,0.8331664537456858,0.8409689811490043
P5,41,gate_0p0_0p5,0.0,0.5,0.0010545137774517445,0.012655402533710003,0.9146760808766219,0.9149386154877771,0.8322362358079933,0.8404125302467627
P5,42,gate_0p0_0p1,0.0,0.1,0.00013754527531979277,0.0031787308398634195,0.9171977442574848,0.9178613132744685,0.8353243590159004,0.8441421850081394
P5,42,gate_0p02_0p2,0.02,0.2,0.0009169685021319518,0.02572171576321125,0.9171977442574848,0.9178794523866678,0.8358065688222726,0.8440200835275453
P5,42,gate_0p0_0p5,0.0,0.5,0.0005960295263857686,0.01589365303516388,0.9172435926825914,0.9179370756532323,0.8356316748938442,0.8444632349848956
P5,43,gate_0p0_0p1,0.0,0.1,0.0004584842510659759,0.0029282602481544018,0.9087616340378708,0.9075991026427749,0.8250702639842536,0.8391592369593542
P5,43,gate_0p02_0p2,0.02,0.2,0.0014213011783045253,0.025270866230130196,0.9087157856127642,0.9075548020851638,0.8230933845428458,0.8355639029222125
P5,43,gate_0p0_0p5,0.0,0.5,0.0014671496034111228,0.014641301706433296,0.9086699371876577,0.9075092571158127,0.8228655573226243,0.8352712108435738
P6,41,gate_0p0_0p1,0.0,0.1,0.0004821135859608524,0.0022100803907960653,0.9084466300260341,0.9055836106692982,0.7987587857592027,0.7998422549045446
P6,41,gate_0p02_0p2,0.02,0.2,0.0011570726063060456,0.02397814393043518,0.9086394754604185,0.9057352030768951,0.8017059079841766,0.7996816073604462
P6,41,gate_0p0_0p5,0.0,0.5,0.0011088612477099604,0.011050403118133545,0.9085912641018223,0.9056934346319331,0.8019298373731883,0.7996346529952555
P6,42,gate_0p0_0p1,0.0,0.1,0.0003856908687686819,0.0012168699176982045,0.9071449233439398,0.9049853195408141,0.7870400161059079,0.7814197625645705
P6,42,gate_0p02_0p2,0.02,0.2,0.0012534953234982161,0.022190364077687263,0.9069038665509594,0.9046958568366725,0.781618937564248,0.7745458217140031
P6,42,gate_0p0_0p5,0.0,0.5,0.0012534953234982161,0.006084349472075701,0.9074824028541124,0.9052933192491125,0.783882207062631,0.7769772285053055
P6,43,gate_0p0_0p1,0.0,0.1,9.642271719217047e-05,0.00038432044675573707,0.9101340275768971,0.9063538972889006,0.7897024435984608,0.7859436008658468
P6,43,gate_0p02_0p2,0.02,0.2,0.0006749590203451933,0.020691776648163795,0.910037604859705,0.9062282487213874,0.7896334694724966,0.7855899987852698
P6,43,gate_0p0_0p5,0.0,0.5,0.00019284543438434094,0.0019216021755710244,0.9101822389354932,0.9064023927044699,0.7897235670028006,0.7859812457988389
P7,41,gate_0p0_0p1,0.0,0.1,0.00034787986548645203,0.003954109735786915,0.9197170577094044,0.9188542091334674,0.8042725334207537,0.8024144964553994
P7,41,gate_0p02_0p2,0.02,0.2,0.0015461327354953423,0.027117397636175156,0.9194464844806927,0.9185873551531232,0.8033932853658062,0.8016970559959812
P7,41,gate_0p0_0p5,0.0,0.5,0.0011982528700088904,0.01977054961025715,0.9192145645703683,0.9183510604112161,0.801833991069094,0.7999596594456403
P7,42,gate_0p0_0p1,0.0,0.1,0.00015461327354953424,0.0004916664329357445,0.9180549650187468,0.9167226872167431,0.8206308721436522,0.8030636871832495
P7,42,gate_0p02_0p2,0.02,0.2,0.000618453094198137,0.02088499814271927,0.9183255382474586,0.9169906927708672,0.8209738132660545,0.8031782185573458
P7,42,gate_0p0_0p5,0.0,0.5,0.0005411464574233697,0.0024583323393017054,0.9181322716555216,0.9167951247436423,0.8207321239552975,0.8028718741687474
P7,43,gate_0p0_0p1,0.0,0.1,0.00034787986548645203,0.00301912147551775,0.9168180588303506,0.91624920280705,0.8242701108578195,0.8289102727596546
P7,43,gate_0p02_0p2,0.02,0.2,0.0015461327354953423,0.025434419512748718,0.9171659386958371,0.9166069353929319,0.8246446260673931,0.8292368348056823
P7,43,gate_0p0_0p5,0.0,0.5,0.001236906188396274,0.015095608308911324,0.9168953654671254,0.9163229607106766,0.8240788686436353,0.8285531502486907
P8,41,gate_0p0_0p1,0.0,0.1,0.00019047619047619048,0.0009099272429011762,0.9079619047619047,0.906762230439225,0.8175881923658566,0.8112794531208624
