method,gate_floor,gate_max,metric,n_donors,mean,ci95_low,ci95_high
gate_0p02_0p2,0.02,0.2,accuracy,8,0.9119325063485666,0.9085887897453538,0.9152762229517794
gate_0p02_0p2,0.02,0.2,weighted_f1,8,0.9107544995448473,0.9062417320023994,0.9152672670872952
gate_0p02_0p2,0.02,0.2,macro_f1,8,0.8071927715107629,0.7917352363076368,0.822650306713889
gate_0p02_0p2,0.02,0.2,balanced_accuracy,8,0.808457181995857,0.7889620677925153,0.8279522961991987
gate_0p02_0p2,0.02,0.2,prediction_change_rate,8,0.0014914581652285153,0.0010316635388911942,0.0019512527915658364
gate_0p02_0p2,0.02,0.2,mean_gate,8,0.02279805236806472,0.021610600725685398,0.023985504010444043
gate_0p0_0p1,0.0,0.1,accuracy,8,0.9119000889951143,0.9085737788129136,0.9152263991773151
gate_0p0_0p1,0.0,0.1,weighted_f1,8,0.9107161198313332,0.9062067683678018,0.9152254712948645
gate_0p0_0p1,0.0,0.1,macro_f1,8,0.8071664349086198,0.791680909953084,0.8226519598641556
gate_0p0_0p1,0.0,0.1,balanced_accuracy,8,0.8090715502673789,0.7898234516612578,0.8283196488735
gate_0p0_0p1,0.0,0.1,prediction_change_rate,8,0.0003364002035820431,0.00021975917008016437,0.0004530412370839218
gate_0p0_0p1,0.0,0.1,mean_gate,8,0.0015544738829097091,0.0008947786060956259,0.0022141691597237926
gate_0p0_0p5,0.0,0.5,accuracy,8,0.9118435368994824,0.9085860444629382,0.9151010293360266
gate_0p0_0p5,0.0,0.5,weighted_f1,8,0.910676053500364,0.906244450992682,0.9151076560080459
gate_0p0_0p5,0.0,0.5,macro_f1,8,0.8069537217188045,0.7916869095313128,0.8222205339062962
gate_0p0_0p5,0.0,0.5,balanced_accuracy,8,0.8082297057974093,0.7887646729685728,0.8276947386262458
gate_0p0_0p5,0.0,0.5,prediction_change_rate,8,0.0013099538283808674,0.0006584801781723555,0.001961427478589379
gate_0p0_0p5,0.0,0.5,mean_gate,8,0.007772369426675141,0.004473892935771241,0.01107084591757904
