branch,margin_bin,margin_p05,margin_p95,margin_mean,n_cells,n_donors
ADT,1,0.038506412506103475,0.925316047668457,0.4237167699022917,97065,8
ADT,2,0.8059609532356262,2.2531565725803375,1.439930541109744,97056,8
ADT,3,1.8310249745845795,3.4824705123901367,2.6513030500903194,97056,8
ADT,4,2.903813973069191,4.087443798780441,3.5558436830103965,97056,8
ADT,5,3.732731008529663,5.930351424217223,4.533172950543902,97059,8
Fusion,1,0.20452165603637687,4.062509477138519,2.147144535155002,97065,8
Fusion,2,2.9377619326114655,4.288359567523003,3.9196996031967495,97056,8
Fusion,3,4.002451419830322,4.86612493917346,4.452788538368345,97056,8
Fusion,4,4.273106359876692,5.454305574297905,4.9290138037274165,97056,8
Fusion,5,4.971794217824936,7.001860911399126,5.898138856211996,97059,8
RNA,1,0.08580460548400877,2.0408880472183233,0.9463697704802075,97065,8
RNA,2,1.631035327911377,3.674244537949562,2.623343568346942,97056,8
RNA,3,2.499758303165436,4.149775609374046,3.4828778647347836,97056,8
RNA,4,3.1859756708145146,4.755986638367176,4.0711419088905885,97056,8
RNA,5,4.120553833246231,6.94031212925911,5.2939155742322255,97059,8
