test_donor,seed,branch,beta,train_margin_mean,train_margin_sd
P1,41,RNA,-0.03326146677136421,3.987785577774048,1.138500690460205
P1,41,ADT,-0.599754273891449,2.734416961669922,1.5210208892822266
P1,41,Fusion,0.76954585313797,4.949512481689453,0.9839308261871338
P1,42,RNA,0.09518740326166153,3.035565137863159,1.392181158065796
P1,42,ADT,-0.26569584012031555,2.38788104057312,1.4431352615356445
P1,42,Fusion,0.2027328759431839,4.2162861824035645,1.3610855340957642
P1,43,RNA,-0.10965397208929062,4.130537509918213,1.1023300886154175
P1,43,ADT,-0.6720680594444275,2.8725337982177734,1.5647157430648804
P1,43,Fusion,0.930065393447876,4.959793567657471,0.8862022757530212
P2,41,RNA,0.08774781972169876,3.149858236312866,1.4028053283691406
P2,41,ADT,-0.211205393075943,2.324075937271118,1.44990074634552
P2,41,Fusion,0.14159764349460602,3.9934511184692383,1.376210331916809
P2,42,RNA,0.09725208580493927,3.1580588817596436,1.4450716972351074
P2,42,ADT,-0.2558409869670868,2.447031259536743,1.532602071762085
P2,42,Fusion,0.204280287027359,4.280669689178467,1.3586270809173584
P2,43,RNA,-0.22926540672779083,4.455435276031494,1.001880407333374
P2,43,ADT,-0.8469798564910889,3.0852441787719727,1.5416826009750366
P2,43,Fusion,1.322463035583496,5.002710819244385,0.8314645290374756
P3,41,RNA,0.08791327476501465,3.1853699684143066,1.4080029726028442
P3,41,ADT,-0.25220558047294617,2.3265116214752197,1.4558625221252441
P3,41,Fusion,0.19138821959495544,4.328049182891846,1.3906328678131104
P3,42,RNA,-0.28204089403152466,4.562036514282227,1.0663427114486694
P3,42,ADT,-0.9425504207611084,3.192420482635498,1.6036179065704346
P3,42,Fusion,1.3986313343048096,4.981689929962158,0.8345799446105957
P3,43,RNA,-0.14048273861408234,4.409750938415527,1.0286612510681152
P3,43,ADT,-0.6974186301231384,2.9986464977264404,1.587637186050415
P3,43,Fusion,1.0617866516113281,5.075215816497803,0.8868489861488342
P4,41,RNA,-0.3150396943092346,4.645066261291504,0.9130748510360718
P4,41,ADT,-1.034714937210083,3.323941946029663,1.5214096307754517
P4,41,Fusion,1.6427185535430908,4.9104485511779785,0.7813256978988647
P4,42,RNA,-0.16402964293956757,4.412100791931152,1.0801821947097778
P4,42,ADT,-0.7432448267936707,2.947319507598877,1.5297877788543701
P4,42,Fusion,1.0734010934829712,5.015451431274414,0.9067022800445557
P4,43,RNA,0.0850522369146347,3.4984378814697266,1.4203078746795654
P4,43,ADT,-0.3347946107387543,2.524172067642212,1.523300290107727
P4,43,Fusion,0.31280097365379333,4.6945013999938965,1.242922306060791
P5,41,RNA,0.08419503271579742,3.0255279541015625,1.4499180316925049
P5,41,ADT,-0.1931544691324234,2.3541502952575684,1.4287571907043457
P5,41,Fusion,0.11761132627725601,3.962031602859497,1.3571767807006836
P5,42,RNA,0.08817185461521149,3.336376667022705,1.4075911045074463
P5,42,ADT,-0.30776146054267883,2.4823668003082275,1.468976378440857
P5,42,Fusion,0.26203882694244385,4.552384853363037,1.3191660642623901
P5,43,RNA,0.08543593436479568,2.9765985012054443,1.4005719423294067
P5,43,ADT,-0.18927322328090668,2.362769365310669,1.4229016304016113
P5,43,Fusion,0.10958448052406311,3.925994634628296,1.3685816526412964
P6,41,RNA,0.06879094243049622,3.6530027389526367,1.326465368270874
P6,41,ADT,-0.3691154718399048,2.5967464447021484,1.4588677883148193
P6,41,Fusion,0.3595626950263977,4.792820453643799,1.1065491437911987
P6,42,RNA,-0.03702084347605705,4.056443691253662,1.0962607860565186
P6,42,ADT,-0.5637456774711609,2.820655584335327,1.489956021308899
P6,42,Fusion,0.696148157119751,5.023525238037109,0.8839125633239746
P6,43,RNA,-0.1032896488904953,4.274036407470703,1.0656917095184326
P6,43,ADT,-0.6541282534599304,2.9676952362060547,1.498106598854065
P6,43,Fusion,0.8659639358520508,4.962146282196045,0.9086169600486755
P7,41,RNA,0.06609079241752625,2.797943353652954,1.3725694417953491
P7,41,ADT,-0.1405745893716812,2.0959253311157227,1.3482648134231567
P7,41,Fusion,0.06613276153802872,3.7261412143707275,1.4211490154266357
P7,42,RNA,-0.12949903309345245,4.269492149353027,1.0715492963790894
P7,42,ADT,-0.7140257358551025,2.909595012664795,1.523006796836853
P7,42,Fusion,0.9333239197731018,4.982576370239258,0.8226684331893921
P7,43,RNA,0.07516591250896454,3.112818956375122,1.420385479927063
P7,43,ADT,-0.23200029134750366,2.389603614807129,1.454006314277649
P7,43,Fusion,0.14567916095256805,4.178557395935059,1.3206366300582886
P8,41,RNA,0.04829888045787811,3.8625383377075195,1.303573489189148
P8,41,ADT,-0.4482388198375702,2.6278162002563477,1.5354623794555664
P8,41,Fusion,0.46184906363487244,4.992238521575928,0.9953452944755554
P8,42,RNA,-0.11318706721067429,4.383448123931885,1.0468144416809082
P8,42,ADT,-0.6382940411567688,3.0034639835357666,1.6126725673675537
P8,42,Fusion,0.8813260197639465,5.08059024810791,0.8645284175872803
P8,43,RNA,-0.14415673911571503,4.399316310882568,0.980044960975647
P8,43,ADT,-0.714451014995575,2.941605806350708,1.5782220363616943
P8,43,Fusion,1.0241831541061401,5.0416646003723145,0.7959281802177429
