test_donor,seed,branch,margin_median,margin_iqr_low,margin_iqr_high,train_margin_mean,train_margin_sd
P1,41,RNA,3.47168231010437,2.2119942903518677,4.37384033203125,3.987785577774048,1.138500690460205
P1,41,ADT,2.6852903366088867,1.2880901098251343,3.7026017904281616,2.734416961669922,1.5210208892822266
P1,41,Fusion,4.8262457847595215,3.864633560180664,5.168946266174316,4.949512481689453,0.9839308261871338
P1,42,RNA,2.615050792694092,1.5176458358764648,3.5764282941818237,3.035565137863159,1.392181158065796
P1,42,ADT,2.1620962619781494,0.9909077882766724,3.283094644546509,2.38788104057312,1.4431352615356445
P1,42,Fusion,4.085798263549805,2.9975775480270386,4.8169920444488525,4.2162861824035645,1.3610855340957642
P1,43,RNA,3.640206813812256,2.3165555000305176,4.3936426639556885,4.130537509918213,1.1023300886154175
P1,43,ADT,2.877675771713257,1.3363980054855347,3.9547677040100098,2.8725337982177734,1.5647157430648804
P1,43,Fusion,4.675574779510498,3.9980005025863647,5.103675365447998,4.959793567657471,0.8862022757530212
P2,41,RNA,2.8550591468811035,1.6324594020843506,3.717679262161255,3.149858236312866,1.4028053283691406
P2,41,ADT,2.235496759414673,1.047898769378662,3.465047836303711,2.324075937271118,1.44990074634552
P2,41,Fusion,4.1440606117248535,3.0875139236450195,4.78416109085083,3.9934511184692383,1.376210331916809
P2,42,RNA,2.9168314933776855,1.7408299446105957,4.021670341491699,3.1580588817596436,1.4450716972351074
P2,42,ADT,2.417762279510498,1.1057114601135254,3.684805393218994,2.447031259536743,1.532602071762085
P2,42,Fusion,4.558230876922607,3.4158692359924316,5.085543155670166,4.280669689178467,1.3586270809173584
P2,43,RNA,4.069475173950195,2.8105459213256836,4.922200679779053,4.455435276031494,1.001880407333374
P2,43,ADT,3.3818156719207764,1.6783301830291748,4.256820201873779,3.0852441787719727,1.5416826009750366
P2,43,Fusion,4.733232021331787,4.04122257232666,5.1639018058776855,5.002710819244385,0.8314645290374756
P3,41,RNA,2.961499571800232,1.722791612148285,3.8641974925994873,3.1853699684143066,1.4080029726028442
P3,41,ADT,1.9697681665420532,0.9229523539543152,3.2713910341262817,2.3265116214752197,1.4558625221252441
P3,41,Fusion,4.236145734786987,3.2014047503471375,4.922434449195862,4.328049182891846,1.3906328678131104
P3,42,RNA,4.059506177902222,2.989714801311493,4.816409587860107,4.562036514282227,1.0663427114486694
P3,42,ADT,3.134024739265442,1.5246819257736206,4.0470370054244995,3.192420482635498,1.6036179065704346
P3,42,Fusion,4.60693359375,4.110976219177246,5.113558411598206,4.981689929962158,0.8345799446105957
P3,43,RNA,3.9801310300827026,2.804283618927002,4.7519108057022095,4.409750938415527,1.0286612510681152
P3,43,ADT,2.9335858821868896,1.3945297598838806,4.00687837600708,2.9986464977264404,1.587637186050415
P3,43,Fusion,4.836191415786743,4.039245367050171,5.163689613342285,5.075215816497803,0.8868489861488342
P4,41,RNA,4.0902931690216064,3.1497661471366882,4.560417532920837,4.645066261291504,0.9130748510360718
P4,41,ADT,3.272496223449707,1.5367994606494904,4.0179526805877686,3.323941946029663,1.5214096307754517
P4,41,Fusion,4.395344972610474,4.093735456466675,4.908611536026001,4.9104485511779785,0.7813256978988647
P4,42,RNA,3.9542101621627808,2.764607846736908,4.630746126174927,4.412100791931152,1.0801821947097778
P4,42,ADT,2.8687371015548706,1.3081327974796295,3.845256507396698,2.947319507598877,1.5297877788543701
P4,42,Fusion,4.595501184463501,4.0063488483428955,5.043244004249573,5.015451431274414,0.9067022800445557
P4,43,RNA,3.321074962615967,1.9518752694129944,4.054884910583496,3.4984378814697266,1.4203078746795654
P4,43,ADT,2.316444516181946,0.9539757370948792,3.47537362575531,2.524172067642212,1.523300290107727
P4,43,Fusion,4.366823673248291,3.926030993461609,5.085898160934448,4.6945013999938965,1.242922306060791
P5,41,RNA,3.3512744903564453,1.9560133218765259,4.012968301773071,3.0255279541015625,1.4499180316925049
P5,41,ADT,2.2825677394866943,0.9493530988693237,3.416751742362976,2.3541502952575684,1.4287571907043457
P5,41,Fusion,4.116362571716309,3.1953649520874023,4.513583421707153,3.962031602859497,1.3571767807006836
P5,42,RNA,3.3082218170166016,2.1374701261520386,3.9938541650772095,3.336376667022705,1.4075911045074463
P5,42,ADT,2.501737594604492,1.0263681411743164,3.641980767250061,2.4823668003082275,1.468976378440857
P5,42,Fusion,4.265817642211914,4.016533851623535,5.1144020557403564,4.552384853363037,1.3191660642623901
P5,43,RNA,3.0487895011901855,1.9935411214828491,3.7639304399490356,2.9765985012054443,1.4005719423294067
P5,43,ADT,2.322096824645996,0.9959570169448853,3.4734740257263184,2.362769365310669,1.4229016304016113
P5,43,Fusion,3.99045467376709,3.3420019149780273,4.67121148109436,3.925994634628296,1.3685816526412964
P6,41,RNA,3.6324294805526733,2.2914076447486877,4.366065263748169,3.6530027389526367,1.326465368270874
P6,41,ADT,2.307953357696533,0.8799257874488831,3.570259153842926,2.5967464447021484,1.4588677883148193
P6,41,Fusion,4.497836351394653,4.136165261268616,5.300089597702026,4.792820453643799,1.1065491437911987
P6,42,RNA,3.809275984764099,2.785306930541992,4.440430760383606,4.056443691253662,1.0962607860565186
P6,42,ADT,2.5952351093292236,0.8754148483276367,3.698455572128296,2.820655584335327,1.489956021308899
P6,42,Fusion,4.680272102355957,4.168568253517151,5.29493772983551,5.023525238037109,0.8839125633239746
P6,43,RNA,3.946122169494629,2.960929811000824,4.720502614974976,4.274036407470703,1.0656917095184326
P6,43,ADT,2.882484555244446,1.0891578793525696,3.844570219516754,2.9676952362060547,1.498106598854065
P6,43,Fusion,4.701594591140747,3.94465309381485,5.340135812759399,4.962146282196045,0.9086169600486755
P7,41,RNA,2.495004892349243,1.72580224275589,3.367439031600952,2.797943353652954,1.3725694417953491
P7,41,ADT,2.1577868461608887,0.753329873085022,3.3906712532043457,2.0959253311157227,1.3482648134231567
P7,41,Fusion,4.066972255706787,2.6671842336654663,4.39936900138855,3.7261412143707275,1.4211490154266357
P7,42,RNA,4.007646083831787,2.72642982006073,4.502906799316406,4.269492149353027,1.0715492963790894
P7,42,ADT,3.267129421234131,1.412091851234436,3.953515887260437,2.909595012664795,1.523006796836853
P7,42,Fusion,4.5912933349609375,4.08394455909729,5.370142221450806,4.982576370239258,0.8226684331893921
P7,43,RNA,2.7297251224517822,1.7796125411987305,3.630667805671692,3.112818956375122,1.420385479927063
P7,43,ADT,2.705188274383545,0.9656243324279785,3.7637397050857544,2.389603614807129,1.454006314277649
P7,43,Fusion,4.1502885818481445,3.619183659553528,4.865420341491699,4.178557395935059,1.3206366300582886
P8,41,RNA,3.7190511226654053,2.1349992156028748,4.404133319854736,3.8625383377075195,1.303573489189148
P8,41,ADT,2.591723084449768,1.0908340811729431,3.695093333721161,2.6278162002563477,1.5354623794555664
P8,41,Fusion,4.74092960357666,4.182320475578308,5.307229995727539,4.992238521575928,0.9953452944755554
P8,42,RNA,3.964432120323181,2.6657179594039917,4.550455570220947,4.383448123931885,1.0468144416809082
P8,42,ADT,3.0658878087997437,1.3262284696102142,4.094515085220337,3.0034639835357666,1.6126725673675537
P8,42,Fusion,4.705248832702637,4.084266304969788,5.504935383796692,5.08059024810791,0.8645284175872803
P8,43,RNA,3.9579356908798218,2.7237014174461365,4.577702283859253,4.399316310882568,0.980044960975647
P8,43,ADT,3.0525894165039062,1.2920556664466858,3.9755383133888245,2.941605806350708,1.5782220363616943
P8,43,Fusion,4.649698972702026,4.208861827850342,5.454207181930542,5.0416646003723145,0.7959281802177429
