reference,comparator,metric,n_donors,mean_difference,ci95_low,ci95_high,paired_t_pvalue
uniform_fusion,raw_margin_gate,accuracy,8,0.0010847298169625874,0.0007536244156615701,0.0014158352182636047,0.00011187081443280476
uniform_fusion,raw_margin_gate,weighted_f1,8,0.0011053482046829294,0.0007846814956038255,0.0014260149137620332,8.087942587113639e-05
uniform_fusion,raw_margin_gate,macro_f1,8,0.0036941781479136737,0.0018186109841771636,0.005569745311650184,0.002321476733747389
uniform_fusion,raw_margin_gate,balanced_accuracy,8,0.0032730317428722178,0.001430671766445723,0.005115391719298713,0.0040312657397078505
train_scaled_margin_gate,raw_margin_gate,accuracy,8,-0.0002812116340011883,-0.0018146942180923774,0.0012522709500900008,0.6776087840874945
train_scaled_margin_gate,raw_margin_gate,weighted_f1,8,-0.0002484451759273004,-0.0012822279362141873,0.0007853375843595864,0.5876019918014949
train_scaled_margin_gate,raw_margin_gate,macro_f1,8,0.0014596922928117595,-0.0032701882198266276,0.006189572805450147,0.4892379735746829
train_scaled_margin_gate,raw_margin_gate,balanced_accuracy,8,0.0002568947219404316,-0.005093450598874308,0.005607240042755171,0.9127928925022707
train_scaled_margin_gate_hsr,raw_margin_gate,accuracy,8,-0.0003568995406872527,-0.0019697386853269735,0.001255939603952468,0.6169440251601261
train_scaled_margin_gate_hsr,raw_margin_gate,weighted_f1,8,-0.0003119597324775514,-0.0014187225994996184,0.0007948031345445157,0.5264355171843043
train_scaled_margin_gate_hsr,raw_margin_gate,macro_f1,8,0.0011412303593245632,-0.0029270264670437154,0.005209487185692842,0.5283538580904964
train_scaled_margin_gate_hsr,raw_margin_gate,balanced_accuracy,8,-0.0008580595421967402,-0.004964584222632279,0.0032484651382387987,0.6363689378337976
