test_donor,seed,method,accuracy,weighted_f1,macro_f1,balanced_accuracy
P1,41,raw_margin_gate,0.9142542045767852,0.9141582039950453,0.8101684828781625,0.8272944359738422
P1,41,uniform_fusion,0.9160738902674387,0.9160172446353881,0.8176450402585268,0.8339142873766817
P1,41,train_scaled_margin_gate,0.9129859387923904,0.9129761035128148,0.8048491300324553,0.8171043052794866
P1,41,train_scaled_margin_gate_hsr,0.9133719327267714,0.9134213626598625,0.8049739641164342,0.8170853047892203
P1,42,raw_margin_gate,0.9106148331954783,0.9114109953787409,0.8061654713567191,0.8399373120779751
P1,42,uniform_fusion,0.9122139509236283,0.9130272412573199,0.812821151237078,0.845737264095061
P1,42,train_scaled_margin_gate,0.9110559691204853,0.9115575955881434,0.8018845771785784,0.8282223418940929
P1,42,train_scaled_margin_gate_hsr,0.9109456851392336,0.9116583482985068,0.8011445192089895,0.8275653522417922
P1,43,raw_margin_gate,0.9111111111111111,0.9102850790475454,0.8089278684447564,0.824542885609821
P1,43,uniform_fusion,0.9128205128205128,0.9120138280849553,0.8091072330102697,0.8231531331928453
P1,43,train_scaled_margin_gate,0.9119933829611249,0.9112901786348131,0.8063337833093182,0.8191501023444698
P1,43,train_scaled_margin_gate_hsr,0.91232423490488,0.9116625679090207,0.8066902769050298,0.8193098439286651
P2,41,raw_margin_gate,0.9143853530950306,0.9143632299069989,0.8253805008074494,0.8343778820734766
P2,41,uniform_fusion,0.9145597210113339,0.9146061236690025,0.8286658642146818,0.839903076198826
P2,41,train_scaled_margin_gate,0.9158384190642255,0.9149526769160082,0.8257069109910018,0.8314859792618109
P2,41,train_scaled_margin_gate_hsr,0.9154315605928509,0.9146262606623942,0.8252273400652654,0.8298731063549553
P2,42,raw_margin_gate,0.9115954664341761,0.9100842224604184,0.8137772668673348,0.8269947974381262
P2,42,uniform_fusion,0.9136878814298169,0.9123774957866319,0.8193644533595683,0.8314502805321432
P2,42,train_scaled_margin_gate,0.9136297587910491,0.911847967252721,0.8337688133832151,0.8357982983618885
P2,42,train_scaled_margin_gate_hsr,0.9129322871258355,0.9111114821617892,0.8328635545886386,0.8348525558016829
P2,43,raw_margin_gate,0.9183958151700087,0.9170875940921003,0.8249169656297597,0.8156322926745732
P2,43,uniform_fusion,0.9199651264167393,0.9186313239684447,0.8296770174779129,0.8198882020719677
P2,43,train_scaled_margin_gate,0.9174658529497239,0.9157273418739712,0.8238218689975387,0.8145067924988517
P2,43,train_scaled_margin_gate_hsr,0.9172333623946527,0.9154451561084146,0.8225820823921531,0.8127653178932392
P3,41,raw_margin_gate,0.9038199181446112,0.9006028545497744,0.7997418673090668,0.8187996332226612
P3,41,uniform_fusion,0.9051159618008185,0.9018208890139118,0.8034327828421656,0.8206125120920345
P3,41,train_scaled_margin_gate,0.9044338335607094,0.9003863506832844,0.7971549255897136,0.8148313716127993
P3,41,train_scaled_margin_gate_hsr,0.9051159618008185,0.9010817755870103,0.7983215500443069,0.8151991152542999
P3,42,raw_margin_gate,0.9058663028649386,0.9005582476713477,0.7851793582839314,0.7747213471784168
P3,42,uniform_fusion,0.9077762619372443,0.9024698734321214,0.7876332554445047,0.7771236687552516
P3,42,train_scaled_margin_gate,0.9078444747612551,0.902085035653125,0.7880350622177601,0.7808729492830208
P3,42,train_scaled_margin_gate_hsr,0.9077080491132333,0.9020063974496388,0.7887187187899805,0.7804932302390188
P3,43,raw_margin_gate,0.9068212824010914,0.9018339053077229,0.7802462324905765,0.7757540903331395
P3,43,uniform_fusion,0.9075716234652115,0.9020666077518902,0.78459515796761,0.7758459069265132
P3,43,train_scaled_margin_gate,0.9086630286493861,0.9030565849364319,0.7799596907855068,0.7801880444737845
P3,43,train_scaled_margin_gate_hsr,0.908731241473397,0.9031780303616663,0.7814118821194153,0.7807434624000511
P4,41,raw_margin_gate,0.9169104739613809,0.9169821420144998,0.7826139291805355,0.768964994788531
