method,metric,n_donors,mean,ci95_low,ci95_high
raw_margin_gate,accuracy,8,0.9119092456313662,0.9085575055131654,0.915260985749567
raw_margin_gate,weighted_f1,8,0.9107244726632573,0.9061905504545245,0.9152583948719901
raw_margin_gate,macro_f1,8,0.8076732047409052,0.7925032259046307,0.8228431835771797
raw_margin_gate,balanced_accuracy,8,0.8096012099044669,0.7905939156339045,0.8286085041750294
train_scaled_margin_gate,accuracy,8,0.911628033997365,0.9085479726520287,0.9147080953427014
train_scaled_margin_gate,weighted_f1,8,0.91047602748733,0.9065300311163392,0.9144220238583208
train_scaled_margin_gate,macro_f1,8,0.8091328970337169,0.7926697272542781,0.8255960668131558
train_scaled_margin_gate,balanced_accuracy,8,0.8098581046264073,0.7930224261236649,0.8266937831291497
train_scaled_margin_gate_hsr,accuracy,8,0.9115523460906789,0.9085147387135073,0.9145899534678505
train_scaled_margin_gate_hsr,weighted_f1,8,0.9104125129307798,0.9065316128576228,0.9142934130039369
train_scaled_margin_gate_hsr,macro_f1,8,0.8088144351002298,0.7926699630400699,0.8249589071603897
train_scaled_margin_gate_hsr,balanced_accuracy,8,0.8087431503622702,0.7918195273047852,0.8256667734197551
uniform_fusion,accuracy,8,0.9129939754483287,0.9095882305256258,0.9163997203710317
uniform_fusion,weighted_f1,8,0.9118298208679402,0.9072056129851734,0.9164540287507069
uniform_fusion,macro_f1,8,0.8113673828888188,0.7960903765939762,0.8266443891836615
uniform_fusion,balanced_accuracy,8,0.8128742416473391,0.7932978156624003,0.8324506676322779
