test_donor,seed,branch,weight_mean,weight_median,weight_iqr_low,weight_iqr_high,weight_gt_0p9,weight_entropy_mean
P1,41,RNA,0.16404642164707184,0.15273788571357727,0.052393632009625435,0.23566552251577377,0.00027570995312930797,0.5742231011390686
P1,41,ADT,0.07162788510322571,0.040406111627817154,0.008727122098207474,0.1062239222228527,0.00011028398125172319,0.5742231011390686
P1,41,Fusion,0.764325737953186,0.7706953287124634,0.6647591292858124,0.9059290289878845,0.26109732561345467,0.5742231011390686
P1,42,RNA,0.22869601845741272,0.18798710405826569,0.09601350501179695,0.3215877413749695,0.0015439757375241246,0.740731418132782
P1,42,ADT,0.135080486536026,0.09614685922861099,0.032215265557169914,0.2009180411696434,0.00016542597187758478,0.740731418132782
P1,42,Fusion,0.6362234950065613,0.6546279788017273,0.5115960240364075,0.7883562743663788,0.07852219465122691,0.740731418132782
P1,43,RNA,0.14643773436546326,0.13350701332092285,0.04466816782951355,0.20651397109031677,0.0005514199062586159,0.5475620627403259
P1,43,ADT,0.0695156678557396,0.03812779113650322,0.00677940808236599,0.10962982848286629,0.00011028398125172319,0.5475620627403259
P1,43,Fusion,0.7840465903282166,0.787895917892456,0.6904608905315399,0.9178086519241333,0.28850289495450787,0.5475620627403259
P2,41,RNA,0.24400408565998077,0.21153941750526428,0.11314516514539719,0.3403567969799042,0.0004068584713746004,0.7826960682868958
P2,41,ADT,0.15208299458026886,0.10859810560941696,0.038568541407585144,0.23036226630210876,0.0001743679163034002,0.7826960682868958
P2,41,Fusion,0.6039129495620728,0.6179072260856628,0.4662143588066101,0.7550062537193298,0.04045335658238884,0.7826960682868958
P2,42,RNA,0.23008711636066437,0.19185008108615875,0.09488281607627869,0.3272748589515686,0.0018599244405696018,0.7432149648666382
P2,42,ADT,0.1371636837720871,0.09609163552522659,0.03308296576142311,0.19765518605709076,0.0001743679163034002,0.7432149648666382
P2,42,Fusion,0.6327491402626038,0.6570611000061035,0.5037989020347595,0.7836671471595764,0.06550421389131067,0.7432149648666382
