test_donor,seed,metric,slope_per_full_missing_fraction
P1,41,accuracy,-0.019215638806511764
P1,41,weighted_f1,-0.019934789298329144
P1,41,macro_f1,-0.04634086402528677
P1,41,ece,0.009890712165023508
P1,41,brier,0.024321316400679076
P1,42,accuracy,-0.022396390217004004
P1,42,weighted_f1,-0.023354625238626033
P1,42,macro_f1,-0.04109154987616631
P1,42,ece,0.01611912230798489
P1,42,brier,0.03835847555864146
P1,43,accuracy,-0.03258757153328353
P1,43,weighted_f1,-0.03136760067289865
P1,43,macro_f1,-0.05911376505249461
P1,43,ece,0.0034863278424334667
P1,43,brier,0.04747986975239545
P2,41,accuracy,-0.018312175275196803
P2,41,weighted_f1,-0.016959456272711674
P2,41,macro_f1,-0.036907786269715755
P2,41,ece,0.042596197657548455
P2,41,brier,0.03490716764112796
P2,42,accuracy,-0.021285644417037206
P2,42,weighted_f1,-0.020821045695612894
P2,42,macro_f1,-0.0472349791661369
P2,42,ece,0.002467087589327293
P2,42,brier,0.03062537530573398
P2,43,accuracy,-0.023443978990792497
P2,43,weighted_f1,-0.023432732325701918
P2,43,macro_f1,-0.03960661297207965
P2,43,ece,0.0006200179723354669
P2,43,brier,0.033357606791868416
P3,41,accuracy,-0.011874854423851902
P3,41,weighted_f1,-0.008770662445765945
P3,41,macro_f1,-0.04372271295155447
P3,41,ece,0.002320703291495225
P3,41,brier,0.02072602510452267
P3,42,accuracy,-0.0208756197384621
P3,42,weighted_f1,-0.017863776218262403
P3,42,macro_f1,-0.06590288673720684
P3,42,ece,0.006147024927717427
P3,42,brier,0.031222731056736803
P3,43,accuracy,-0.01757728013842243
P3,43,weighted_f1,-0.014627370153895985
P3,43,macro_f1,-0.07297809937377006
P3,43,ece,0.012894084705672375
P3,43,brier,0.026055320915652404
P4,41,accuracy,-0.021628680300846415
P4,41,weighted_f1,-0.022417052402744206
P4,41,macro_f1,-0.0527445336822574
P4,41,ece,0.00573316948259283
P4,41,brier,0.03192098220673998
P4,42,accuracy,-0.017932323852203114
P4,42,weighted_f1,-0.01800093673119368
P4,42,macro_f1,-0.038632210446202825
P4,42,ece,0.00037896830798213007
P4,42,brier,0.029020453916817138
P4,43,accuracy,-0.03138335069716995
P4,43,weighted_f1,-0.030580035449623646
P4,43,macro_f1,-0.055065472432139086
P4,43,ece,0.004255604268770248
P4,43,brier,0.046098165032340224
P5,41,accuracy,-0.015104819564082274
P5,41,weighted_f1,-0.015161386909806816
P5,41,macro_f1,-0.0178080704379032
P5,41,ece,0.011660964904299652
P5,41,brier,0.0243089993189021
P5,42,accuracy,-0.012460148213421148
P5,42,weighted_f1,-0.01368564071451996
P5,42,macro_f1,-0.023640461058443744
P5,42,ece,0.03416703819993428
P5,42,brier,0.029083006083965277
P5,43,accuracy,-0.006698343082646903
P5,43,weighted_f1,-0.006751129281356255
P5,43,macro_f1,-0.014691188155354584
P5,43,ece,0.022228748294621216
P5,43,brier,0.01603018946763939
P6,41,accuracy,-0.022435920049105256
P6,41,weighted_f1,-0.01995808118496673
P6,41,macro_f1,-0.04908767908259493
P6,41,ece,0.012658925395365018
P6,41,brier,0.03504901760961948
P6,42,accuracy,-0.007728515960311681
P6,42,weighted_f1,-0.00777435845100072
P6,42,macro_f1,-0.015507493162766025
P6,42,ece,0.00046173894875009547
P6,42,brier,0.01457548995570449
P6,43,accuracy,-0.008201810395309535
P6,43,weighted_f1,-0.0068419768023319765
P6,43,macro_f1,-0.03202911409026224
P6,43,ece,-0.0017545764897986102
P6,43,brier,0.013737650361002936
P7,41,accuracy,-0.01267074632015749
P7,41,weighted_f1,-0.013870691751409297
P7,41,macro_f1,-0.04405673093681496
P7,41,ece,0.05446975751515014
P7,41,brier,0.02932608491036947
P7,42,accuracy,-0.010584881273032667
P7,42,weighted_f1,-0.011419720765825512
P7,42,macro_f1,-0.03980952887309309
P7,42,ece,-0.0018446514775138669
P7,42,brier,0.017456607665957417
P7,43,accuracy,-0.01640644812771869
P7,43,weighted_f1,-0.017394836445504314
P7,43,macro_f1,-0.06953762404940715
P7,43,ece,0.002855138524899865
P7,43,brier,0.026354827895397066
P8,41,accuracy,-0.023658536585366007
P8,41,weighted_f1,-0.025274860040675303
P8,41,macro_f1,-0.056002316253167414
P8,41,ece,0.004734692699437093
P8,41,brier,0.033510360049038394
P8,42,accuracy,-0.025135888501742167
P8,42,weighted_f1,-0.02652205928239181
P8,42,macro_f1,-0.044614962783847974
P8,42,ece,0.0005974424116218156
P8,42,brier,0.037347743423973644
P8,43,accuracy,-0.020236933797909633
P8,43,weighted_f1,-0.02035913625911338
P8,43,macro_f1,-0.043649302146581796
P8,43,ece,0.027287368862972932
P8,43,brier,0.03563709375334941
