method,eval_mode,test_accuracy,test_weighted_precision,test_weighted_recall,test_weighted_f1,test_macro_f1,best_val_macro_f1,best_val_weighted_f1,best_val_accuracy,selection_metric,selection_acc_tolerance,selection_weighted_tolerance,selection_constraint_penalty,selection_reference_accuracy,selection_reference_weighted_f1,ce_target_class_weight,kd_target_class_weight,ce_target_class_margin,hsr_mode,hsr_loss_weight,hsr_config,best_epoch,epochs_ran,distill_alpha,distill_temperature,adt_feature_dropout,ce_class_weight_mode,ce_class_weight_max,kd_class_weight_mode,kd_class_weight_max,domain_loss_weight,gate_temperature,head_type,device,n_train,n_val,n_test,n_genes,n_proteins,n_classes,runtime_seconds,test_donor,seed,training_adt_feature_dropout,source_path
MOSAIC_RD_v2_CB_DISTILL,full,0.9041632202922526,0.9086212807095468,0.9041632202922526,0.9020837756699148,0.8000956288136782,0.81857737744568,0.90973141237288,0.9113048532403372,constraint_macro,0.0015,0.0015,2.0,0.9102005231037488,0.90877126459879,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",20,34,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,126424,17205,18135,3000,224,58,176.72940592095256,test_P1,41,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P1/mosaic_full_seed41/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.9070857457954232,0.9129954501288392,0.9070857457954232,0.9067547339156138,0.8116606787910956,0.8149829011147907,0.9099908913409986,0.9107236268526592,constraint_macro,0.0015,0.0015,2.0,0.9102005231037488,0.90877126459879,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",8,22,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,126424,17205,18135,3000,224,58,116.20824484713376,test_P1,42,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P1/mosaic_full_seed42/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.9085194375516956,0.9126445669608408,0.9085194375516956,0.9082850498567796,0.8011485225338957,0.8148263907337087,0.912469176011376,0.9126997965707644,constraint_macro,0.0015,0.0015,2.0,0.9102005231037488,0.90877126459879,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",14,28,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,126424,17205,18135,3000,224,58,142.15880837664008,test_P1,43,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P1/mosaic_full_seed43/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.9081081081081082,0.9116539494482664,0.9081081081081082,0.9056957660292808,0.8019066410073384,0.8017961656309432,0.8991133081591209,0.9057980900409276,constraint_macro,0.0015,0.0015,2.0,0.9060709413369712,0.9002870402938712,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",3,17,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,129899,14660,17205,3000,224,58,82.17438139766455,test_P2,41,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P2/mosaic_full_seed41/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.914501598372566,0.913819543163814,0.914501598372566,0.912542041782063,0.8098069119834075,0.7996743490423314,0.9025867875847898,0.9075034106412004,constraint_macro,0.0015,0.0015,2.0,0.9060709413369712,0.9002870402938712,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",23,35,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,129899,14660,17205,3000,224,58,172.93053552508354,test_P2,42,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P2/mosaic_full_seed42/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.9114792211566404,0.9121906155695224,0.9114792211566404,0.9102225806195174,0.814851572264055,0.7971937638455179,0.900929438602062,0.9053888130968624,constraint_macro,0.0015,0.0015,2.0,0.9060709413369712,0.9002870402938712,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",30,35,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,129899,14660,17205,3000,224,58,178.5423389337957,test_P2,43,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P2/mosaic_full_seed43/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.9029331514324692,0.9043380107998228,0.9029331514324692,0.8978687667197679,0.787550598623344,0.783351101879472,0.9137175995856572,0.9133411351667642,constraint_macro,0.0015,0.0015,2.0,0.9063194850789936,0.9077871347472124,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",10,24,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,130014,17090,14660,3000,224,58,125.49348370544612,test_P3,41,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P3/mosaic_full_seed41/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.9044338335607094,0.9049109725532548,0.9044338335607094,0.8997654408329505,0.7910276533745052,0.7808248842272799,0.913070749249887,0.9118782913984786,constraint_macro,0.0015,0.0015,2.0,0.9063194850789936,0.9077871347472124,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",16,30,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,130014,17090,14660,3000,224,58,150.72445453330874,test_P3,42,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P3/mosaic_full_seed42/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.9043656207366984,0.906937978263069,0.9043656207366984,0.8987644815794112,0.7961573304138573,0.7825756181935172,0.9135992393596604,0.9121123464014044,constraint_macro,0.0015,0.0015,2.0,0.9063194850789936,0.9077871347472124,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",5,19,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,130014,17090,14660,3000,224,58,104.21186410076916,test_P3,43,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P3/mosaic_full_seed43/results_summary.csv
MOSAIC_RD_v2_CB_DISTILL,full,0.9142188414277356,0.9166838714544936,0.9142188414277356,0.9138032770927662,0.7791805052194415,0.8415299895028098,0.91584900548467,0.9160056852047131,constraint_macro,0.0015,0.0015,2.0,0.9176562285085508,0.9163977883212168,,,,hierarchy,0.2,"{""calibration_rules"": [], ""candidate_gate_mode"": ""none"", ""gate_floor"": 0.02, ""gate_max"": 0.2, ""no_hierarchy"": false, ""sibling_groups"": [[""CD4 TEM_3"", ""CD4 TEM_4"", ""CD4 TCM_3""], [""CD8 Naive"", ""CD8 Naive_2"", ""CD8 TCM_1""]], ""use_gate"": true, ""use_prob_context"": false}",29,35,0.05,2.0,0.3,sqrt_balanced,5.0,sqrt_balanced,5.0,0.0,1.0,linear,cuda,122863,21811,17090,3000,224,58,159.85829232819378,test_P4,41,0.3,results/exp_generalization/v7_panel_aware_pbmc_nested/test_P4/mosaic_full_seed41/results_summary.csv
