method,rna_transform,test_donor,accuracy,weighted_f1,macro_f1
MLP,cp10k_log1p,P1,0.9085929602058634,0.9084528137674738,0.798202950052164
MLP,cp10k_log1p,P2,0.9089605734767026,0.9084721109055002,0.8016948459009253
MLP,cp10k_log1p,P3,0.9020236471123239,0.8986075205177046,0.7663051361254388
MLP,cp10k_log1p,P4,0.9076457967622392,0.9097249507569404,0.7737228701506922
MLP,cp10k_log1p,P5,0.9176867941252884,0.9172281581160343,0.8340530633612578
MLP,cp10k_log1p,P6,0.9102786616526855,0.9067920201285556,0.7797813513914096
MLP,cp10k_log1p,P7,0.9151688505791554,0.9148757735476701,0.800093138337805
MLP,cp10k_log1p,P8,0.9044444444444445,0.9023113201916256,0.8049632398671384
MLP,log1p,P1,0.910761878503814,0.9109468128594082,0.804677805907772
MLP,log1p,P2,0.9148503342051729,0.9139920957991352,0.8090577541119838
MLP,log1p,P3,0.9070486584811278,0.9021549766234688,0.7668694689474534
MLP,log1p,P4,0.9061244392432221,0.9088244090458337,0.7661610015103983
MLP,log1p,P5,0.9153179588281142,0.9150123290097759,0.8240471814984138
MLP,log1p,P6,0.9094429981036866,0.9059613668663448,0.7858733695072794
MLP,log1p,P7,0.9152461572159303,0.9145683801748842,0.8054920654143936
MLP,log1p,P8,0.9036063492063492,0.9017560101824763,0.8064611746789128
MOSAIC,cp10k_log1p,P1,0.9098060839996324,0.9093081839003102,0.8090070189357513
MOSAIC,cp10k_log1p,P2,0.9149859536956311,0.9138402440666287,0.8125837661272866
MOSAIC,cp10k_log1p,P3,0.907162346521146,0.9026899120258274,0.7808374481974766
MOSAIC,cp10k_log1p,P4,0.9133606397503414,0.914212885731056,0.7829998393993732
MOSAIC,cp10k_log1p,P5,0.9166781287729434,0.9155424031929827,0.8309963175347369
MOSAIC,cp10k_log1p,P6,0.908173432327323,0.9047986459324034,0.8056980962130953
MOSAIC,cp10k_log1p,P7,0.9180163117003595,0.9173732971835222,0.8159588640273318
MOSAIC,cp10k_log1p,P8,0.9096761904761905,0.9079793620076017,0.8322223280913666
MOSAIC,log1p,P1,0.9121220476059185,0.9121148397603682,0.809117188046896
MOSAIC,log1p,P2,0.914889082631018,0.9139314779320852,0.8213335453851677
MOSAIC,log1p,P3,0.9056844020009095,0.9011972035957109,0.7892203961691795
MOSAIC,log1p,P4,0.9131070801638385,0.9144216700985967,0.7791630709981275
MOSAIC,log1p,P5,0.913636849907539,0.913546314860282,0.830688802370268
MOSAIC,log1p,P6,0.9085269822903609,0.9055531028783183,0.7909861050069736
MOSAIC,log1p,P7,0.9183126538079961,0.9173949944389741,0.816337241566418
MOSAIC,log1p,P8,0.9091809523809524,0.907876392794444,0.8206958225430724
