comparison,method,metric,n_donors,mean_difference,sd_difference,ci95_low,ci95_high,paired_t_pvalue,wilcoxon_pvalue,rna_transform
CP10K minus locked log1p,MLP,accuracy,8,-0.0009496306785892611,0.0030882834517813014,-0.0035315002555652507,0.0016322388983867286,0.41327652232628886,0.7421875,
CP10K minus locked log1p,MLP,weighted_f1,8,-0.0008439640787277908,0.0026830213599301307,-0.0030870260682562393,0.0013990979108006577,0.40316462338124676,0.7421875,
CP10K minus locked log1p,MLP,macro_f1,8,-0.001227903298721994,0.006656866608572147,-0.006793183054615618,0.00433737645717163,0.6179597256070637,0.7421875,
CP10K minus locked log1p,MOSAIC,accuracy,8,0.00029987955687929557,0.0015403949418336198,-0.0009879228417489646,0.0015876819555075557,0.5990116145112964,0.640625,
CP10K minus locked log1p,MOSAIC,weighted_f1,8,-3.638278980587495e-05,0.0014497028163561838,-0.0012483646741266088,0.0011755990945148589,0.9453957408714682,0.84375,
CP10K minus locked log1p,MOSAIC,macro_f1,8,0.0015951883050394494,0.008372993384087557,-0.005404809339000575,0.008595185949079473,0.6066872530798944,0.7421875,
MOSAIC minus MLP,paired_methods,accuracy,8,0.0016326596251394904,0.003279595485965839,-0.0011091508149349127,0.004374470065213893,0.20194144715268797,0.3828125,log1p
MOSAIC minus MLP,paired_methods,weighted_f1,8,0.0016024519746815347,0.0029480383712523106,-0.0008621697808454572,0.0040670737302085265,0.16807187887448632,0.3828125,log1p
MOSAIC minus MLP,paired_methods,macro_f1,8,0.011112793813686947,0.005874419980009925,0.006201655809168835,0.016023931818205057,0.0010635014344713594,0.0078125,log1p
MOSAIC minus MLP,paired_methods,accuracy,8,0.002882169860608047,0.003191862666089253,0.00021370589344597325,0.005550633827770121,0.03788197791713097,0.0546875,cp10k_log1p
MOSAIC minus MLP,paired_methods,weighted_f1,8,0.0024100332636034505,0.0030488766664276386,-0.00013889141637082143,0.004958957943577723,0.06045351060185938,0.078125,cp10k_log1p
MOSAIC minus MLP,paired_methods,macro_f1,8,0.01393588541744839,0.009670839980235994,0.005850860866229645,0.022020909968667138,0.004714452785276101,0.015625,cp10k_log1p
