method,rna_transform,test_donor,seed,accuracy,weighted_f1,macro_f1,device,source_path
MLP,cp10k_log1p,P1,41,0.9089054314860766,0.9088411356447088,0.8043737576268442,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P1/mlp_matched_seed41/results_summary.csv
MLP,cp10k_log1p,P1,42,0.9079128756548112,0.9078257454464058,0.7921612174051827,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P1/mlp_matched_seed42/results_summary.csv
MLP,cp10k_log1p,P1,43,0.9089605734767026,0.9086915602113064,0.7980738751244651,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P1/mlp_matched_seed43/results_summary.csv
MLP,cp10k_log1p,P2,41,0.9064806742226096,0.906622859966176,0.8003381280409616,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P2/mlp_matched_seed41/results_summary.csv
MLP,cp10k_log1p,P2,42,0.9094449287997676,0.909262377546374,0.7973471821101918,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P2/mlp_matched_seed42/results_summary.csv
MLP,cp10k_log1p,P2,43,0.9109561174077304,0.9095310952039506,0.8073992275516224,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P2/mlp_matched_seed43/results_summary.csv
MLP,cp10k_log1p,P3,41,0.9002728512960436,0.897160584360227,0.7717996342562936,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P3/mlp_matched_seed41/results_summary.csv
MLP,cp10k_log1p,P3,42,0.9020463847203274,0.8995545567991143,0.7647489799787227,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P3/mlp_matched_seed42/results_summary.csv
MLP,cp10k_log1p,P3,43,0.9037517053206002,0.8991074203937724,0.7623667941412999,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P3/mlp_matched_seed43/results_summary.csv
MLP,cp10k_log1p,P4,41,0.9078408425980106,0.910208754954816,0.7757891138702815,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P4/mlp_matched_seed41/results_summary.csv
MLP,cp10k_log1p,P4,42,0.9077823288472792,0.9094970043904868,0.7722362166558053,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P4/mlp_matched_seed42/results_summary.csv
MLP,cp10k_log1p,P4,43,0.9073142188414276,0.9094690929255184,0.7731432799259899,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P4/mlp_matched_seed43/results_summary.csv
MLP,cp10k_log1p,P5,41,0.9175186832332308,0.9168238002939452,0.8311269143667371,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P5/mlp_matched_seed41/results_summary.csv
MLP,cp10k_log1p,P5,42,0.9170143505570584,0.9168118987592676,0.8333054118753942,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P5/mlp_matched_seed42/results_summary.csv
MLP,cp10k_log1p,P5,43,0.918527348585576,0.91804877529489,0.837726863841642,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P5/mlp_matched_seed43/results_summary.csv
MLP,cp10k_log1p,P6,41,0.9103750843698776,0.9065344222651108,0.7762517468095034,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P6/mlp_matched_seed41/results_summary.csv
MLP,cp10k_log1p,P6,42,0.9092662231221676,0.9057121802350394,0.7811991097214865,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P6/mlp_matched_seed42/results_summary.csv
MLP,cp10k_log1p,P6,43,0.911194677466011,0.9081294578855168,0.7818931976432387,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P6/mlp_matched_seed43/results_summary.csv
MLP,cp10k_log1p,P7,41,0.9146921263190444,0.914324299253708,0.7840935510990399,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P7/mlp_matched_seed41/results_summary.csv
MLP,cp10k_log1p,P7,42,0.9131073402651616,0.9128679774520662,0.802056675472146,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P7/mlp_matched_seed42/results_summary.csv
MLP,cp10k_log1p,P7,43,0.9177070851532604,0.9174350439372364,0.8141291884422294,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P7/mlp_matched_seed43/results_summary.csv
MLP,cp10k_log1p,P8,41,0.9037333333333334,0.9017579130002848,0.8091041534154719,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P8/mlp_matched_seed41/results_summary.csv
MLP,cp10k_log1p,P8,42,0.9048761904761904,0.9027381897972796,0.7929772312329185,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P8/mlp_matched_seed42/results_summary.csv
MLP,cp10k_log1p,P8,43,0.9047238095238096,0.9024378577773124,0.8128083349530244,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mlp/test_P8/mlp_matched_seed43/results_summary.csv
MOSAIC,cp10k_log1p,P1,41,0.909953129307968,0.909454821902545,0.8031358875550687,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P1/mosaic_full_seed41/results_summary.csv
MOSAIC,cp10k_log1p,P1,42,0.907582023711056,0.906770995094203,0.806156158082284,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P1/mosaic_full_seed42/results_summary.csv
MOSAIC,cp10k_log1p,P1,43,0.9118830989798732,0.9116987347041824,0.8177290111699013,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P1/mosaic_full_seed43/results_summary.csv
MOSAIC,cp10k_log1p,P2,41,0.9162452775356,0.9155417424647064,0.8109161717440595,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P2/mosaic_full_seed41/results_summary.csv
MOSAIC,cp10k_log1p,P2,42,0.9176983435047952,0.9165894642980056,0.814023769591217,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P2/mosaic_full_seed42/results_summary.csv
MOSAIC,cp10k_log1p,P2,43,0.911014240046498,0.909389525437174,0.812811357046583,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P2/mosaic_full_seed43/results_summary.csv
MOSAIC,cp10k_log1p,P3,41,0.9074351978171896,0.9030717770041636,0.7993619818585557,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P3/mosaic_full_seed41/results_summary.csv
MOSAIC,cp10k_log1p,P3,42,0.907162346521146,0.90245230051211,0.7799936448303019,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P3/mosaic_full_seed42/results_summary.csv
MOSAIC,cp10k_log1p,P3,43,0.9068894952251024,0.9025456585612084,0.7631567179035722,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P3/mosaic_full_seed43/results_summary.csv
MOSAIC,cp10k_log1p,P4,41,0.9114101813926272,0.9123199838465368,0.7862584202088074,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P4/mosaic_full_seed41/results_summary.csv
MOSAIC,cp10k_log1p,P4,42,0.9117027501462844,0.9131349767716505,0.7835561954571255,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P4/mosaic_full_seed42/results_summary.csv
MOSAIC,cp10k_log1p,P4,43,0.9169689877121124,0.9171836965749804,0.7791849025321865,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P4/mosaic_full_seed43/results_summary.csv
MOSAIC,cp10k_log1p,P5,41,0.9179771674842968,0.9167681549501452,0.831383094215632,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P5/mosaic_full_seed41/results_summary.csv
MOSAIC,cp10k_log1p,P5,42,0.915593049378754,0.9144582822383333,0.8350386683310286,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P5/mosaic_full_seed42/results_summary.csv
MOSAIC,cp10k_log1p,P5,43,0.9164641694557792,0.9154007723904698,0.8265671900575502,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P5/mosaic_full_seed43/results_summary.csv
MOSAIC,cp10k_log1p,P6,41,0.907819882364285,0.904494396133992,0.8066741404067889,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P6/mosaic_full_seed41/results_summary.csv
MOSAIC,cp10k_log1p,P6,42,0.9102786616526852,0.908586423896568,0.8167634939951127,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P6/mosaic_full_seed42/results_summary.csv
MOSAIC,cp10k_log1p,P6,43,0.9064217529649986,0.9013151177666502,0.7936566542373844,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P6/mosaic_full_seed43/results_summary.csv
MOSAIC,cp10k_log1p,P7,41,0.9185188048393954,0.917856731097943,0.8084949745337071,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P7/mosaic_full_seed41/results_summary.csv
MOSAIC,cp10k_log1p,P7,42,0.918364191565846,0.917677891964414,0.8244143633385752,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P7/mosaic_full_seed42/results_summary.csv
MOSAIC,cp10k_log1p,P7,43,0.9171659386958372,0.9165852684882098,0.814967254209713,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P7/mosaic_full_seed43/results_summary.csv
MOSAIC,cp10k_log1p,P8,41,0.9102095238095238,0.908358661810438,0.8356977998695182,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P8/mosaic_full_seed41/results_summary.csv
MOSAIC,cp10k_log1p,P8,42,0.9103619047619048,0.9089375377556562,0.8325904219276763,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P8/mosaic_full_seed42/results_summary.csv
MOSAIC,cp10k_log1p,P8,43,0.9084571428571429,0.9066418864567106,0.8283787624769053,cuda,results/exp_generalization/v7_rna_cp10k_pbmc_nested/mosaic/test_P8/mosaic_full_seed43/results_summary.csv
MLP,log1p,P1,41,0.9089054314860766,0.9092150860279036,0.795669524844193,cuda,results/exp_generalization/v50_matched_mlp_pbmc_nested/test_P1/mlp_matched_seed41/results_summary.csv
MLP,log1p,P1,42,0.91232423490488,0.9125659668789922,0.8086893072051197,cuda,results/exp_generalization/v50_matched_mlp_pbmc_nested/test_P1/mlp_matched_seed42/results_summary.csv
MLP,log1p,P1,43,0.9110559691204853,0.9110593856713286,0.8096745856740035,cuda,results/exp_generalization/v50_matched_mlp_pbmc_nested/test_P1/mlp_matched_seed43/results_summary.csv
MLP,log1p,P2,41,0.9123510607381576,0.9123498387129236,0.8050089560754614,cuda,results/exp_generalization/v50_matched_mlp_pbmc_nested/test_P2/mlp_matched_seed41/results_summary.csv
MLP,log1p,P2,42,0.9156640511479222,0.9141507032521234,0.8086873717896325,cuda,results/exp_generalization/v50_matched_mlp_pbmc_nested/test_P2/mlp_matched_seed42/results_summary.csv
MLP,log1p,P2,43,0.9165358907294392,0.9154757454323588,0.8134769344708576,cuda,results/exp_generalization/v50_matched_mlp_pbmc_nested/test_P2/mlp_matched_seed43/results_summary.csv
MLP,log1p,P3,41,0.908049113233288,0.9029451844169764,0.7709427346579489,cuda,results/exp_generalization/v50_matched_mlp_pbmc_nested/test_P3/mlp_matched_seed41/results_summary.csv
MLP,log1p,P3,42,0.906275579809004,0.902550615741318,0.7505156109341814,cuda,results/exp_generalization/v50_matched_mlp_pbmc_nested/test_P3/mlp_matched_seed42/results_summary.csv
MLP,log1p,P3,43,0.9068212824010914,0.9009691297121122,0.7791500612502298,cuda,results/exp_generalization/v50_matched_mlp_pbmc_nested/test_P3/mlp_matched_seed43/results_summary.csv
MLP,log1p,P4,41,0.9080163838502048,0.9100075625744996,0.7588477103840612,cuda,results/exp_generalization/v50_matched_mlp_pbmc_nested/test_P4/mlp_matched_seed41/results_summary.csv
MLP,log1p,P4,42,0.9051492100643652,0.9081278647235452,0.7685839584319634,cuda,results/exp_generalization/v50_matched_mlp_pbmc_nested/test_P4/mlp_matched_seed42/results_summary.csv
MLP,log1p,P4,43,0.9052077238150964,0.9083377998394562,0.7710513357151707,cuda,results/exp_generalization/v50_matched_mlp_pbmc_nested/test_P4/mlp_matched_seed43/results_summary.csv
MLP,log1p,P5,41,0.917610380083444,0.9168816316397748,0.8260916971031459,cuda,results/exp_generalization/v50_matched_mlp_pbmc_nested/test_P5/mlp_matched_seed41/results_summary.csv
MLP,log1p,P5,42,0.9160515336298198,0.9154743399275016,0.8267232046526167,cuda,results/exp_generalization/v50_matched_mlp_pbmc_nested/test_P5/mlp_matched_seed42/results_summary.csv
MLP,log1p,P5,43,0.9122919627710788,0.9126810154620516,0.819326642739479,cuda,results/exp_generalization/v50_matched_mlp_pbmc_nested/test_P5/mlp_matched_seed43/results_summary.csv
MLP,log1p,P6,41,0.9087841095362068,0.9053315391840971,0.7782280185379612,cuda,results/exp_generalization/v50_matched_mlp_pbmc_nested/test_P6/mlp_matched_seed41/results_summary.csv
MLP,log1p,P6,42,0.9102786616526852,0.9066496742122016,0.7870537604243085,cuda,results/exp_generalization/v50_matched_mlp_pbmc_nested/test_P6/mlp_matched_seed42/results_summary.csv
