test_donor,seed,split,stage,n_cells,temperature,nll,ece_15bin,brier,accuracy,weighted_f1,macro_f1,balanced_accuracy
P1,41,validation,before,17205,1.0,0.4242109113196455,0.06886245454751527,0.14845951117825856,0.9144434757337984,0.9145098801994882,0.8295649341873804,0.8282956441922174
P1,41,validation,after,17205,0.8596683312269491,0.4011762046109141,0.030677383806126893,0.14422581163679016,0.9144434757337984,0.9145098801994882,0.8295649341873804,0.8282956441922174
P1,41,test,before,18135,1.0,0.4366450889062626,0.0738354151693411,0.1520026539655282,0.9141990625861594,0.9141482443113407,0.8110430002788572,0.8280590831565268
P1,41,test,after,18135,0.8596683312269491,0.4074792502539804,0.040429331280630386,0.14531262752980498,0.9141990625861594,0.9141482443113407,0.8110430002788572,0.8280590831565268
P1,42,validation,before,17205,1.0,0.3703203818418626,0.06602334914472542,0.14963022098696924,0.9092124382446963,0.9107577563915686,0.8281348241196002,0.840555251625187
P1,42,validation,after,17205,0.7733078305247928,0.3195673814254161,0.020342881318142596,0.1434329799976619,0.9092124382446963,0.9107577563915686,0.8281348241196002,0.840555251625187
P1,42,test,before,18135,1.0,0.382090441992359,0.08268833100496281,0.15018401211215932,0.9109456851392336,0.9118077587062279,0.8080714372301046,0.8421003772603008
P1,42,test,after,18135,0.7733078305247928,0.31682670598524204,0.01295652387502415,0.1391052347943747,0.9109456851392336,0.9118077587062279,0.8080714372301046,0.8421003772603008
P1,43,validation,before,17205,1.0,0.43655238218892983,0.057287137470502736,0.1490390011403356,0.9142691078174949,0.913831108244577,0.8330713231768483,0.8264358715088306
P1,43,validation,after,17205,0.8742156152599485,0.4176754631293243,0.033183515087829935,0.14592832076058,0.9142691078174949,0.913831108244577,0.8330713231768483,0.8264358715088306
P1,43,test,before,18135,1.0,0.4708087284061267,0.06891234222222224,0.15708790763120672,0.9112213950923629,0.9103885162635358,0.8082371266317265,0.8229930596221171
P1,43,test,after,18135,0.8742156152599485,0.44992690625740756,0.0491440638971358,0.1520812120464587,0.9112213950923629,0.9103885162635358,0.8082371266317265,0.8229930596221171
P2,41,validation,before,14660,1.0,0.3688196765619832,0.07695400788813096,0.14716443680337857,0.9103683492496589,0.9064637057474533,0.800364713758586,0.8134746325523616
P2,41,validation,after,14660,0.7540839552124518,0.3067351223279028,0.020843770090552105,0.13985295385811267,0.9103683492496589,0.9064637057474533,0.800364713758586,0.8134746325523616
P2,41,test,before,17205,1.0,0.3483421554403489,0.0736909494974717,0.13914898560275238,0.9145015983725661,0.9145045541527477,0.82503439522081,0.8335119825368792
P2,41,test,after,17205,0.7540839552124518,0.2889896218610393,0.018564292668431133,0.13223542003844624,0.9145015983725661,0.9145045541527477,0.82503439522081,0.8335119825368792
P2,42,validation,before,14660,1.0,0.39646488088315374,0.06033238756412005,0.15846736889505034,0.9034788540245566,0.8981481796390771,0.7986305366567982,0.808464444074215
P2,42,validation,after,14660,0.792101582825892,0.3504178118631488,0.03127733873400564,0.15235958568099248,0.9034788540245566,0.8981481796390771,0.7986305366567982,0.808464444074215
P2,42,test,before,17205,1.0,0.3525062846915464,0.06067550003923282,0.14268032894539764,0.9118279569892473,0.9103116021506772,0.8144028425311443,0.8273560895353388
P2,42,test,after,17205,0.792101582825892,0.3066323284850779,0.024336220344823634,0.13743719745446256,0.9118279569892473,0.9103116021506772,0.8144028425311443,0.8273560895353388
P2,43,validation,before,14660,1.0,0.4958079844132112,0.06444554360300137,0.1610530879424589,0.9119372442019099,0.9072049763828138,0.8085963921720006,0.7893256827875346
P2,43,validation,after,14660,0.8967053907949045,0.48177649430329955,0.0485765843945241,0.15713370162279192,0.9119372442019099,0.9072049763828138,0.8085963921720006,0.7893256827875346
P2,43,test,before,17205,1.0,0.4348452282633474,0.06324552113885502,0.1449009856825033,0.9183376925312409,0.9169782774928307,0.8245633984035485,0.8146496865787837
P2,43,test,after,17205,0.8967053907949045,0.41778713969883363,0.02750522959512971,0.14175953559009463,0.9183376925312409,0.9169782774928307,0.8245633984035485,0.8146496865787837
P3,41,validation,before,17090,1.0,0.3832178083592915,0.08203403078466938,0.1434228767416061,0.9148039789350497,0.9161975908644393,0.7863861847688121,0.7969041416759581
P3,41,validation,after,17090,0.7604882799659947,0.3204133407622239,0.01807737665844813,0.13343077822845473,0.9148039789350497,0.9161975908644393,0.7863861847688121,0.7969041416759581
P3,41,test,before,14660,1.0,0.3959622762790315,0.06777469534379259,0.15684612390913102,0.9038881309686221,0.9006726921511017,0.7985879566133259,0.8158240919186364
P3,41,test,after,14660,0.7604882799659947,0.34296772518690977,0.028253219698312362,0.15093647107548594,0.9038881309686221,0.9006726921511017,0.7985879566133259,0.8158240919186364
P3,42,validation,before,17090,1.0,0.48157288162989864,0.07219552508543016,0.15537304047173242,0.9141018139262727,0.914192301189828,0.7876490801388256,0.777492661446723
P3,42,validation,after,17090,0.8752366570996116,0.4610091754816784,0.05298707227661535,0.14999334434440115,0.9141018139262727,0.914192301189828,0.7876490801388256,0.777492661446723
P3,42,test,before,14660,1.0,0.5031795070820736,0.05891584187039566,0.16634905783561632,0.906343792633015,0.9010726565903407,0.7862420370465021,0.7754029976288098
P3,42,test,after,14660,0.8752366570996116,0.48890734439314587,0.05259872259879498,0.16333849171934506,0.906343792633015,0.9010726565903407,0.7862420370465021,0.7754029976288098
P3,43,validation,before,17090,1.0,0.4522082447059726,0.0713499648519602,0.14903812291546628,0.9179637214745465,0.9174821178389412,0.7813384645264698,0.7691285987667168
P3,43,validation,after,17090,0.8606926134239162,0.4276184079040183,0.05006610995330975,0.14285161210647382,0.9179637214745465,0.9174821178389412,0.7813384645264698,0.7691285987667168
P3,43,test,before,14660,1.0,0.49663805610735295,0.056431507555252274,0.16552133937885508,0.9068212824010914,0.9018462620456903,0.7828311948477107,0.7766894419818288
P3,43,test,after,14660,0.8606926134239162,0.48332947347955635,0.05539959328697591,0.1622589781762404,0.9068212824010914,0.9018462620456903,0.7828311948477107,0.7766894419818288
P4,41,validation,before,21811,1.0,0.4813109960367582,0.08305034129888596,0.14870445615190345,0.9192609233872816,0.9182989532318186,0.84318077403056,0.8342906376536543
P4,41,validation,after,21811,0.880941417298167,0.4622864351998203,0.0592219143847985,0.14351820284300454,0.9192609233872816,0.9182989532318186,0.84318077403056,0.8342906376536543
P4,41,test,before,17090,1.0,0.4855415051898456,0.07597028806612052,0.15184965183946444,0.9162083089526039,0.9163462995726416,0.7822061189762317,0.7686533430872561
P4,41,test,after,17090,0.880941417298167,0.464325322764037,0.05850176286803722,0.14667990803939318,0.9162083089526039,0.9163462995726416,0.7822061189762317,0.7686533430872561
P4,42,validation,before,21811,1.0,0.4584498826123418,0.07994130793086063,0.1483512584366428,0.9193984686626014,0.9187102946716437,0.845545632365171,0.8377674955521944
P4,42,validation,after,21811,0.8617466327944141,0.43377851429719605,0.05496671014395359,0.1414068624021652,0.9193984686626014,0.9187102946716437,0.845545632365171,0.8377674955521944
P4,42,test,before,17090,1.0,0.48489374142108926,0.07376733862960788,0.16136110354147587,0.9091281451141018,0.9110119627729432,0.7724201325666772,0.7716843862583388
P4,42,test,after,17090,0.8617466327944141,0.46213665792961867,0.054096527075158884,0.15600929197660937,0.9091281451141018,0.9110119627729432,0.7724201325666772,0.7716843862583388
P4,43,validation,before,21811,1.0,0.35337751694385416,0.06423243948649762,0.13302247502252385,0.922745403695383,0.9227490761363699,0.8487627426894385,0.8486350174350705
P4,43,validation,after,21811,0.7931803211668527,0.3075839930940283,0.019042000175485484,0.12607213188398364,0.922745403695383,0.9227490761363699,0.8487627426894385,0.8486350174350705
P4,43,test,before,17090,1.0,0.3845498653286513,0.0651068137039205,0.14502365885996238,0.9139847864248098,0.9159067479502051,0.7828629614514736,0.7830316281785202
P4,43,test,after,17090,0.7931803211668527,0.339509355008163,0.02145264003261812,0.13809890763642246,0.9139847864248098,0.9159067479502051,0.7828629614514736,0.7830316281785202
P5,41,validation,before,20742,1.0,0.3584696873545867,0.06494659543076851,0.14555199953194103,0.9096037026323401,0.9062278793233887,0.814966335071409,0.8127192949861031
P5,41,validation,after,20742,0.7722348821624005,0.307188577327155,0.021183897803650945,0.1400720146782441,0.9096037026323401,0.9062278793233887,0.814966335071409,0.8127192949861031
P5,41,test,before,21811,1.0,0.3502147329045433,0.07786153886204203,0.13994362589635195,0.914997019852368,0.9152046901090144,0.8331664537456858,0.8409689811490043
P5,41,test,after,21811,0.7722348821624005,0.2866000627558393,0.023045008066819778,0.1318932130775987,0.914997019852368,0.9152046901090144,0.8331664537456858,0.8409689811490043
P5,42,validation,before,20742,1.0,0.3870079046597068,0.05943994400636393,0.15244094448577855,0.9076270369299007,0.9065783345213972,0.8294160289898662,0.835927184279704
P5,42,validation,after,20742,0.8085348838731369,0.3477232424324357,0.03740474721088832,0.1461647790294388,0.9076270369299007,0.9065783345213972,0.8294160289898662,0.835927184279704
P5,42,test,before,21811,1.0,0.3615938698179481,0.07277580714731105,0.14141953876100574,0.9171977442574848,0.9178794523866678,0.8358065688222726,0.8440200835275453
P5,42,test,after,21811,0.8085348838731369,0.3121442915043514,0.030894573410235188,0.13338272887679126,0.9171977442574848,0.9178794523866678,0.8358065688222726,0.8440200835275453
P5,43,validation,before,20742,1.0,0.35518367964096836,0.0713739045524057,0.14548784910561113,0.9102786616526853,0.9090782611611944,0.8054355543836402,0.8230849772735925
P5,43,validation,after,20742,0.7589769488119628,0.2984792116222318,0.021123665557453472,0.1381837453982363,0.9102786616526853,0.9090782611611944,0.8054355543836402,0.8230849772735925
P5,43,test,before,21811,1.0,0.3820205580144261,0.07272743740342033,0.15373650131473807,0.9087157856127642,0.9075548020851638,0.8230933845428458,0.8355639029222125
P5,43,test,after,21811,0.7589769488119628,0.3317543568439204,0.027961470117796226,0.14557039130908608,0.9087157856127642,0.9075548020851638,0.8230933845428458,0.8355639029222125
P6,41,validation,before,25871,1.0,0.38032347186173215,0.06977210123767932,0.13823131996935442,0.921495110355224,0.9207403046242927,0.8344225560590233,0.8272858291821188
P6,41,validation,after,25871,0.822883985770159,0.3452928313576978,0.03360407721740457,0.13125498714281933,0.921495110355224,0.9207403046242927,0.8344225560590233,0.8272858291821188
P6,41,test,before,20742,1.0,0.4181920466086459,0.05731272784832702,0.15498817644824453,0.9086394754604185,0.9057352030768951,0.8017059079841766,0.7996816073604462
P6,41,test,after,20742,0.822883985770159,0.39746073297680373,0.037823564930687725,0.15150376040830169,0.9086394754604185,0.9057352030768951,0.8017059079841766,0.7996816073604462
P6,42,validation,before,25871,1.0,0.41840014666981057,0.07253885136368914,0.13889937861718896,0.9227320165436202,0.9222650113285039,0.8334539166413271,0.8290516229419581
P6,42,validation,after,25871,0.8493382961567206,0.3908393171439956,0.05148106366215033,0.1326926076254022,0.9227320165436202,0.9222650113285039,0.8334539166413271,0.8290516229419581
P6,42,test,before,20742,1.0,0.49536701767913077,0.0653406027408157,0.16477755253946247,0.9069038665509594,0.9046958568366725,0.781618937564248,0.7745458217140031
P6,42,test,after,20742,0.8493382961567206,0.48627667565614885,0.058911346617296585,0.1618076983696701,0.9069038665509594,0.9046958568366725,0.781618937564248,0.7745458217140031
P6,43,validation,before,25871,1.0,0.4337662605283764,0.08654520928259438,0.1403374109594719,0.9257083220594488,0.9250777193277531,0.8360994218804655,0.8310142010152576
P6,43,validation,after,25871,0.8439265737186307,0.40322904822736333,0.055878112676517294,0.13143030344537107,0.9257083220594488,0.9250777193277531,0.8360994218804655,0.8310142010152576
P6,43,test,before,20742,1.0,0.5033790792946903,0.07317839637980912,0.1622952970207501,0.910037604859705,0.9062282487213874,0.7896334694724966,0.7855899987852698
P6,43,test,after,20742,0.8439265737186307,0.49150052041357023,0.06137560449090547,0.1570053328915864,0.910037604859705,0.9062282487213874,0.7896334694724966,0.7855899987852698
P7,41,validation,before,26250,1.0,0.364873206714144,0.10225215269809522,0.1473113414211667,0.9108952380952381,0.9097758639040019,0.8291774364390553,0.8213668150095906
P7,41,validation,after,26250,0.6958083844988794,0.2782586856771901,0.015923292497754288,0.13384812764628082,0.9108952380952381,0.9097758639040019,0.8291774364390553,0.8213668150095906
P7,41,test,before,25871,1.0,0.35387108896712877,0.09988332325190369,0.13950314913352602,0.9194464844806927,0.9185873551531232,0.8033932853658062,0.8016970559959812
P7,41,test,after,25871,0.6958083844988794,0.27045614887422703,0.019349865299540712,0.1257825671077928,0.9194464844806927,0.9185873551531232,0.8033932853658062,0.8016970559959812
P7,42,validation,before,26250,1.0,0.4683914408532276,0.06936450137409526,0.16329417708767074,0.9055619047619048,0.9034487049107394,0.8376403799969626,0.8186109018354467
P7,42,validation,after,26250,0.8716088729946913,0.44747780945278126,0.05251636193167382,0.15948956774947545,0.9055619047619048,0.9034487049107394,0.8376403799969626,0.8186109018354467
P7,42,test,before,25871,1.0,0.43938992658598486,0.07925255512890883,0.14669493056277155,0.9183255382474586,0.9169906927708672,0.8209738132660545,0.8031782185573458
P7,42,test,after,25871,0.8716088729946913,0.41398360679156276,0.05971385174156919,0.14080133499196062,0.9183255382474586,0.9169906927708672,0.8209738132660545,0.8031782185573458
P7,43,validation,before,26250,1.0,0.4019282461805621,0.0694476004453333,0.16343098309743762,0.9009142857142857,0.8999525245575813,0.8310871588041381,0.8266457457704748
P7,43,validation,after,26250,0.7974872259117901,0.3577413077081184,0.03385993353721739,0.15664828068500844,0.9009142857142857,0.8999525245575813,0.8310871588041381,0.8266457457704748
P7,43,test,before,25871,1.0,0.3694223249865813,0.0829746846242511,0.14368382504975333,0.9171659386958371,0.9166069353929319,0.8246446260673931,0.8292368348056823
P7,43,test,after,25871,0.7974872259117901,0.31171398453758137,0.02884867135312244,0.13250838143784804,0.9171659386958371,0.9166069353929319,0.8246446260673931,0.8292368348056823
P8,41,validation,before,18135,1.0,0.3977993222135176,0.06316631572792941,0.1442448178659318,0.9149710504549214,0.9148063686304662,0.8349406858305798,0.8380864002305046
P8,41,validation,after,18135,0.8336521968631818,0.3663725381506446,0.03637420417329858,0.13925818701029982,0.9149710504549214,0.9148063686304662,0.8349406858305798,0.8380864002305046
P8,41,test,before,26250,1.0,0.4283092283752002,0.06378098298552383,0.1567623728131639,0.907847619047619,0.9066621280997111,0.8177673598433657,0.8111836626173589
P8,41,test,after,26250,0.8336521968631818,0.40523434576316614,0.0421196303257793,0.153404276877644,0.907847619047619,0.9066621280997111,0.8177673598433657,0.8111836626173589
P8,42,validation,before,18135,1.0,0.4390597759906976,0.06611671566583957,0.14851283470059135,0.9164047422111938,0.9160959179627829,0.8380351577407328,0.837259095660525
P8,42,validation,after,18135,0.8538767529463515,0.4126135643472909,0.041853338199443174,0.14290991771245035,0.9164047422111938,0.9160959179627829,0.8380351577407328,0.837259095660525
P8,42,test,before,26250,1.0,0.46057037671649065,0.07170716204114294,0.1580702773295713,0.9109333333333334,0.9096109123353319,0.8266737968776542,0.8099305750325068
P8,42,test,after,26250,0.8538767529463515,0.439339980030124,0.052830526893594215,0.15295983783352513,0.9109333333333334,0.9096109123353319,0.8266737968776542,0.8099305750325068
P8,43,validation,before,18135,1.0,0.4515313372928845,0.06401695959911775,0.15282803009040605,0.9132616487455197,0.9125446749871802,0.8412617079867704,0.839612518579538
P8,43,validation,after,18135,0.8585360269566479,0.42597427507444063,0.039928723677506606,0.14836575387243825,0.9132616487455197,0.9125446749871802,0.8412617079867704,0.839612518579538
P8,43,test,before,26250,1.0,0.473639356629673,0.07331557744038089,0.1615495828146618,0.9087619047619048,0.9073561379482886,0.8176463109081971,0.8074194576898771
P8,43,test,after,26250,0.8585360269566479,0.453998122115339,0.051798158797323426,0.15727351219942443,0.9087619047619048,0.9073561379482886,0.8176463109081971,0.8074194576898771
