class_label,modality,marker_group,representative_markers,available_panel_markers,n_representative_markers,n_available_panel_markers,top20_attribution_features,top20_marker_hits,top20_marker_fraction,n_correct_attribution_cells,n_checkpoint_runs_with_correct_cells,n_checkpoint_runs,mean_f1,total_test_support,mean_rna_weight,mean_adt_weight,mean_fusion_weight,interpretation,source
ASDC_mDC,RNA,none,,,0,0,SPINT2;KCNK6;PPP1R14A;ZBTB38;CKLF;FXYD5;LINC01480;CBX6;KCNG2;HOMER3;NKG7;CD53;C1orf162;GPR171;PLXNC1;PLEKHF1;DACH1;PLSCR1;VMO1;DNAJC13,0,,92,22,24,0.7667223707664883,40,0.30329302487500004,0.06607948005416665,0.6306274937499999,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
ASDC_mDC,ADT,none,,,0,0,CD271;CD71;CD141;Integrin-7;CD45-2;CD34;CD305;CD22;CD366;CD48;CD38-1;CD117;HLA-DR;CD38-2;CD304;CD123;CD99;CD18;CD72;CD44-1,0,,92,22,24,0.7667223707664883,40,0.30329302487500004,0.06607948005416665,0.6306274937499999,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
ASDC_pDC,RNA,none,,,0,0,CKLF;NKG7;PAXX;SPINT2;ARRDC1;SIGLEC7;TUBB4B;GCA;RGS6;CKAP2L;ADAP1;MAP3K2;NACC2;CLIC3;PLEKHB2;NMI;KCNK6;PTPN18;PPP1R14A;TFEC,0,,82,24,24,0.7905141223155929,36,0.33529655708333334,0.06150628634166666,0.6031971570833333,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
ASDC_pDC,ADT,none,,,0,0,CD271;CD71;CD305;CD45-2;CD38-2;CD38-1;CD34;CD304;CD22;CD303;CD48;CD123;Notch-1;CD85g;CD366;CD18;CD72;CD81;CD4-1;CD54,0,,82,24,24,0.7905141223155929,36,0.33529655708333334,0.06150628634166666,0.6031971570833333,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
B intermediate kappa,RNA,b_cell,MS4A1;CD79A;CD79B;CD37,MS4A1;CD79A;CD79B;CD37,4,4,TMEM127;AC133644.2;TMSB10;CD8A;IGKC;MAL;VAMP8;CKB;TNFAIP2;ATP5MPL;IGHG1;ZNF787;NOP10;SLC11A1;AL139020.1;AK5;IGHM;CTLA4;AC012236.1;RPS5,0,0.0,192,24,24,0.8490406493754097,1100,0.204102759375,0.03209694225,0.7638002929166666,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
B intermediate kappa,ADT,b_cell,CD19;CD20;CD79a;CD79b;HLA-DR,CD19;CD20;CD79a;CD79b;HLA-DR,5,5,CD73;IgM;IgD;CD45RA;CD72;CD25;CD1c;Integrin-7;CD18;CD52;CD71;CD45RB;CD45-2;CD81;CD38-1;CD307c/FcRL3;CD27;CD35;CD19;CD38-2,1,0.2,192,24,24,0.8490406493754097,1100,0.204102759375,0.03209694225,0.7638002929166666,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
B intermediate lambda,RNA,b_cell,MS4A1;CD79A;CD79B;CD37,MS4A1;CD79A;CD79B;CD37,4,4,EPN1;ZNF787;IGLC3;RPS5;IGLC2;TNFAIP2;TMEM238;CHMP2A;VAMP8;AC133644.2;CDC42BPB;NOP10;ATP5MPL;SEMA4A;A1BG;TMEM127;TMSB10;IGKC;CTLA4;FCRL5,0,0.0,192,24,24,0.8280921510346235,1331,0.19371866791666667,0.04526636564583333,0.7610149729166666,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
B intermediate lambda,ADT,b_cell,CD19;CD20;CD79a;CD79b;HLA-DR,CD19;CD20;CD79a;CD79b;HLA-DR,5,5,CD73;CD72;IgD;IgM;CD45RA;CD19;CD35;Integrin-7;CD25;CD22;CD307c/FcRL3;CD1c;CD45-2;CD275-2;CD52;CD18;CD45RB;CD200;CD38-1;CD196,1,0.2,192,24,24,0.8280921510346235,1331,0.19371866791666667,0.04526636564583333,0.7610149729166666,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
B memory kappa,RNA,b_cell,MS4A1;CD79A;CD79B;CD37,MS4A1;CD79A;CD79B;CD37,4,4,TMEM127;AC133644.2;IGKC;TMSB10;MAL;VAMP8;CD8A;EPN1;ZNF787;CKB;LINC01781;CDC42BPB;RPS5;IFI44;ATP5MPL;TST;CD1D;RCOR1;TNFAIP2;IGHA2,0,0.0,192,24,24,0.9018216646252664,2037,0.23854526333333334,0.025583004962500003,0.73587172375,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
B memory kappa,ADT,b_cell,CD19;CD20;CD79a;CD79b;HLA-DR;CD27;CD45RO,CD19;CD20;CD79a;CD79b;HLA-DR;CD27;CD45RO,7,7,CD73;Integrin-7;CD71;CD72;IgM;CD35;CD45RA;CD45-2;IgD;CD25;CD22;CD19;CD275-2;CD27;CD49d;CD305;CD196;CD43;CD18;CD81,2,0.2857142857142857,192,24,24,0.9018216646252664,2037,0.23854526333333334,0.025583004962500003,0.73587172375,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
B memory lambda,RNA,b_cell,MS4A1;CD79A;CD79B;CD37,MS4A1;CD79A;CD79B;CD37,4,4,EPN1;ZNF787;RPS5;IGLC3;CHMP2A;MAL;IGLC2;CKB;TMEM238;A1BG;RPL28;IFI44L;IFI44;CDC42BPB;RCOR1;GNAZ;TNFAIP2;TMEM127;TMSB10;VAMP8,0,0.0,192,24,24,0.8697293010539311,1248,0.22914621770833335,0.027074962283333337,0.7437788133333334,representative panel evidence; not a complete marker definition or causal attribution,"current MOSAIC full checkpoints, 8 donors x 3 seeds"
