split_column,test_group,n_train,n_test,test_fraction,label_column,n_test_labels,status,labels_absent_from_test,labels_absent_from_test_count
celltype.l3,CD14 Mono,119074,42690,0.2639029697584135,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2|CD8 TCM_3,57
celltype.l3,CD4 Naive,144285,17479,0.10805247150169382,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2|CD8 TCM_3,57
celltype.l3,CD8 Naive,151286,10478,0.06477337355653916,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2|CD8 TCM_3,57
celltype.l3,NK_2,152346,9418,0.0582206176899681,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,CD4 TCM_1,153623,8141,0.050326401424297125,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2|CD8 TCM_3,57
celltype.l3,CD16 Mono,155444,6320,0.039069261393140625,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2|CD8 TCM_3,57
celltype.l3,CD4 TCM_3,155609,6155,0.03804925694221211,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2|CD8 TCM_3,57
celltype.l3,B naive kappa,156912,4852,0.02999431270245543,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2|CD8 TCM_3,57
celltype.l3,NK_1,157638,4126,0.02550629311836997,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
celltype.l3,CD8 TEM_4,158260,3504,0.021661185430627335,celltype.l3,1,candidate,ASDC_mDC|ASDC_pDC|B intermediate kappa|B intermediate lambda|B memory kappa|B memory lambda|B naive kappa|B naive lambda|CD14 Mono|CD16 Mono|CD4 CTL|CD4 Naive|CD4 Proliferating|CD4 TCM_1|CD4 TCM_2|CD4 TCM_3|CD4 TEM_1|CD4 TEM_2|CD4 TEM_3|CD4 TEM_4|CD8 Naive|CD8 Naive_2|CD8 Proliferating|CD8 TCM_1|CD8 TCM_2,57
