seed,method,result_dir,accuracy,weighted_f1,macro_f1
1,learned_hsr,results/exp_generalization/mosaic_n_v16/r4_hsr_bounded_gate_seed1,0.9209333333333334,0.9203279899836888,0.8478276456041678
1,without_hsr,results/exp_generalization/mosaic_n_v15/r2_constraint_macro_p14_cew5_kdw5_alpha005_seed1,0.9214666666666668,0.9205649083634632,0.8467362211101107
2,learned_hsr,results/exp_generalization/mosaic_n_v16/r4_hsr_bounded_gate_seed2,0.9203333333333332,0.919329746991903,0.8492750555506522
2,without_hsr,results/exp_generalization/mosaic_n_v15/r2_constraint_macro_p14_cew5_kdw5_alpha005_seed2,0.9212,0.9199647020968632,0.8475314023192119
3,learned_hsr,results/exp_generalization/mosaic_n_v16/r4_hsr_bounded_gate_seed3,0.9216666666666666,0.9208835973336044,0.857732282707222
3,without_hsr,results/exp_generalization/mosaic_n_v15/r2_constraint_macro_p14_cew5_kdw5_alpha005_seed3,0.9208666666666666,0.919992636465093,0.8391836078524952
4,learned_hsr,results/exp_generalization/mosaic_n_v30/r4_hsr_bounded_gate_seed4,0.9206666666666666,0.9196533690227844,0.8329391160758001
4,without_hsr,results/exp_generalization/mosaic_n_v15/r3_constraint_macro_p14_cew5_kdw5_alpha005_seed4,0.9206,0.9197825520995988,0.8460344653184905
5,learned_hsr,results/exp_generalization/mosaic_n_v30/r4_hsr_bounded_gate_seed5,0.9212,0.9203882317199216,0.84185937150441
5,without_hsr,results/exp_generalization/mosaic_n_v15/r3_constraint_macro_p14_cew5_kdw5_alpha005_seed5,0.9198,0.9188620516724322,0.845021172978482
6,learned_hsr,results/exp_generalization/mosaic_n_v30/r4_hsr_bounded_gate_seed6,0.9208666666666666,0.920121580293189,0.8402143611591617
6,without_hsr,results/exp_generalization/mosaic_n_v15/r7_v15_r2_constraint_macro_seed6,0.9168666666666668,0.9161293344901732,0.8447673465498714
7,learned_hsr,results/exp_generalization/mosaic_n_v30/r4_hsr_bounded_gate_seed7,0.9204666666666668,0.9195727038488952,0.8403217806881801
7,without_hsr,results/exp_generalization/mosaic_n_v15/r7_v15_r2_constraint_macro_seed7,0.9192666666666668,0.9184457691563654,0.8392913200185163
8,learned_hsr,results/exp_generalization/mosaic_n_v30/r4_hsr_bounded_gate_seed8,0.9196666666666666,0.9191837934527224,0.8480009601073545
8,without_hsr,results/exp_generalization/mosaic_n_v15/r7_v15_r2_constraint_macro_seed8,0.9198666666666668,0.9192717000999155,0.8389974682642085
9,learned_hsr,results/exp_generalization/mosaic_n_v30/r4_hsr_bounded_gate_seed9,0.9229333333333334,0.921870848982527,0.8360303209532076
9,without_hsr,results/exp_generalization/mosaic_n_v15/r7_v15_r2_constraint_macro_seed9,0.9196,0.9184759440247028,0.8444602301271
42,learned_hsr,results/exp_generalization/mosaic_n_v16/r4_hsr_bounded_gate_seed42,0.9198,0.918659304123616,0.8427846008788173
42,without_hsr,results/exp_generalization/mosaic_n_v15/r2_constraint_macro_p14_cew5_kdw5_alpha005_seed42,0.9202,0.9188442768118076,0.8393223485978136
