dataset,method,comparator,metric,left_point,right_point,point_difference,ci_low,ci_high,n_pairs,inference_mode,n_boot,bootstrap_seed,comparison_caveat,supports_positive_difference_95
PBMC strict L3,MOSAIC-N,MLP / early fusion,ACC,0.9208533333333333,0.9122666666666668,0.008586666666666654,0.00790855967155251,0.009264773661780797,10,paired_seed_t,0,,MOSAIC training-seed variation versus one fixed MLP artifact on the same test cells,True
PBMC strict L3,MOSAIC-N,MLP / early fusion,W-F1,0.9199991165752852,0.9104764086292045,0.009522707946080677,0.008858049021245307,0.010187366870916047,10,paired_seed_t,0,,MOSAIC training-seed variation versus one fixed MLP artifact on the same test cells,True
PBMC strict L3,MOSAIC-N,MLP / early fusion,M-F1,0.8436985495228972,0.8128843470391448,0.03081420248375255,0.02566710910271402,0.03596129586479108,10,paired_seed_t,0,,MOSAIC training-seed variation versus one fixed MLP artifact on the same test cells,True
COVID-19 full,MOSAIC-N,MLP / early fusion,ACC,0.8655819302129997,0.8596639376619809,0.005917992551018658,0.0037229557108977526,0.008113029391139564,3,paired_seed_t,0,,matched model seeds and identical cell-level strict split,True
COVID-19 full,MOSAIC-N,MLP / early fusion,W-F1,0.8619830906324149,0.85517357051258,0.006809520119834711,0.003028623816648781,0.010590416423020641,3,paired_seed_t,0,,matched model seeds and identical cell-level strict split,True
COVID-19 full,MOSAIC-N,RNA logistic,M-F1,0.6654742662503988,0.6687757707757958,-0.003301504525396829,-0.02010039871998236,0.013497389669188701,3,paired_seed_t,0,,matched model seeds and identical cell-level strict split,False
GSE164378 exact-L3,MOSAIC-N,MLP / early fusion,ACC,0.8646228974498101,0.8600108518719479,0.004612045577862212,-0.0006782419967443776,0.009634427563754768,7372,paired_cell_bootstrap,1000,20260723,paired fixed-majority ensembles on identical test cells,False
GSE164378 exact-L3,MOSAIC-N,MLP / early fusion,W-F1,0.8617030786827207,0.8571350279072899,0.004568050775430765,-0.0009443054435299386,0.00975923879089682,7372,paired_cell_bootstrap,1000,20260723,paired fixed-majority ensembles on identical test cells,False
GSE164378 exact-L3,MOSAIC-N,MLP / early fusion,M-F1,0.6916206574596696,0.6513285714041513,0.04029208605551826,0.0005973193502981952,0.06249869175138145,7372,paired_cell_bootstrap,1000,20260723,paired fixed-majority ensembles on identical test cells,True
COMBAT/COVID shift,MOSAIC-N,scNym,ACC,0.9788333333333332,0.9723,0.006533333333333317,-0.000189155183224393,0.013255821849891027,3,paired_seed_t,0,,consensus versus its strongest aligned component on holdout seeds 44/45/46,False
COMBAT/COVID shift,MOSAIC-N,scNym,W-F1,0.9789729929888161,0.9717776251390388,0.00719536784977733,-0.00023520285796408465,0.014625938557518744,3,paired_seed_t,0,,consensus versus its strongest aligned component on holdout seeds 44/45/46,False
COMBAT/COVID shift,MOSAIC-N,scNym,M-F1,0.8371993210750257,0.793763063199039,0.04343625787598667,-0.007147960456903954,0.0940204762088773,3,paired_seed_t,0,,consensus versus its strongest aligned component on holdout seeds 44/45/46,False
