reference,comparator,metric,reference_mean,comparator_mean,mean_difference,difference_ci_low,difference_ci_high,n_pairs
learned_reliability_hsr,rna_branch,ACC,0.9208533333333333,0.90108,0.01977333333333332,0.018495798559939616,0.021050868106727023,10
learned_reliability_hsr,rna_branch,W-F1,0.9199991165752852,0.8994618734226332,0.020537243152651874,0.019211139925290204,0.021863346380013544,10
learned_reliability_hsr,rna_branch,M-F1,0.8436985495228972,0.801091012091533,0.042607537431364285,0.03811037695309018,0.04710469790963839,10
learned_reliability_hsr,adt_branch,ACC,0.9208533333333333,0.8499800000000001,0.07087333333333332,0.06814505272213715,0.07360161394452948,10
learned_reliability_hsr,adt_branch,W-F1,0.9199991165752852,0.8498829970147996,0.0701161195604855,0.06769016244731109,0.0725420766736599,10
learned_reliability_hsr,adt_branch,M-F1,0.8436985495228972,0.7176167329701935,0.12608181655270384,0.1206540570658535,0.13150957603955418,10
learned_reliability_hsr,fusion_branch,ACC,0.9208533333333333,0.9198133333333333,0.0010399999999999854,0.0005566739214463842,0.0015233260785535866,10
learned_reliability_hsr,fusion_branch,W-F1,0.9199991165752852,0.919174028177198,0.0008250883980871592,0.0003472003350432509,0.0013029764611310675,10
learned_reliability_hsr,fusion_branch,M-F1,0.8436985495228972,0.8464108746111361,-0.0027123250882387763,-0.004683689747199862,-0.0007409604292776908,10
learned_reliability_hsr,uniform_fusion,ACC,0.9208533333333333,0.9206733333333335,0.00017999999999998017,-0.00019012631552136133,0.0005501263155213217,10
learned_reliability_hsr,uniform_fusion,W-F1,0.9199991165752852,0.9198119612353663,0.00018715533991887635,-0.00021930248065370677,0.0005936131604914595,10
learned_reliability_hsr,uniform_fusion,M-F1,0.8436985495228972,0.8435300662737651,0.00016848324913222302,-0.0025169810166700175,0.002853947514934464,10
learned_reliability_hsr,learned_reliability,ACC,0.9208533333333333,0.9208000000000001,5.3333333333338564e-05,-9.545275066602319e-05,0.0002021194173327003,10
learned_reliability_hsr,learned_reliability,W-F1,0.9199991165752852,0.9199516412644358,4.747531084924317e-05,-0.00010860580573470107,0.0002035564274331874,10
learned_reliability_hsr,learned_reliability,M-F1,0.8436985495228972,0.8436573953127846,4.115421011272602e-05,-0.000634454072005487,0.000716762492230939,10
