protocol,method,method_type,modality,runs_or_unit,accuracy,weighted_f1,macro_f1,balanced_or_parent,role_caveat,source_artifact
PBMC 3P donor-disjoint L3,MOSAIC,Proposed,RNA+ADT,8 donors; 3 seeds,0.9119 $\pm$ 0.0033,0.9108 $\pm$ 0.0045,0.8072 $\pm$ 0.0155,0.8085 $\pm$ 0.0195,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,MLP early fusion,Matched neural baseline,RNA+ADT,8 donors; 3 seeds,0.9091 $\pm$ 0.0043,0.9068 $\pm$ 0.0048,0.7923 $\pm$ 0.0165,0.7796 $\pm$ 0.0168,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,MOSAIC without HSR,Ablation,RNA+ADT,8 donors; 3 seeds,0.9135 $\pm$ 0.0033,0.9121 $\pm$ 0.0042,0.8097 $\pm$ 0.0146,0.8067 $\pm$ 0.0172,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,MOSAIC without KD,Ablation,RNA+ADT,8 donors; 3 seeds,0.9134 $\pm$ 0.0033,0.9121 $\pm$ 0.0043,0.8110 $\pm$ 0.0154,0.8079 $\pm$ 0.0165,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,RNA branch,Same-checkpoint branch,RNA-only,8 donors; 3 seeds,0.8894 $\pm$ 0.0048,0.8882 $\pm$ 0.0057,0.7564 $\pm$ 0.0162,0.7652 $\pm$ 0.0216,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,ADT branch,Same-checkpoint branch,ADT-only,8 donors; 3 seeds,0.8360 $\pm$ 0.0115,0.8364 $\pm$ 0.0093,0.6661 $\pm$ 0.0147,0.6876 $\pm$ 0.0096,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,Fusion branch,Same-checkpoint branch,RNA+ADT,8 donors; 3 seeds,0.9100 $\pm$ 0.0030,0.9092 $\pm$ 0.0041,0.8059 $\pm$ 0.0139,0.8118 $\pm$ 0.0187,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,Uniform fusion,Same-checkpoint policy,RNA+ADT,8 donors; 3 seeds,0.9130 $\pm$ 0.0034,0.9118 $\pm$ 0.0046,0.8114 $\pm$ 0.0153,0.8129 $\pm$ 0.0196,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,Learned margin gate,Same-checkpoint policy,RNA+ADT,8 donors; 3 seeds,0.9119 $\pm$ 0.0034,0.9107 $\pm$ 0.0045,0.8077 $\pm$ 0.0152,0.8096 $\pm$ 0.0190,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,Learned margin gate + HSR,Same-checkpoint policy,RNA+ADT,8 donors; 3 seeds,0.9119 $\pm$ 0.0033,0.9108 $\pm$ 0.0045,0.8072 $\pm$ 0.0155,0.8085 $\pm$ 0.0195,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC strict L3 historical baseline matrix,MOSAIC V16 HSR,Proposed historical,RNA+ADT,4 run(s),0.9210,0.9202,0.8497,--,"PBMC strict L3 closed-set, four seeds; final calibration-style HSR architecture.",output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,Strict MLP,Engineering baseline,RNA+ADT engineered,1 run(s),0.9123,0.9105,0.8129,--,not_published_single_cell_method,output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,scANVI,Published baseline,RNA-only,1 run(s),0.8907,0.8882,0.7729,--,same_protocol_published_baseline_below_v13_macro,output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,CellTypist,Published baseline,RNA-only,1 run(s),0.8724,0.8661,0.6930,--,RNA-only method; external run excludes unmapped labels.,output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,scNym full-train,Published baseline,RNA-only,1 run(s),0.8570,0.8504,0.6543,--,"PBMC strict row is medium 20k run; external row is full 69,999 train-cell run.",output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,totalVI + linear head,Published/completed baseline,RNA+ADT,1 run(s),0.8100,0.8251,0.6916,--,"Full strict PBMC L3 multimodal totalVI latent-readout, single seed; latent classifier rather than end-to-end fine-tuned annotator.",output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,popV,Published/completed baseline,RNA-only,3 run(s),0.7777,0.7815,0.6477,--,Full strict PBMC L3 RNA-only reference-query baseline across 3 seeds; not multimodal.,output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,scClassify,Published/completed baseline,RNA-only hierarchy,1 run(s),0.6820,0.6879,0.6552,--,Medium 20-class/internal-node candidate; useful for breadth but not a full 58-class main comparator.,output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
