cell_id,donor,split,label,rna_IL7R,rna_CCR7,rna_NKG7,rna_GNLY,adt_CD4,adt_CD8,adt_CD56
c001,D1,train,T_cell,4.8,4.2,0.3,0.1,4.5,2.1,0.2
c002,D1,train,T_cell,4.4,3.9,0.4,0.2,4.1,2.5,0.1
c003,D1,train,T_cell,4.9,4.5,0.2,0.0,4.7,1.9,0.2
c004,D1,train,T_cell,4.2,3.7,0.5,0.2,3.9,2.8,0.3
c005,D1,train,NK_cell,0.4,0.2,4.6,4.4,0.2,2.9,4.7
c006,D1,train,NK_cell,0.3,0.1,4.3,4.8,0.1,3.2,4.5
c007,D1,train,NK_cell,0.5,0.3,4.8,4.2,0.3,2.7,4.8
c008,D1,train,NK_cell,0.2,0.0,4.5,4.6,0.1,3.0,4.3
c009,D2,train,T_cell,4.6,4.0,0.6,0.2,4.2,2.4,0.2
c010,D2,train,T_cell,4.1,3.8,0.3,0.1,4.0,2.2,0.1
c011,D2,train,T_cell,4.7,4.3,0.4,0.2,4.4,2.0,0.3
c012,D2,train,T_cell,4.3,3.6,0.5,0.3,3.8,2.6,0.2
c013,D2,train,NK_cell,0.6,0.2,4.4,4.5,0.2,3.1,4.6
c014,D2,train,NK_cell,0.4,0.1,4.7,4.1,0.1,2.8,4.4
c015,D2,train,NK_cell,0.3,0.3,4.2,4.7,0.2,3.3,4.7
c016,D2,train,NK_cell,0.5,0.2,4.9,4.3,0.3,2.9,4.9
c017,D3,val,T_cell,4.5,4.1,0.4,0.2,4.3,2.3,0.2
c018,D3,val,T_cell,4.0,3.5,0.6,0.3,3.7,2.7,0.3
c019,D3,val,NK_cell,0.5,0.2,4.5,4.6,0.2,3.0,4.5
c020,D3,val,NK_cell,0.3,0.1,4.6,4.2,0.1,3.2,4.8
c021,D4,test,T_cell,4.7,4.4,0.3,0.1,4.6,2.0,0.1
c022,D4,test,T_cell,4.2,3.9,0.5,0.2,4.0,2.5,0.2
c023,D4,test,NK_cell,0.4,0.2,4.8,4.5,0.2,2.9,4.7
c024,D4,test,NK_cell,0.2,0.1,4.4,4.8,0.1,3.1,4.6
